28/12/2020 11:30:13 a.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
28/12/2020 11:30:13 a.m.;0,3397922;0,2874146;DET
28/12/2020 11:30:35 a.m.;0,85484;0,1032311;NULL;NULL;NULL;REC
28/12/2020 11:30:35 a.m.;0,85484;0,1032311;REC
28/12/2020 11:30:37 a.m.;4,438162;-1,828971;REC
28/12/2020 11:30:38 a.m.;4,869268;-2,857119;REC
28/12/2020 11:30:38 a.m.;5,191581;-3,36832;REC
28/12/2020 11:30:39 a.m.;5,811086;-4,399974;REC
28/12/2020 11:30:40 a.m.;6,349489;-5,420617;REC
28/12/2020 11:30:40 a.m.;6,795413;-6,443301;REC
28/12/2020 11:30:41 a.m.;7,317196;-7,455936;REC
28/12/2020 11:30:42 a.m.;7,586587;-8,4783;REC
28/12/2020 11:30:42 a.m.;8,136924;-9,504932;REC
28/12/2020 11:30:44 a.m.;8,553804;-10,53899;REC
28/12/2020 11:30:44 a.m.;8,978699;-11,56805;REC
28/12/2020 11:30:45 a.m.;9,525912;-12,58695;REC
28/12/2020 11:30:45 a.m.;10,07526;-13,60887;REC
28/12/2020 11:30:46 a.m.;10,35202;-14,1247;REC
28/12/2020 11:30:47 a.m.;10,90306;-15,15492;REC
28/12/2020 11:30:48 a.m.;12,00159;-17,18987;RET
28/12/2020 11:30:48 a.m.;12,56111;-18,22495;RET
28/12/2020 11:30:49 a.m.;13,22459;-19,23691;RET
28/12/2020 11:30:57 a.m.;12,8675;-18,71473;RET
28/12/2020 11:30:58 a.m.;11,92613;-17,69788;RET
28/12/2020 11:30:59 a.m.;10,98318;-16,67295;RET
28/12/2020 11:30:59 a.m.;10,0098;-15,6171;RET
28/12/2020 11:31:00 a.m.;9,019156;-14,55528;RET
28/12/2020 11:31:01 a.m.;8,042474;-13,5049;RET
28/12/2020 11:31:01 a.m.;7,084944;-12,47255;RET
28/12/2020 11:31:02 a.m.;6,56509;-11,45197;RET
28/12/2020 11:31:03 a.m.;6,118877;-10,43675;RET
28/12/2020 11:31:03 a.m.;5,531245;-9,402529;RET
28/12/2020 11:31:04 a.m.;4,895401;-8,372885;RET
28/12/2020 11:31:04 a.m.;3,982065;-7,348367;RET
28/12/2020 11:31:05 a.m.;3,085412;-6,315757;RET
28/12/2020 11:31:06 a.m.;2,384201;-5,274157;RET
28/12/2020 11:31:06 a.m.;1,920085;-4,19791;RET
28/12/2020 11:31:07 a.m.;1,480056;-3,139997;RET
28/12/2020 11:31:08 a.m.;1,179222;-2,092558;RET
28/12/2020 11:31:08 a.m.;0,2941454;-1,059651;RET
28/12/2020 11:31:09 a.m.;-0,004053076;-0,01545744;RET
28/12/2020 11:31:10 a.m.;-0,004053076;-0,01545744;REC
28/12/2020 11:31:11 a.m.;-0,5684944;2,065512;REC
28/12/2020 11:31:11 a.m.;-1,018259;3,132359;REC
28/12/2020 11:31:12 a.m.;-1,483063;4,208079;REC
28/12/2020 11:31:13 a.m.;-1,763811;4,71948;REC
28/12/2020 11:31:16 a.m.;-2,300984;5,171192;REC
28/12/2020 11:31:18 a.m.;-2,801002;5,012074;REC
28/12/2020 11:31:19 a.m.;-2,759053;4,483614;REC
28/12/2020 11:31:19 a.m.;-2,217364;3,434678;REC
28/12/2020 11:31:20 a.m.;-1,17946;2,496452;REC
28/12/2020 11:31:21 a.m.;-1,074826;1,46341;REC
28/12/2020 11:31:22 a.m.;-0,1922516;0,4422521;REC
28/12/2020 11:31:22 a.m.;0,2955003;-0,5787519;REC
28/12/2020 11:31:23 a.m.;0,7976433;-1,628536;REC
28/12/2020 11:31:24 a.m.;1,20023;-2,666614;REC
28/12/2020 11:31:24 a.m.;1,603674;-3,701736;REC
28/12/2020 11:31:25 a.m.;2,006936;-4,736984;REC
28/12/2020 11:31:26 a.m.;2,409813;-5,768761;REC
28/12/2020 11:31:26 a.m.;2,820534;-6,824292;REC
28/12/2020 11:31:29 a.m.;3,361187;-6,848798;REC
28/12/2020 11:31:29 a.m.;4,442527;-6,359357;REC
28/12/2020 11:31:30 a.m.;5,48525;-5,858021;REC
28/12/2020 11:31:31 a.m.;6,491982;-5,622814;REC
28/12/2020 11:31:32 a.m.;7,514571;-5,361621;REC
28/12/2020 11:31:32 a.m.;8,540045;-4,931766;REC
28/12/2020 11:31:33 a.m.;9,489862;-3,907827;REC
28/12/2020 11:31:33 a.m.;10,51186;-3,554188;REC
28/12/2020 11:31:34 a.m.;11,03099;-3,300996;REC
28/12/2020 11:31:35 a.m.;12,06638;-2,773342;REC
28/12/2020 11:31:35 a.m.;13,10016;-2,243704;REC
28/12/2020 11:31:36 a.m.;14,13418;-1,714072;REC
28/12/2020 11:31:36 a.m.;15,16811;-1,185502;REC
28/12/2020 11:31:37 a.m.;16,21924;-0,5023296;REC
28/12/2020 11:31:38 a.m.;16,72118;-0,09932216;REC
28/12/2020 11:31:38 a.m.;17,76053;0,4086323;REC
28/12/2020 11:31:40 a.m.;20,86462;1,915974;RET
28/12/2020 11:31:41 a.m.;21,88695;2,411519;RET
28/12/2020 11:31:41 a.m.;22,4133;2,66582;RET
28/12/2020 11:31:42 a.m.;23,43132;3,219645;RET
28/12/2020 11:31:44 a.m.;23,52145;3,719901;RET
28/12/2020 11:31:47 a.m.;23,02002;4,561295;RET
28/12/2020 11:31:47 a.m.;21,97094;4,340755;RET
28/12/2020 11:31:48 a.m.;20,89966;4,112793;RET
28/12/2020 11:31:48 a.m.;19,82478;3,872223;RET
28/12/2020 11:31:49 a.m.;18,7725;3,636674;RET
28/12/2020 11:31:50 a.m.;17,69548;3,377345;RET
28/12/2020 11:31:50 a.m.;16,64421;2,875918;RET
28/12/2020 11:31:51 a.m.;16,14332;2,452703;RET
28/12/2020 11:31:51 a.m.;15,12146;2,219742;RET
28/12/2020 11:31:52 a.m.;14,05957;2,064865;RET
28/12/2020 11:31:52 a.m.;12,99868;1,913128;RET
28/12/2020 11:31:53 a.m.;11,96001;1,766375;RET
28/12/2020 11:31:53 a.m.;10,90087;1,629377;RET
28/12/2020 11:31:54 a.m.;9,841722;1,492379;RET
28/12/2020 11:31:54 a.m.;8,804964;1,358713;RET
28/12/2020 11:31:55 a.m.;7,74621;1,222669;RET
28/12/2020 11:31:55 a.m.;6,687319;1,086634;RET
28/12/2020 11:31:56 a.m.;5,650674;0,953454;RET
28/12/2020 11:31:57 a.m.;4,584795;0,7681692;RET
28/12/2020 11:31:57 a.m.;3,508528;0,5109197;RET
28/12/2020 11:31:58 a.m.;2,487011;0,6215487;RET
28/12/2020 11:31:58 a.m.;1,466034;0,3852319;RET
28/12/2020 11:31:59 a.m.;0,4490522;0,4681725;RET
28/12/2020 11:32:00 a.m.;-0,05668638;0,4681282;EVA
28/12/2020 11:32:36 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:36 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:37 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:37 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:37 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:37 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:38 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:38 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:38 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:39 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:39 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:40 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:40 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:40 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:40 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:42 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:43 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:44 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:44 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:44 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:44 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:44 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:45 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:45 a.m.;-0,05668638;0,4681282;PR2
28/12/2020 11:32:45 a.m.;-0,05668638;0,4681282;PR2
