22/12/2020 09:56:47 a.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
22/12/2020 09:56:47 a.m.;0,3397922;0,2874146;DET
22/12/2020 09:58:28 a.m.;-0,1681727;0,2807904;NULL;NULL;NULL;REC
22/12/2020 09:58:28 a.m.;-0,1681727;0,2807904;REC
22/12/2020 09:58:56 a.m.;-0,6584058;0,3603708;REC
22/12/2020 09:58:57 a.m.;0,374763;0,65702;REC
22/12/2020 09:58:57 a.m.;1,390585;0,9525133;REC
22/12/2020 09:58:58 a.m.;2,439962;1,246708;REC
22/12/2020 09:58:59 a.m.;3,441896;1,496184;REC
22/12/2020 09:58:59 a.m.;4,446015;1,73699;REC
22/12/2020 09:59:00 a.m.;5,470128;1,809947;REC
22/12/2020 09:59:00 a.m.;6,471181;2,058463;REC
22/12/2020 09:59:01 a.m.;7,472897;2,306837;REC
22/12/2020 09:59:01 a.m.;8,474613;2,555215;REC
22/12/2020 09:59:02 a.m.;9,495687;2,808886;REC
22/12/2020 09:59:03 a.m.;10,51751;3,061784;REC
22/12/2020 09:59:03 a.m.;11,51785;3,307057;REC
22/12/2020 09:59:04 a.m.;12,59258;3,348189;REC
22/12/2020 09:59:04 a.m.;13,61705;3,490579;REC
22/12/2020 09:59:05 a.m.;14,47878;3,401189;REC
22/12/2020 09:59:06 a.m.;15,49763;3,726283;REC
22/12/2020 09:59:06 a.m.;16,52153;3,699442;REC
22/12/2020 09:59:07 a.m.;17,03214;3,718538;REC
22/12/2020 09:59:08 a.m.;17,54736;4,092628;REC
22/12/2020 09:59:08 a.m.;18,06436;4,218099;REC
22/12/2020 09:59:11 a.m.;19,09877;4,512023;RET
22/12/2020 09:59:13 a.m.;19,63702;4,642337;RET
22/12/2020 09:59:15 a.m.;19,10515;4,694046;RET
22/12/2020 09:59:16 a.m.;18,09962;4,780004;RET
22/12/2020 09:59:17 a.m.;17,05109;4,587178;RET
22/12/2020 09:59:29 a.m.;16,53689;4,261267;RET
22/12/2020 09:59:29 a.m.;15,51113;4,490906;RET
22/12/2020 09:59:30 a.m.;14,48049;4,204894;RET
