22/12/2020 03:04:58 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
22/12/2020 03:04:58 p.m.;0,3397922;0,2874146;DET
22/12/2020 03:05:08 p.m.;0,6830208;-0,2283814;NULL;NULL;NULL;REC
22/12/2020 03:05:08 p.m.;0,6830208;-0,2283814;REC
22/12/2020 03:05:17 p.m.;0,08190636;-0,291514;REC
22/12/2020 03:05:17 p.m.;-0,1774875;-1,822515;REC
22/12/2020 03:05:18 p.m.;-0,3952101;-2,873633;REC
22/12/2020 03:05:18 p.m.;-0,6176808;-3,945268;REC
22/12/2020 03:05:19 p.m.;-0,8400719;-5,018085;REC
22/12/2020 03:05:20 p.m.;-0,8429644;-6,058743;REC
22/12/2020 03:05:20 p.m.;-0,7291554;-7,083254;REC
22/12/2020 03:05:21 p.m.;-0,638723;-8,1094;REC
22/12/2020 03:05:21 p.m.;-0,7654545;-9,13049;REC
22/12/2020 03:05:22 p.m.;-0,9673035;-10,16577;REC
22/12/2020 03:05:22 p.m.;-1,39863;-11,20996;REC
22/12/2020 03:05:23 p.m.;-2,366001;-11,99294;REC
22/12/2020 03:05:23 p.m.;-3,44661;-12,37027;REC
22/12/2020 03:05:24 p.m.;-4,493807;-11,84174;REC
22/12/2020 03:05:25 p.m.;-5,028687;-10,83254;REC
22/12/2020 03:05:25 p.m.;-5,661588;-9,817723;REC
22/12/2020 03:05:26 p.m.;-6,699958;-9,423974;REC
22/12/2020 03:05:27 p.m.;-8,25144;-8,970934;REC
22/12/2020 03:05:27 p.m.;-9,284504;-8,350114;REC
22/12/2020 03:05:28 p.m.;-10,36285;-7,77546;REC
22/12/2020 03:05:28 p.m.;-11,88225;-7,635808;REC
22/12/2020 03:05:29 p.m.;-12,90965;-7,662128;REC
22/12/2020 03:05:30 p.m.;-13,95676;-8,052958;REC
22/12/2020 03:05:30 p.m.;-14,98041;-8,562669;REC
22/12/2020 03:05:31 p.m.;-16,00534;-8,881833;REC
22/12/2020 03:05:35 p.m.;-17,05497;-8,640177;RET
22/12/2020 03:05:36 p.m.;-16,02288;-8,279877;RET
22/12/2020 03:05:37 p.m.;-14,94626;-7,847253;RET
22/12/2020 03:05:37 p.m.;-14,06959;-6,869105;RET
22/12/2020 03:05:38 p.m.;-13,02007;-6,02056;RET
22/12/2020 03:05:39 p.m.;-11,97439;-5,622461;RET
22/12/2020 03:05:39 p.m.;-10,93799;-5,205993;RET
22/12/2020 03:05:40 p.m.;-9,88285;-4,726222;RET
22/12/2020 03:05:40 p.m.;-8,84175;-4,213453;RET
22/12/2020 03:05:41 p.m.;-7,787954;-3,867124;RET
22/12/2020 03:05:41 p.m.;-6,732763;-3,520404;RET
22/12/2020 03:05:42 p.m.;-5,67757;-3,173684;RET
22/12/2020 03:05:43 p.m.;-4,65301;-2,721843;RET
22/12/2020 03:05:43 p.m.;-3,617585;-2,054763;RET
22/12/2020 03:05:44 p.m.;-2,599281;-1,305549;RET
22/12/2020 03:05:45 p.m.;-1,584376;-0,3612077;RET
22/12/2020 03:05:45 p.m.;-0,5539054;-0,3055269;RET
22/12/2020 03:05:46 p.m.;-0,5539054;-0,3055269;REC
22/12/2020 03:05:52 p.m.;0,1577261;-0,483198;REC
22/12/2020 03:05:53 p.m.;0,2627776;-1,489738;REC
22/12/2020 03:05:53 p.m.;0,3021883;-2,521034;REC
22/12/2020 03:05:54 p.m.;0,3407497;-3,548172;REC
22/12/2020 03:05:55 p.m.;0,3299382;-4,580059;REC
22/12/2020 03:05:55 p.m.;0,3638425;-5,606082;REC
22/12/2020 03:05:56 p.m.;0,3296342;-6,635399;REC
22/12/2020 03:05:56 p.m.;0,338073;-7,687474;REC
22/12/2020 03:05:57 p.m.;0,3461809;-8,718361;REC
22/12/2020 03:05:57 p.m.;0,354699;-9,751185;REC
22/12/2020 03:05:58 p.m.;0,1588135;-10,76863;REC
22/12/2020 03:05:58 p.m.;-0,1350657;-11,80723;REC
22/12/2020 03:05:59 p.m.;-0,2210691;-12,84243;REC
22/12/2020 03:05:59 p.m.;-0,2818702;-13,8743;REC
22/12/2020 03:06:00 p.m.;-0,3427383;-14,90975;REC
22/12/2020 03:06:00 p.m.;-0,4841968;-15,94217;REC
22/12/2020 03:06:01 p.m.;-0,6214442;-16,97717;REC
22/12/2020 03:06:02 p.m.;-0,8955714;-18,04202;REC
22/12/2020 03:06:03 p.m.;-0,837701;-20,10381;RET
22/12/2020 03:06:04 p.m.;-0,8395394;-19,59787;RET
22/12/2020 03:06:08 p.m.;-0,9761868;-18,54988;RET
22/12/2020 03:06:09 p.m.;-0,8635793;-17,52356;RET
22/12/2020 03:06:09 p.m.;-0,7872257;-16,49412;RET
22/12/2020 03:06:10 p.m.;-0,8049802;-15,46898;RET
22/12/2020 03:06:10 p.m.;-0,8140159;-14,41653;RET
22/12/2020 03:06:11 p.m.;-0,819795;-13,38518;RET
22/12/2020 03:06:11 p.m.;-0,8224443;-12,35641;RET
22/12/2020 03:06:12 p.m.;-0,8252029;-11,32374;RET
22/12/2020 03:06:12 p.m.;-0,8277491;-10,29523;RET
22/12/2020 03:06:13 p.m.;-0,8302698;-9,263988;RET
22/12/2020 03:06:13 p.m.;-0,8327903;-8,232759;RET
22/12/2020 03:06:14 p.m.;-0,8355774;-7,181179;RET
22/12/2020 03:06:15 p.m.;-0,8383352;-6,148118;RET
22/12/2020 03:06:15 p.m.;-0,8371662;-5,116331;RET
22/12/2020 03:06:16 p.m.;-0,7834854;-4,084728;RET
22/12/2020 03:06:16 p.m.;-0,6763481;-3,057273;RET
22/12/2020 03:06:17 p.m.;-0,4256355;-2,004816;RET
22/12/2020 03:06:17 p.m.;-0,2168959;-0,9974633;RET
22/12/2020 03:06:18 p.m.;-0,04118488;0,01849255;RET
22/12/2020 03:06:19 p.m.;0,0388278;0,5259827;EVA
22/12/2020 03:06:36 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:36 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:36 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:36 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:36 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:37 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:37 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:38 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:38 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:38 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:38 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:38 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:38 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:39 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:39 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:39 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:39 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:39 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:40 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:40 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:40 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:40 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:40 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:41 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:41 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:41 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:41 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:42 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:42 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:42 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:43 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:43 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:43 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:43 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:43 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:43 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:44 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:44 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:44 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:44 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:44 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:45 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:45 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:45 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:45 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:45 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:46 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:46 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:46 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:46 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:46 p.m.;0,0388278;0,5259827;PR2
22/12/2020 03:06:47 p.m.;0,0388278;0,5259827;PR2
