09/06/2017 04:02:13 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
09/06/2017 04:02:13 p.m.;0,3397922;0,2874146;DET
09/06/2017 04:02:20 p.m.;-0,1751614;0,2874147;NULL;NULL;NULL;REC
09/06/2017 04:02:20 p.m.;-0,1751614;0,2874147;REC
09/06/2017 04:02:21 p.m.;-3,271697;-1,612387;REC
09/06/2017 04:02:27 p.m.;-3,269155;-2,16752;REC
09/06/2017 04:02:27 p.m.;-4,299459;-2,624256;REC
09/06/2017 04:02:28 p.m.;-5,317113;-3,107497;REC
09/06/2017 04:02:28 p.m.;-6,329494;-3,605415;REC
09/06/2017 04:02:29 p.m.;-7,341876;-4,103333;REC
09/06/2017 04:02:30 p.m.;-8,354261;-4,601253;REC
09/06/2017 04:02:30 p.m.;-9,366497;-5,09903;REC
09/06/2017 04:02:31 p.m.;-10,37805;-5,600192;REC
09/06/2017 04:02:31 p.m.;-11,39171;-6,313694;REC
09/06/2017 04:02:32 p.m.;-12,42209;-7,042905;REC
09/06/2017 04:02:33 p.m.;-13,42225;-7,678679;REC
09/06/2017 04:02:33 p.m.;-14,44241;-8,32149;REC
09/06/2017 04:02:34 p.m.;-15,44919;-8,941783;REC
09/06/2017 04:02:35 p.m.;-17,46266;-10,18222;RET
09/06/2017 04:02:36 p.m.;-17,45699;-10,64919;RET
09/06/2017 04:02:37 p.m.;-15,93411;-10,7123;RET
09/06/2017 04:02:37 p.m.;-14,41135;-10,77561;RET
09/06/2017 04:02:38 p.m.;-12,88877;-10,83868;RET
09/06/2017 04:02:40 p.m.;-12,85064;-10,3192;RET
09/06/2017 04:02:42 p.m.;-12,65774;-9,812027;RET
09/06/2017 04:02:42 p.m.;-11,62621;-9,358418;RET
09/06/2017 04:02:43 p.m.;-10,59468;-8,90481;RET
09/06/2017 04:02:43 p.m.;-9,56315;-8,4512;RET
09/06/2017 04:02:44 p.m.;-8,531622;-7,997591;RET
09/06/2017 04:02:45 p.m.;-7,515453;-7,724782;RET
09/06/2017 04:02:45 p.m.;-6,496137;-7,563652;RET
09/06/2017 04:02:46 p.m.;-5,476822;-7,402521;RET
09/06/2017 04:02:46 p.m.;-4,452056;-7,253597;RET
09/06/2017 04:02:47 p.m.;-3,424901;-7,110013;RET
09/06/2017 04:02:47 p.m.;-2,397747;-6,96643;RET
09/06/2017 04:02:48 p.m.;-1,741082;-6,389244;RET
09/06/2017 04:02:53 p.m.;-1,888141;-5,354209;RET
09/06/2017 04:02:54 p.m.;-1,540523;-4,326925;RET
09/06/2017 04:02:54 p.m.;-1,192339;-3,299338;RET
09/06/2017 04:02:55 p.m.;-0,8444313;-2,273237;RET
09/06/2017 04:02:56 p.m.;-0,4962901;-1,246675;RET
09/06/2017 04:02:56 p.m.;-0,1398071;-0,2174786;RET
09/06/2017 04:02:57 p.m.;-0,1398071;-0,2174786;REC
09/06/2017 04:02:57 p.m.;0,5508231;1,82169;REC
09/06/2017 04:03:04 p.m.;0,2024103;1,308812;REC
09/06/2017 04:03:05 p.m.;-0,7603053;0,2977638;REC
09/06/2017 04:03:05 p.m.;-1,694123;-0,7025029;REC
09/06/2017 04:03:06 p.m.;-2,720019;-0,8560008;REC
09/06/2017 04:03:06 p.m.;-3,75972;-0,8929226;REC
09/06/2017 04:03:07 p.m.;-4,7994;-0,9298441;REC
09/06/2017 04:03:08 p.m.;-5,839081;-0,9667656;REC
09/06/2017 04:03:08 p.m.;-6,878761;-1,003687;REC
09/06/2017 04:03:08 p.m.;-7,918442;-1,040607;REC
09/06/2017 04:03:09 p.m.;-8,957735;-1,077526;REC
09/06/2017 04:03:10 p.m.;-9,986809;-1,486266;REC
09/06/2017 04:03:10 p.m.;-11,00904;-2,129828;REC
09/06/2017 04:03:11 p.m.;-12,03312;-2,703259;REC
09/06/2017 04:03:11 p.m.;-13,06767;-2,911217;REC
09/06/2017 04:03:12 p.m.;-14,10273;-3,092744;REC
09/06/2017 04:03:13 p.m.;-15,13809;-3,274317;REC
09/06/2017 04:03:13 p.m.;-16,17346;-3,455889;REC
09/06/2017 04:03:14 p.m.;-17,20883;-3,637462;REC
09/06/2017 04:03:14 p.m.;-18,2439;-3,818891;REC
09/06/2017 04:03:15 p.m.;-20,31833;-3,99703;RET
09/06/2017 04:03:16 p.m.;-20,32158;-4,331931;RET
09/06/2017 04:03:29 p.m.;-19,31535;-4,557721;RET
09/06/2017 04:03:30 p.m.;-18,28651;-4,258803;RET
