19/12/2017 10:45:20 a.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
19/12/2017 10:45:20 a.m.;0,3397922;0,2874146;DET
19/12/2017 10:45:24 a.m.;0,842072;-0,01654892;NULL;NULL;NULL;REC
19/12/2017 10:45:24 a.m.;0,842072;-0,01654892;REC
19/12/2017 10:45:46 a.m.;1,538202;-0,8297471;REC
19/12/2017 10:45:47 a.m.;1,572477;-1,334269;REC
19/12/2017 10:45:49 a.m.;0,553169;-1,621589;REC
19/12/2017 12:15:59 p.m.;0,2909954;-1,10306;REC
19/12/2017 12:15:59 p.m.;0,1044455;-0,06406102;REC
19/12/2017 12:16:00 p.m.;0,02409247;0,9575044;REC
19/12/2017 12:16:00 p.m.;-0,02711024;1,990521;REC
19/12/2017 12:16:01 p.m.;-0,03815627;3,029445;REC
19/12/2017 12:16:01 p.m.;0,1486144;4,051404;REC
19/12/2017 12:16:02 p.m.;0,3625017;5,068522;REC
19/12/2017 12:16:02 p.m.;0,5759009;6,083851;REC
19/12/2017 12:16:03 p.m.;0,7890703;7,100713;REC
19/12/2017 12:16:03 p.m.;1,002362;8,118235;REC
19/12/2017 12:16:04 p.m.;1,215538;9,135188;REC
19/12/2017 12:16:04 p.m.;1,428725;10,15247;REC
19/12/2017 12:16:05 p.m.;1,641584;11,16812;REC
19/12/2017 12:16:06 p.m.;1,85448;12,18397;REC
19/12/2017 12:16:06 p.m.;2,067815;13,20194;REC
19/12/2017 12:16:07 p.m.;2,280863;14,21846;REC
19/12/2017 12:16:07 p.m.;2,493968;15,23546;REC
19/12/2017 12:16:08 p.m.;2,707425;16,25308;REC
19/12/2017 12:16:08 p.m.;2,920745;17,27116;REC
19/12/2017 12:16:09 p.m.;3,133896;18,28853;REC
19/12/2017 12:16:09 p.m.;3,252571;19,3113;REC
19/12/2017 12:16:10 p.m.;1,302574;19,72723;RET
19/12/2017 12:16:11 p.m.;0,2869267;18,93307;RET
19/12/2017 12:16:12 p.m.;-0,2535022;17,92106;RET
19/12/2017 12:16:12 p.m.;-0,4644978;16,90548;RET
19/12/2017 12:16:13 p.m.;-0,6731067;15,8866;RET
19/12/2017 12:16:13 p.m.;-0,9190614;14,87669;RET
19/12/2017 12:16:14 p.m.;-1,240489;13,84263;RET
19/12/2017 12:16:14 p.m.;-1,561756;12,80911;RET
19/12/2017 12:16:15 p.m.;-1,747655;11,78782;RET
19/12/2017 12:16:16 p.m.;-1,886205;10,7599;RET
19/12/2017 12:16:16 p.m.;-2,0217;9,728276;RET
19/12/2017 12:16:17 p.m.;-2,059135;8,69069;RET
19/12/2017 12:16:17 p.m.;-2,089278;7,650567;RET
19/12/2017 12:16:18 p.m.;-2,119353;6,609813;RET
19/12/2017 12:16:18 p.m.;-2,149492;5,570317;RET
19/12/2017 12:16:19 p.m.;-2,133948;4,534947;RET
19/12/2017 12:16:19 p.m.;-1,823385;3,522976;RET
19/12/2017 12:16:20 p.m.;-1,432853;2,514786;RET
19/12/2017 12:16:20 p.m.;-1,039852;1,504463;RET
19/12/2017 12:16:21 p.m.;-0,4444209;0,4921586;RET
19/12/2017 12:16:22 p.m.;-0,4444209;0,4921586;REC
19/12/2017 12:16:22 p.m.;1,451963;-0,7641709;REC
19/12/2017 12:16:23 p.m.;2,434974;0,1076841;REC
19/12/2017 12:16:24 p.m.;2,301803;1,122895;REC
19/12/2017 12:16:24 p.m.;1,345424;2,123763;REC
19/12/2017 12:16:25 p.m.;0,3179324;2,982967;REC
19/12/2017 12:16:26 p.m.;-0,7107457;3,842846;REC
19/12/2017 12:16:26 p.m.;-1,740267;4,703459;REC
19/12/2017 12:16:27 p.m.;-2,770715;5,564822;REC
19/12/2017 12:16:28 p.m.;-3,787079;6,41024;REC
19/12/2017 12:16:28 p.m.;-4,791411;7,235996;REC
19/12/2017 12:16:29 p.m.;-5,795686;8,061835;REC
19/12/2017 12:16:30 p.m.;-6,800367;8,888385;REC
19/12/2017 12:16:31 p.m.;-7,818647;9,725868;REC
19/12/2017 12:16:31 p.m.;-8,883286;10,60175;REC
19/12/2017 12:16:32 p.m.;-9,894125;11,42069;REC
19/12/2017 12:16:32 p.m.;-10,91014;12,12162;REC
19/12/2017 12:16:33 p.m.;-11,91937;12,56996;REC
19/12/2017 12:16:34 p.m.;-12,93439;12,8804;REC
19/12/2017 12:16:34 p.m.;-13,95174;13,02179;REC
19/12/2017 12:16:36 p.m.;-16,59542;11,42011;RET
19/12/2017 12:16:36 p.m.;-16,49382;10,39725;RET
19/12/2017 12:16:37 p.m.;-15,47289;9,703403;RET
19/12/2017 12:16:38 p.m.;-14,46259;9,032143;RET
19/12/2017 12:16:38 p.m.;-13,45251;8,36117;RET
19/12/2017 12:16:39 p.m.;-12,44346;7,690691;RET
19/12/2017 12:16:40 p.m.;-11,43296;7,019435;RET
19/12/2017 12:16:40 p.m.;-10,4222;6,347855;RET
19/12/2017 12:16:41 p.m.;-9,411753;5,676528;RET
19/12/2017 12:16:41 p.m.;-8,401453;5,0052;RET
19/12/2017 12:16:42 p.m.;-7,390491;4,333534;RET
19/12/2017 12:16:43 p.m.;-6,379739;3,662209;RET
19/12/2017 12:16:43 p.m.;-5,355046;3,011014;RET
19/12/2017 12:16:44 p.m.;-4,328213;2,363337;RET
19/12/2017 12:16:45 p.m.;-3,301627;1,715776;RET
19/12/2017 12:16:45 p.m.;-2,2765;1,069009;RET
19/12/2017 12:16:46 p.m.;-1,252289;0,4228171;RET
19/12/2017 12:16:46 p.m.;-0,2265851;-0,2387847;RET
19/12/2017 12:16:47 p.m.;0,8058453;-0,3933739;EVA
19/12/2017 12:19:36 p.m.;1,361795;0,6479304;PR2
19/12/2017 12:19:36 p.m.;1,361795;0,6479304;PR2
19/12/2017 12:19:36 p.m.;1,361795;0,6479304;PR2
19/12/2017 12:19:37 p.m.;1,361795;0,6479304;PR2
19/12/2017 12:19:37 p.m.;1,361795;0,6479304;PR2
19/12/2017 12:19:37 p.m.;1,361795;0,6479304;PR2
19/12/2017 12:19:38 p.m.;1,361795;0,6479304;PR2
19/12/2017 12:19:38 p.m.;1,361795;0,6479304;PR2
