@Sujeto: Quequen3
@Número Protocolo: 5
@Radio: 20
@Angulos: 20
@Total Banderas Circunferencia: 180
@Separacion: 2
time;posX;posY;banX;banY;idBan-RTA;estado
28/04/2017 03:41:56 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;DET
28/04/2017 03:42:00 p.m.;0,1047261;-0,2135279;NULL;NULL;NULL;BUS
28/04/2017 03:42:01 p.m.;0,4574843;0,2873694;NULL;NULL;NULL;BUS
28/04/2017 03:42:01 p.m.;0,8559435;1,305968;NULL;NULL;NULL;BUS
28/04/2017 03:42:02 p.m.;0,4533366;0,7885914;NULL;NULL;NULL;BUS
28/04/2017 03:42:13 p.m.;0,6677096;-0,03691306;NULL;NULL;NULL;BUS
28/04/2017 03:42:14 p.m.;1,699714;-0,06532344;NULL;NULL;NULL;BUS
28/04/2017 03:42:14 p.m.;2,717709;-0,3064305;NULL;NULL;NULL;BUS
28/04/2017 03:42:15 p.m.;3,731903;-0,4396343;NULL;NULL;NULL;BUS
28/04/2017 03:42:16 p.m.;3,210885;-0,3104891;NULL;NULL;NULL;BUS
28/04/2017 03:42:16 p.m.;2,190278;-0,1204698;NULL;NULL;NULL;BUS
28/04/2017 03:42:17 p.m.;1,168013;0,06986549;NULL;NULL;NULL;BUS
28/04/2017 03:42:17 p.m.;0,1467437;0,2649655;NULL;NULL;NULL;BUS
28/04/2017 03:42:22 p.m.;0,656285;0,2678333;NULL;NULL;NULL;BUS
28/04/2017 03:42:23 p.m.;1,673313;0,08620151;NULL;NULL;NULL;BUS
28/04/2017 03:42:24 p.m.;2,696916;-0,1046819;NULL;NULL;NULL;BUS
28/04/2017 03:42:24 p.m.;3,720453;-0,2955509;NULL;NULL;NULL;BUS
28/04/2017 03:42:24 p.m.;4,738917;-0,4855563;NULL;NULL;NULL;BUS
28/04/2017 03:42:25 p.m.;5,754385;-0,7207828;NULL;NULL;NULL;BUS
28/04/2017 03:42:26 p.m.;6,772738;-0,9308457;NULL;NULL;NULL;BUS
28/04/2017 03:42:26 p.m.;7,786644;-1,253033;NULL;NULL;NULL;BUS
28/04/2017 03:42:27 p.m.;8,803654;-1,479344;NULL;NULL;NULL;BUS
28/04/2017 03:42:27 p.m.;9,823022;-1,689974;NULL;NULL;NULL;BUS
28/04/2017 03:42:28 p.m.;10,83651;-1,935463;NULL;NULL;NULL;BUS
28/04/2017 03:42:28 p.m.;11,85571;-2,19566;NULL;NULL;NULL;BUS
28/04/2017 03:42:29 p.m.;12,86947;-2,559738;NULL;NULL;NULL;BUS
28/04/2017 03:42:29 p.m.;13,88951;-2,769668;NULL;NULL;NULL;BUS
28/04/2017 03:42:30 p.m.;14,90858;-2,959517;NULL;NULL;NULL;BUS
28/04/2017 03:42:35 p.m.;15,91406;-3,268427;NULL;NULL;NULL;BUS
28/04/2017 03:42:36 p.m.;16,93852;-3,45893;NULL;NULL;NULL;BUS
28/04/2017 03:42:36 p.m.;17,96379;-3,649647;NULL;NULL;NULL;BUS
28/04/2017 03:42:37 p.m.;18,982;-3,952894;19,56295;-4,158234;174;CAP
28/04/2017 03:42:37 p.m.;18,982;-3,952894;NULL;NULL;NULL;CEN
28/04/2017 03:42:39 p.m.;18,46586;-3,853352;NULL;NULL;NULL;CEN
28/04/2017 03:42:40 p.m.;17,44366;-3,662567;NULL;NULL;NULL;CEN
28/04/2017 03:42:40 p.m.;16,42067;-3,47647;NULL;NULL;NULL;CEN
28/04/2017 03:42:41 p.m.;15,40057;-3,181947;NULL;NULL;NULL;CEN
28/04/2017 03:42:41 p.m.;14,59634;-2,315742;NULL;NULL;NULL;CEN
28/04/2017 03:42:42 p.m.;13,56526;-2,183852;NULL;NULL;NULL;CEN
28/04/2017 03:42:42 p.m.;12,53229;-2,283508;NULL;NULL;NULL;CEN
28/04/2017 03:42:43 p.m.;11,01571;-1,876464;NULL;NULL;NULL;CEN
28/04/2017 03:42:44 p.m.;9,490237;-1,735871;NULL;NULL;NULL;CEN
28/04/2017 03:42:45 p.m.;7,957515;-1,736022;NULL;NULL;NULL;CEN
28/04/2017 03:42:45 p.m.;6,93663;-1,432035;NULL;NULL;NULL;CEN
28/04/2017 03:42:46 p.m.;5,919751;-1,33007;NULL;NULL;NULL;CEN
