@Sujeto: Eliel
@Número Protocolo: 2
@Radio: 20
@Angulos: 20
@Total Banderas Circunferencia: 180
@Separacion: 2
time;posX;posY;banX;banY;idBan-RTA;estado
21/04/2017 03:03:38 p.m.;-0,1573648;-0,2258503;NULL;NULL;NULL;DET
21/04/2017 03:03:39 p.m.;-0,162503;0,06981438;NULL;NULL;NULL;BUS
21/04/2017 03:03:44 p.m.;0,3468671;-0,3920534;NULL;NULL;NULL;BUS
21/04/2017 03:03:46 p.m.;1,278051;-1,220237;NULL;NULL;NULL;BUS
21/04/2017 03:03:46 p.m.;2,29127;-0,4175355;NULL;NULL;NULL;BUS
21/04/2017 03:03:47 p.m.;3,295334;0,3390612;NULL;NULL;NULL;BUS
21/04/2017 03:03:48 p.m.;3,779337;1,366715;NULL;NULL;NULL;BUS
21/04/2017 03:03:48 p.m.;3,632658;2,389801;NULL;NULL;NULL;BUS
21/04/2017 03:03:49 p.m.;3,086149;3,406569;NULL;NULL;NULL;BUS
21/04/2017 03:03:49 p.m.;2,578109;4,429858;NULL;NULL;NULL;BUS
21/04/2017 03:03:50 p.m.;2,387087;5,443543;NULL;NULL;NULL;BUS
21/04/2017 03:03:50 p.m.;2,281848;6,475356;NULL;NULL;NULL;BUS
21/04/2017 03:03:51 p.m.;2,243317;7,513674;NULL;NULL;NULL;BUS
21/04/2017 03:03:51 p.m.;2,195023;8,552316;NULL;NULL;NULL;BUS
21/04/2017 03:03:52 p.m.;2,146787;9,591137;NULL;NULL;NULL;BUS
21/04/2017 03:03:52 p.m.;2,080222;10,62975;NULL;NULL;NULL;BUS
21/04/2017 03:03:53 p.m.;1,806314;11,6584;NULL;NULL;NULL;BUS
21/04/2017 03:03:54 p.m.;1,758061;12,69702;NULL;NULL;NULL;BUS
21/04/2017 03:03:54 p.m.;1,70991;13,73388;NULL;NULL;NULL;BUS
21/04/2017 03:03:55 p.m.;1,661706;14,77208;NULL;NULL;NULL;BUS
21/04/2017 03:03:55 p.m.;1,613488;15,81111;NULL;NULL;NULL;BUS
21/04/2017 03:03:56 p.m.;1,565182;16,84998;NULL;NULL;NULL;BUS
21/04/2017 03:03:56 p.m.;1,516924;17,88897;NULL;NULL;NULL;BUS
21/04/2017 03:03:57 p.m.;1,468673;18,92768;NULL;NULL;NULL;BUS
21/04/2017 03:03:57 p.m.;1,420407;19,96709;NULL;NULL;NULL;BUS
21/04/2017 03:03:57 p.m.;1,420407;19,96709;1,395129;19,95128;43;CAP
21/04/2017 03:03:58 p.m.;1,018843;19,97622;NULL;NULL;NULL;CEN
21/04/2017 03:03:59 p.m.;0,2323115;18,99024;NULL;NULL;NULL;CEN
21/04/2017 03:03:59 p.m.;0,06379984;17,9822;NULL;NULL;NULL;CEN
21/04/2017 03:04:00 p.m.;-0,07679358;16,43252;NULL;NULL;NULL;CEN
21/04/2017 03:04:01 p.m.;-0,3213935;14,89791;NULL;NULL;NULL;CEN
21/04/2017 03:04:01 p.m.;-0,3678322;13,86164;NULL;NULL;NULL;CEN
21/04/2017 03:04:02 p.m.;-0,2979184;12,82504;NULL;NULL;NULL;CEN
21/04/2017 03:04:02 p.m.;-0,2467774;11,7872;NULL;NULL;NULL;CEN
21/04/2017 03:04:03 p.m.;-0,2053116;10,75054;NULL;NULL;NULL;CEN
21/04/2017 03:04:04 p.m.;-0,163717;9,711078;NULL;NULL;NULL;CEN
21/04/2017 03:04:04 p.m.;-0,1221784;8,673312;NULL;NULL;NULL;CEN
21/04/2017 03:04:05 p.m.;-0,08061515;7,633132;NULL;NULL;NULL;CEN
21/04/2017 03:04:05 p.m.;-0,03903525;6,592638;NULL;NULL;NULL;CEN
21/04/2017 03:04:06 p.m.;0,002505032;5,556456;NULL;NULL;NULL;CEN
