@Sujeto: Ezequiel
@Número Protocolo: 2
@Radio: 20
@Angulos: 20
@Total Banderas Circunferencia: 180
@Separacion: 2
time;posX;posY;banX;banY;idBan-RTA;estado
21/04/2017 06:55:22 p.m.;0,1065659;-0,2206407;NULL;NULL;NULL;DET
21/04/2017 06:55:28 p.m.;-0,08051863;-0,7255898;NULL;NULL;NULL;BUS
21/04/2017 06:55:29 p.m.;-1,012442;-1,752406;NULL;NULL;NULL;BUS
21/04/2017 06:55:30 p.m.;-1,909129;-2,753066;NULL;NULL;NULL;BUS
21/04/2017 06:55:31 p.m.;-2,818273;-3,766135;NULL;NULL;NULL;BUS
21/04/2017 06:55:31 p.m.;-3,715734;-4,766233;NULL;NULL;NULL;BUS
21/04/2017 06:55:32 p.m.;-4,613109;-5,766335;NULL;NULL;NULL;BUS
21/04/2017 06:55:33 p.m.;-5,510633;-6,766925;NULL;NULL;NULL;BUS
21/04/2017 06:55:33 p.m.;-6,437249;-7,798507;NULL;NULL;NULL;BUS
21/04/2017 06:55:34 p.m.;-7,335144;-8,799046;NULL;NULL;NULL;BUS
21/04/2017 06:55:35 p.m.;-8,215347;-9,815845;NULL;NULL;NULL;BUS
21/04/2017 06:55:35 p.m.;-8,780275;-10,82755;NULL;NULL;NULL;BUS
21/04/2017 06:55:36 p.m.;-9,534395;-11,84265;NULL;NULL;NULL;BUS
21/04/2017 06:55:37 p.m.;-10,47074;-12,86688;NULL;NULL;NULL;BUS
21/04/2017 06:55:37 p.m.;-11,45345;-13,81944;NULL;NULL;NULL;BUS
21/04/2017 06:55:38 p.m.;-12,39335;-14,84042;NULL;NULL;NULL;BUS
21/04/2017 06:55:38 p.m.;-12,39335;-14,84042;-12,85575;-15,32089;115;CAP
21/04/2017 06:55:43 p.m.;-12,3548;-14,90968;NULL;NULL;NULL;CEN
21/04/2017 06:55:43 p.m.;-11,34171;-13,93282;NULL;NULL;NULL;CEN
21/04/2017 06:55:44 p.m.;-10,47649;-12,90539;NULL;NULL;NULL;CEN
21/04/2017 06:55:45 p.m.;-9,691109;-11,89656;NULL;NULL;NULL;CEN
21/04/2017 06:55:45 p.m.;-8,862322;-10,89449;NULL;NULL;NULL;CEN
21/04/2017 06:55:46 p.m.;-7,976803;-9,884344;NULL;NULL;NULL;CEN
21/04/2017 06:55:47 p.m.;-7,083138;-8,880883;NULL;NULL;NULL;CEN
21/04/2017 06:55:47 p.m.;-6,191845;-7,875361;NULL;NULL;NULL;CEN
21/04/2017 06:55:48 p.m.;-5,492592;-6,857442;NULL;NULL;NULL;CEN
21/04/2017 06:55:49 p.m.;-4,685059;-5,841436;NULL;NULL;NULL;CEN
21/04/2017 06:55:49 p.m.;-3,800757;-4,82954;NULL;NULL;NULL;CEN
21/04/2017 06:55:50 p.m.;-3,058552;-3,814599;NULL;NULL;NULL;CEN
21/04/2017 06:55:51 p.m.;-2,324395;-2,794068;NULL;NULL;NULL;CEN
21/04/2017 06:55:51 p.m.;-1,51946;-1,770827;NULL;NULL;NULL;CEN
21/04/2017 06:55:52 p.m.;-0,7779924;-0,7371768;NULL;NULL;NULL;CEN
21/04/2017 06:55:54 p.m.;0,1568575;0,2769642;NULL;NULL;NULL;CEN
21/04/2017 06:55:56 p.m.;1,179;0,624912;NULL;NULL;NULL;BUS
21/04/2017 06:55:56 p.m.;2,203827;0,3094791;NULL;NULL;NULL;BUS
21/04/2017 06:55:57 p.m.;3,210809;-0,4014675;NULL;NULL;NULL;BUS
21/04/2017 06:55:58 p.m.;4,162904;-1,419286;NULL;NULL;NULL;BUS
21/04/2017 06:55:59 p.m.;5,026158;-2,438689;NULL;NULL;NULL;BUS
21/04/2017 06:55:59 p.m.;5,999666;-3,442225;NULL;NULL;NULL;BUS
21/04/2017 06:56:00 p.m.;7,003754;-4,388472;NULL;NULL;NULL;BUS
21/04/2017 06:56:00 p.m.;7,791507;-5,393075;NULL;NULL;NULL;BUS
21/04/2017 06:56:01 p.m.;8,154423;-6,409128;NULL;NULL;NULL;BUS
21/04/2017 06:56:02 p.m.;8,572844;-7,429028;NULL;NULL;NULL;BUS
21/04/2017 06:56:02 p.m.;9,04248;-8,453248;NULL;NULL;NULL;BUS
21/04/2017 06:56:03 p.m.;9,624064;-9,4726;NULL;NULL;NULL;BUS
21/04/2017 06:56:03 p.m.;10,20626;-10,49413;NULL;NULL;NULL;BUS
21/04/2017 06:56:04 p.m.;10,78574;-11,50131;NULL;NULL;NULL;BUS
21/04/2017 06:56:05 p.m.;11,34588;-12,52397;NULL;NULL;NULL;BUS
21/04/2017 06:56:05 p.m.;11,79041;-13,54376;NULL;NULL;NULL;BUS
21/04/2017 06:56:06 p.m.;12,37197;-14,56341;NULL;NULL;NULL;BUS
21/04/2017 06:56:06 p.m.;12,37197;-14,56341;12,85575;-15,32089;155;CAP
21/04/2017 06:56:11 p.m.;12,53602;-14,559;NULL;NULL;NULL;CEN
21/04/2017 06:56:12 p.m.;11,74163;-13,53457;NULL;NULL;NULL;CEN
21/04/2017 06:56:12 p.m.;10,93209;-12,51525;NULL;NULL;NULL;CEN
21/04/2017 06:56:13 p.m.;10,01552;-11,49733;NULL;NULL;NULL;CEN
21/04/2017 06:56:14 p.m.;9,138157;-10,47535;NULL;NULL;NULL;CEN
21/04/2017 06:56:14 p.m.;8,260861;-9,463481;NULL;NULL;NULL;CEN
21/04/2017 06:56:15 p.m.;7,384481;-8,450853;NULL;NULL;NULL;CEN
21/04/2017 06:56:16 p.m.;6,505743;-7,432931;NULL;NULL;NULL;CEN
21/04/2017 06:56:16 p.m.;5,561123;-6,493222;NULL;NULL;NULL;CEN
21/04/2017 06:56:17 p.m.;4,683278;-5,468171;NULL;NULL;NULL;CEN
21/04/2017 06:56:18 p.m.;3,883894;-4,444726;NULL;NULL;NULL;CEN
21/04/2017 06:56:18 p.m.;3,082696;-3,419824;NULL;NULL;NULL;CEN
21/04/2017 06:56:19 p.m.;2,169521;-2,486424;NULL;NULL;NULL;CEN
21/04/2017 06:56:20 p.m.;1,297046;-1,463174;NULL;NULL;NULL;CEN
21/04/2017 06:56:20 p.m.;0,4944249;-0,4462096;NULL;NULL;NULL;CEN
21/04/2017 06:56:50 p.m.;0,4944249;-0,4462096;-12,85575;-15,32089;115;SEL
21/04/2017 06:56:55 p.m.;-0,01717132;0,03952242;NULL;NULL;NULL;FIN
