@Sujeto: Catriel
@Número Protocolo: 2
@Radio: 20
@Angulos: 20
@Total Banderas Circunferencia: 180
@Separacion: 2
time;posX;posY;banX;banY;idBan-RTA;estado
22/03/2017 12:55:40 p.m.;-0,1881732;0,193816;NULL;NULL;NULL;DET
22/03/2017 12:55:41 p.m.;-0,692413;0,243194;NULL;NULL;NULL;BUS
22/03/2017 12:55:42 p.m.;-1,196956;0,5606778;NULL;NULL;NULL;BUS
22/03/2017 12:55:43 p.m.;-2,248045;1,343253;NULL;NULL;NULL;BUS
22/03/2017 12:55:44 p.m.;-3,287929;2,105583;NULL;NULL;NULL;BUS
22/03/2017 12:55:44 p.m.;-4,333992;2,85683;NULL;NULL;NULL;BUS
22/03/2017 12:55:45 p.m.;-5,35592;3,535044;NULL;NULL;NULL;BUS
22/03/2017 12:55:45 p.m.;-6,409;4,242721;NULL;NULL;NULL;BUS
22/03/2017 12:55:46 p.m.;-7,476704;4,968998;NULL;NULL;NULL;BUS
22/03/2017 12:55:47 p.m.;-8,525923;5,681916;NULL;NULL;NULL;BUS
22/03/2017 12:55:48 p.m.;-9,568806;6,223728;NULL;NULL;NULL;BUS
22/03/2017 12:55:48 p.m.;-10,57632;6,775906;NULL;NULL;NULL;BUS
22/03/2017 12:55:49 p.m.;-11,60779;7,138165;NULL;NULL;NULL;BUS
22/03/2017 12:55:49 p.m.;-12,63695;7,754485;NULL;NULL;NULL;BUS
22/03/2017 12:55:50 p.m.;-13,66868;8,528795;NULL;NULL;NULL;BUS
22/03/2017 12:55:51 p.m.;-14,72153;9,224669;NULL;NULL;NULL;BUS
22/03/2017 12:55:51 p.m.;-15,75407;9,844872;NULL;NULL;NULL;BUS
22/03/2017 12:55:52 p.m.;-16,76572;10,49759;NULL;NULL;NULL;BUS
22/03/2017 12:55:52 p.m.;-16,76572;10,49759;-16,96096;10,59838;74;CAP
22/03/2017 12:55:56 p.m.;-16,26397;10,04463;NULL;NULL;NULL;CEN
22/03/2017 12:55:57 p.m.;-15,23312;9,345325;NULL;NULL;NULL;CEN
22/03/2017 12:55:58 p.m.;-14,16657;8,621654;NULL;NULL;NULL;CEN
22/03/2017 12:55:58 p.m.;-13,09974;7,897701;NULL;NULL;NULL;CEN
22/03/2017 12:55:59 p.m.;-12,05151;7,186343;NULL;NULL;NULL;CEN
22/03/2017 12:55:59 p.m.;-10,9848;6,462584;NULL;NULL;NULL;CEN
22/03/2017 12:56:00 p.m.;-9,917969;5,738627;NULL;NULL;NULL;CEN
22/03/2017 12:56:01 p.m.;-8,868967;5,026799;NULL;NULL;NULL;CEN
22/03/2017 12:56:01 p.m.;-7,8618;4,457151;NULL;NULL;NULL;CEN
22/03/2017 12:56:02 p.m.;-6,836559;3,917007;NULL;NULL;NULL;CEN
22/03/2017 12:56:03 p.m.;-5,828597;3,340409;NULL;NULL;NULL;CEN
22/03/2017 12:56:03 p.m.;-4,820654;2,764329;NULL;NULL;NULL;CEN
22/03/2017 12:56:04 p.m.;-3,813892;2,189083;NULL;NULL;NULL;CEN
22/03/2017 12:56:05 p.m.;-2,787398;1,602249;NULL;NULL;NULL;CEN
22/03/2017 12:56:05 p.m.;-1,779282;1,025924;NULL;NULL;NULL;CEN
22/03/2017 12:56:06 p.m.;-0,7700371;0,4328175;NULL;NULL;NULL;CEN
22/03/2017 12:56:09 p.m.;0,2874562;-0,657104;NULL;NULL;NULL;BUS
22/03/2017 12:56:10 p.m.;-0,6592566;-1,537009;NULL;NULL;NULL;BUS
22/03/2017 12:56:10 p.m.;-1,675042;-2,201572;NULL;NULL;NULL;BUS
22/03/2017 12:56:11 p.m.;-2,615106;-3,181926;NULL;NULL;NULL;BUS
22/03/2017 12:56:12 p.m.;-3,673392;-3,794991;NULL;NULL;NULL;BUS
22/03/2017 12:56:12 p.m.;-4,685528;-4,680176;NULL;NULL;NULL;BUS
22/03/2017 12:56:13 p.m.;-5,566815;-5,707124;NULL;NULL;NULL;BUS
22/03/2017 12:56:14 p.m.;-6,448583;-6,735094;NULL;NULL;NULL;BUS
22/03/2017 12:56:14 p.m.;-7,329268;-7,761064;NULL;NULL;NULL;BUS
22/03/2017 12:56:15 p.m.;-8,197424;-8,772479;NULL;NULL;NULL;BUS
22/03/2017 12:56:16 p.m.;-9,079271;-9,800155;NULL;NULL;NULL;BUS
22/03/2017 12:56:17 p.m.;-9,974668;-10,84302;NULL;NULL;NULL;BUS
22/03/2017 12:56:17 p.m.;-10,85698;-11,87138;NULL;NULL;NULL;BUS
22/03/2017 12:56:18 p.m.;-11,72522;-12,88308;NULL;NULL;NULL;BUS
22/03/2017 12:56:19 p.m.;-12,60738;-13,91095;NULL;NULL;NULL;BUS
22/03/2017 12:56:19 p.m.;-13,39777;-14,92907;NULL;NULL;NULL;BUS
22/03/2017 12:56:19 p.m.;-13,39777;-14,92907;-13,38261;-14,8629;114;CAP
22/03/2017 12:56:23 p.m.;-12,8827;-14,41769;NULL;NULL;NULL;CEN
22/03/2017 12:56:24 p.m.;-11,90238;-13,39287;NULL;NULL;NULL;CEN
22/03/2017 12:56:25 p.m.;-10,94145;-12,35424;NULL;NULL;NULL;CEN
22/03/2017 12:56:26 p.m.;-9,993029;-11,32895;NULL;NULL;NULL;CEN
22/03/2017 12:56:26 p.m.;-9,030097;-10,28792;NULL;NULL;NULL;CEN
22/03/2017 12:56:27 p.m.;-8,082267;-9,262903;NULL;NULL;NULL;CEN
22/03/2017 12:56:28 p.m.;-7,119191;-8,221727;NULL;NULL;NULL;CEN
22/03/2017 12:56:29 p.m.;-6,175145;-7,192974;NULL;NULL;NULL;CEN
22/03/2017 12:56:29 p.m.;-5,366489;-6,18515;NULL;NULL;NULL;CEN
22/03/2017 12:56:30 p.m.;-4,403696;-5,145233;NULL;NULL;NULL;CEN
22/03/2017 12:56:31 p.m.;-3,45474;-4,119218;NULL;NULL;NULL;CEN
22/03/2017 12:56:31 p.m.;-2,85571;-3,110748;NULL;NULL;NULL;CEN
22/03/2017 12:56:32 p.m.;-2,028657;-2,08976;NULL;NULL;NULL;CEN
22/03/2017 12:56:33 p.m.;-1,079434;-1,063899;NULL;NULL;NULL;CEN
22/03/2017 12:56:33 p.m.;-0,1270492;-0,0597299;NULL;NULL;NULL;CEN
22/03/2017 12:57:11 p.m.;-0,1270492;-0,0597299;-19,80536;-2,783462;94;SEL
22/03/2017 12:59:01 p.m.;-0,6422746;0,1692876;NULL;NULL;NULL;FIN
