@Sujeto: Maximiliano
@Número Protocolo: 5
@Radio: 20
@Angulos: 20
@Total Banderas Circunferencia: 180
@Separacion: 2
time;posX;posY;banX;banY;idBan-RTA;estado
22/03/2017 02:13:53 p.m.;-0,167102;0,2827183;NULL;NULL;NULL;DET
22/03/2017 02:14:38 p.m.;-0,1187002;-0,2194252;NULL;NULL;NULL;BUS
22/03/2017 02:14:40 p.m.;0,2448018;-1,229361;NULL;NULL;NULL;BUS
22/03/2017 02:14:41 p.m.;1,282503;-1,894148;NULL;NULL;NULL;BUS
22/03/2017 02:14:41 p.m.;2,350415;-2,417331;NULL;NULL;NULL;BUS
22/03/2017 02:14:42 p.m.;3,408938;-2,892398;NULL;NULL;NULL;BUS
22/03/2017 02:14:42 p.m.;4,455653;-3,389478;NULL;NULL;NULL;BUS
22/03/2017 02:14:43 p.m.;5,484038;-3,877602;NULL;NULL;NULL;BUS
22/03/2017 02:14:44 p.m.;6,530723;-4,379797;NULL;NULL;NULL;BUS
22/03/2017 02:14:44 p.m.;7,555461;-4,925252;NULL;NULL;NULL;BUS
22/03/2017 02:14:45 p.m.;8,577505;-5,467852;NULL;NULL;NULL;BUS
22/03/2017 02:14:45 p.m.;9,592264;-6,021251;NULL;NULL;NULL;BUS
22/03/2017 02:14:46 p.m.;10,61294;-6,611204;NULL;NULL;NULL;BUS
22/03/2017 02:14:47 p.m.;11,63243;-7,202696;NULL;NULL;NULL;BUS
22/03/2017 02:14:47 p.m.;12,63491;-7,788986;NULL;NULL;NULL;BUS
22/03/2017 02:14:48 p.m.;13,65444;-8,386885;NULL;NULL;NULL;BUS
22/03/2017 02:14:48 p.m.;14,65675;-8,979138;NULL;NULL;NULL;BUS
22/03/2017 02:14:49 p.m.;15,66069;-9,572575;NULL;NULL;NULL;BUS
22/03/2017 02:14:50 p.m.;16,66442;-10,16645;16,96096;-10,59838;164;CAP
22/03/2017 02:14:50 p.m.;16,66442;-10,16645;NULL;NULL;NULL;CEN
22/03/2017 02:14:50 p.m.;17,68861;-10,79358;NULL;NULL;NULL;CEN
22/03/2017 02:14:51 p.m.;18,05431;-11,32719;NULL;NULL;NULL;CEN
22/03/2017 02:14:52 p.m.;17,67915;-12,3779;NULL;NULL;NULL;CEN
22/03/2017 02:14:55 p.m.;18,09409;-11,875;NULL;NULL;NULL;CEN
22/03/2017 02:14:56 p.m.;18,7227;-10,82455;NULL;NULL;NULL;CEN
22/03/2017 02:14:57 p.m.;18,72728;-9,81562;NULL;NULL;NULL;CEN
22/03/2017 02:14:57 p.m.;18,42251;-8,774771;NULL;NULL;NULL;CEN
22/03/2017 02:14:58 p.m.;17,54921;-7,899886;NULL;NULL;NULL;CEN
22/03/2017 02:14:58 p.m.;16,53398;-7,493358;NULL;NULL;NULL;CEN
22/03/2017 02:14:59 p.m.;15,52822;-6,941546;NULL;NULL;NULL;CEN
22/03/2017 02:15:00 p.m.;14,51362;-6,362451;NULL;NULL;NULL;CEN
22/03/2017 02:15:00 p.m.;13,50844;-5,85387;NULL;NULL;NULL;CEN
22/03/2017 02:15:01 p.m.;12,47049;-5,320425;NULL;NULL;NULL;CEN
22/03/2017 02:15:01 p.m.;11,41591;-4,774148;NULL;NULL;NULL;CEN
22/03/2017 02:15:02 p.m.;10,36127;-4,232573;NULL;NULL;NULL;CEN
22/03/2017 02:15:03 p.m.;9,306546;-3,690953;NULL;NULL;NULL;CEN
22/03/2017 02:15:03 p.m.;8,259547;-3,189972;NULL;NULL;NULL;CEN
22/03/2017 02:15:04 p.m.;7,230868;-2,817938;NULL;NULL;NULL;CEN
22/03/2017 02:15:05 p.m.;6,19097;-2,442906;NULL;NULL;NULL;CEN
22/03/2017 02:15:05 p.m.;5,168046;-2,053349;NULL;NULL;NULL;CEN
22/03/2017 02:15:06 p.m.;4,125648;-1,656377;NULL;NULL;NULL;CEN
22/03/2017 02:15:06 p.m.;3,083346;-1,259284;NULL;NULL;NULL;CEN
22/03/2017 02:15:07 p.m.;2,063366;-0,8628392;NULL;NULL;NULL;CEN
22/03/2017 02:15:07 p.m.;1,026847;-0,4563578;NULL;NULL;NULL;CEN
22/03/2017 02:15:50 p.m.;-0,0009137634;-0,03121009;19,02113;6,18034;9;SEL
