@Sujeto: Victoria
@Número Protocolo: 2
@Radio: 20
@Angulos: 20
@Total Banderas Circunferencia: 180
@Separacion: 2
time;posX;posY;banX;banY;idBan-RTA;estado
22/04/2017 09:52:12 a.m.;0,8402468;0,3073259;NULL;NULL;NULL;DET
22/04/2017 09:52:14 a.m.;0,3281875;0,284597;NULL;NULL;NULL;BUS
22/04/2017 09:52:23 a.m.;-0,1777906;0,2382484;NULL;NULL;NULL;BUS
22/04/2017 09:52:24 a.m.;-1,197782;-0,3285446;NULL;NULL;NULL;BUS
22/04/2017 09:52:27 a.m.;-1,706623;-0,6449234;NULL;NULL;NULL;BUS
22/04/2017 09:52:29 a.m.;-2,211624;-0,8693915;NULL;NULL;NULL;BUS
22/04/2017 09:52:30 a.m.;-2,717048;-1,146352;NULL;NULL;NULL;BUS
22/04/2017 09:52:30 a.m.;-3,720985;-1,951357;NULL;NULL;NULL;BUS
22/04/2017 09:52:31 a.m.;-4,731441;-2,764383;NULL;NULL;NULL;BUS
22/04/2017 09:52:32 a.m.;-5,753343;-3,394104;NULL;NULL;NULL;BUS
22/04/2017 09:52:32 a.m.;-6,768234;-4,024777;NULL;NULL;NULL;BUS
22/04/2017 09:52:33 a.m.;-7,284264;-4,307695;NULL;NULL;NULL;BUS
22/04/2017 09:52:34 a.m.;-8,290928;-5,088019;NULL;NULL;NULL;BUS
22/04/2017 09:52:34 a.m.;-9,301445;-5,665218;NULL;NULL;NULL;BUS
22/04/2017 09:52:35 a.m.;-10,30844;-6,256208;NULL;NULL;NULL;BUS
22/04/2017 09:52:35 a.m.;-11,30877;-6,928096;NULL;NULL;NULL;BUS
22/04/2017 09:52:36 a.m.;-12,30909;-7,599987;NULL;NULL;NULL;BUS
22/04/2017 09:52:37 a.m.;-13,3094;-8,271822;NULL;NULL;NULL;BUS
22/04/2017 09:52:38 a.m.;-14,31782;-8,834659;NULL;NULL;NULL;BUS
22/04/2017 09:52:38 a.m.;-14,81849;-9,240716;NULL;NULL;NULL;BUS
22/04/2017 09:52:39 a.m.;-15,3212;-9,621011;NULL;NULL;NULL;BUS
22/04/2017 09:52:40 a.m.;-16,33012;-10,06135;NULL;NULL;NULL;BUS
22/04/2017 09:52:40 a.m.;-16,33012;-10,06135;-16,96096;-10,59838;106;CAP
22/04/2017 09:52:46 a.m.;-15,85652;-9,549374;NULL;NULL;NULL;CEN
22/04/2017 09:52:47 a.m.;-14,82286;-8,787107;NULL;NULL;NULL;CEN
22/04/2017 09:52:47 a.m.;-13,81708;-8,278751;NULL;NULL;NULL;CEN
22/04/2017 09:52:48 a.m.;-12,81147;-7,770565;NULL;NULL;NULL;CEN
22/04/2017 09:52:49 a.m.;-11,80848;-7,257032;NULL;NULL;NULL;CEN
22/04/2017 09:52:49 a.m.;-10,78486;-6,690119;NULL;NULL;NULL;CEN
22/04/2017 09:52:50 a.m.;-9,761107;-6,038621;NULL;NULL;NULL;CEN
22/04/2017 09:52:50 a.m.;-8,74287;-5,378265;NULL;NULL;NULL;CEN
22/04/2017 09:52:51 a.m.;-7,724548;-4,717935;NULL;NULL;NULL;CEN
22/04/2017 09:52:52 a.m.;-6,705771;-4,057519;NULL;NULL;NULL;CEN
22/04/2017 09:52:52 a.m.;-5,686992;-3,397106;NULL;NULL;NULL;CEN
22/04/2017 09:52:53 a.m.;-4,668213;-2,736692;NULL;NULL;NULL;CEN
22/04/2017 09:52:53 a.m.;-3,64937;-2,075964;NULL;NULL;NULL;CEN
22/04/2017 09:52:54 a.m.;-2,630547;-1,415256;NULL;NULL;NULL;CEN
22/04/2017 09:52:55 a.m.;-1,610064;-0,7571719;NULL;NULL;NULL;CEN
22/04/2017 09:52:55 a.m.;-0,6074198;-0,3371698;NULL;NULL;NULL;CEN
22/04/2017 09:52:58 a.m.;3,477917;-1,139698;NULL;NULL;NULL;BUS
22/04/2017 09:52:58 a.m.;4,482643;-1,548265;NULL;NULL;NULL;BUS
22/04/2017 09:52:59 a.m.;5,499259;-2,036036;NULL;NULL;NULL;BUS
22/04/2017 09:52:59 a.m.;6,504164;-2,548407;NULL;NULL;NULL;BUS
22/04/2017 09:53:00 a.m.;7,530433;-3,103168;NULL;NULL;NULL;BUS
22/04/2017 09:53:00 a.m.;8,549848;-3,715879;NULL;NULL;NULL;BUS
22/04/2017 09:53:01 a.m.;9,553327;-4,318313;NULL;NULL;NULL;BUS
22/04/2017 09:53:02 a.m.;10,55602;-4,92008;NULL;NULL;NULL;BUS
22/04/2017 09:53:02 a.m.;11,55845;-5,518849;NULL;NULL;NULL;BUS
22/04/2017 09:53:03 a.m.;12,56086;-6,117924;NULL;NULL;NULL;BUS
22/04/2017 09:53:03 a.m.;13,56927;-6,834631;NULL;NULL;NULL;BUS
22/04/2017 09:53:04 a.m.;14,59986;-7,553908;NULL;NULL;NULL;BUS
22/04/2017 09:53:05 a.m.;15,60061;-8,157214;NULL;NULL;NULL;BUS
22/04/2017 09:53:05 a.m.;16,60384;-8,765821;NULL;NULL;NULL;BUS
22/04/2017 09:53:06 a.m.;17,61323;-9,39739;NULL;NULL;NULL;BUS
22/04/2017 09:53:06 a.m.;17,61323;-9,39739;17,65895;-9,389431;166;CAP
22/04/2017 09:53:07 a.m.;17,61679;-9,419482;NULL;NULL;NULL;CEN
22/04/2017 09:53:11 a.m.;16,60035;-8,774688;NULL;NULL;NULL;CEN
22/04/2017 09:53:12 a.m.;15,58547;-8,196718;NULL;NULL;NULL;CEN
22/04/2017 09:53:12 a.m.;14,56656;-7,405143;NULL;NULL;NULL;CEN
22/04/2017 09:53:13 a.m.;13,54425;-6,747014;NULL;NULL;NULL;CEN
22/04/2017 09:53:13 a.m.;12,51774;-6,181021;NULL;NULL;NULL;CEN
22/04/2017 09:53:14 a.m.;11,49102;-5,614296;NULL;NULL;NULL;CEN
22/04/2017 09:53:15 a.m.;10,46444;-5,047566;NULL;NULL;NULL;CEN
22/04/2017 09:53:15 a.m.;9,438782;-4,483759;NULL;NULL;NULL;CEN
22/04/2017 09:53:16 a.m.;8,401665;-3,94674;NULL;NULL;NULL;CEN
22/04/2017 09:53:16 a.m.;7,398041;-3,434027;NULL;NULL;NULL;CEN
22/04/2017 09:53:17 a.m.;6,394569;-2,922522;NULL;NULL;NULL;CEN
22/04/2017 09:53:18 a.m.;5,390727;-2,41093;NULL;NULL;NULL;CEN
22/04/2017 09:53:18 a.m.;4,386882;-1,899658;NULL;NULL;NULL;CEN
22/04/2017 09:53:19 a.m.;3,3827;-1,389043;NULL;NULL;NULL;CEN
22/04/2017 09:53:19 a.m.;2,360592;-0,8587137;NULL;NULL;NULL;CEN
22/04/2017 09:53:20 a.m.;1,346846;-0,3993817;NULL;NULL;NULL;CEN
22/04/2017 09:53:20 a.m.;0,9119966;0,621319;NULL;NULL;NULL;CEN
22/04/2017 09:53:21 a.m.;0,1045682;1,631119;NULL;NULL;NULL;CEN
22/04/2017 09:53:22 a.m.;-0,9273302;1,998822;NULL;NULL;NULL;CEN
22/04/2017 09:53:24 a.m.;-1,15016;1,462923;NULL;NULL;NULL;CEN
22/04/2017 09:53:24 a.m.;-0,2127529;0,4764801;NULL;NULL;NULL;CEN
22/04/2017 09:54:00 a.m.;-0,2127529;0,4764801;18,27091;-8,134733;168;SEL
22/04/2017 09:54:09 a.m.;-0,7185573;0,2134429;NULL;NULL;NULL;FIN
