13/03/2018 05:43:24 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
13/03/2018 05:43:24 p.m.;0,3397922;0,2874146;DET
13/03/2018 05:43:32 p.m.;-0,1606297;-0,08867087;NULL;NULL;NULL;REC
13/03/2018 05:43:32 p.m.;-0,1606297;-0,08867087;REC
13/03/2018 05:43:34 p.m.;-0,5167146;-0,6026193;REC
13/03/2018 05:43:35 p.m.;-1,336562;-1,612355;REC
13/03/2018 05:43:36 p.m.;-2,156261;-2,621728;REC
13/03/2018 05:43:36 p.m.;-2,975904;-3,629751;REC
13/03/2018 05:43:37 p.m.;-3,796344;-4,638569;REC
13/03/2018 05:43:38 p.m.;-4,611895;-5,651112;REC
13/03/2018 05:43:38 p.m.;-5,205414;-6,677902;REC
13/03/2018 05:43:39 p.m.;-6,016675;-7,693424;REC
13/03/2018 05:43:40 p.m.;-6,89258;-8,713864;REC
13/03/2018 05:43:40 p.m.;-7,400564;-9,727843;REC
13/03/2018 05:43:41 p.m.;-8,407331;-10,50299;REC
13/03/2018 05:43:41 p.m.;-9,227891;-11,5121;REC
13/03/2018 05:43:42 p.m.;-10,04872;-12,52141;REC
13/03/2018 05:43:43 p.m.;-10,86955;-13,5307;REC
13/03/2018 05:43:43 p.m.;-11,68524;-14,5442;REC
13/03/2018 05:43:49 p.m.;-12,22214;-15,04667;RET
13/03/2018 05:43:50 p.m.;-11,44014;-14,03556;RET
13/03/2018 05:43:51 p.m.;-10,63007;-13,01984;RET
13/03/2018 05:43:51 p.m.;-9,613927;-12,02554;RET
13/03/2018 05:43:52 p.m.;-8,596959;-11,05931;RET
13/03/2018 05:43:53 p.m.;-7,577137;-10,07021;RET
13/03/2018 05:43:53 p.m.;-7,164004;-9,043678;RET
13/03/2018 05:43:54 p.m.;-6,38614;-8,02867;RET
13/03/2018 05:43:55 p.m.;-5,585989;-7,002856;RET
13/03/2018 05:43:55 p.m.;-4,78563;-5,977722;RET
13/03/2018 05:43:56 p.m.;-3,9823;-4,954911;RET
13/03/2018 05:43:57 p.m.;-3,171613;-3,937217;RET
13/03/2018 05:43:57 p.m.;-2,35495;-2,910807;RET
13/03/2018 05:43:58 p.m.;-1,551542;-1,89312;RET
13/03/2018 05:43:59 p.m.;-0,6590461;-0,8725147;RET
13/03/2018 05:43:59 p.m.;0,1383464;0,1481177;RET
13/03/2018 05:44:00 p.m.;0,1383464;0,1481177;REC
13/03/2018 05:44:04 p.m.;0,4036849;0,1427423;REC
13/03/2018 05:44:05 p.m.;0,1946305;-0,8775936;REC
13/03/2018 05:44:05 p.m.;0,1145839;-1,910173;REC
13/03/2018 05:44:06 p.m.;-0,07202771;-2,949916;REC
13/03/2018 05:44:06 p.m.;-0,3650756;-3,989762;REC
13/03/2018 05:44:07 p.m.;-0,3665639;-5,029457;REC
13/03/2018 05:44:07 p.m.;-0,3684474;-6,065835;REC
13/03/2018 05:44:08 p.m.;-0,1994648;-7,106252;REC
13/03/2018 05:44:08 p.m.;0,05808382;-8,147829;REC
13/03/2018 05:44:09 p.m.;0,2652796;-9,189141;REC
13/03/2018 05:44:09 p.m.;0,4478877;-10,23088;REC
13/03/2018 05:44:10 p.m.;0,5369576;-11,26738;REC
13/03/2018 05:44:11 p.m.;0,5914644;-12,30765;REC
13/03/2018 05:44:11 p.m.;0,6387473;-13,34722;REC
13/03/2018 05:44:12 p.m.;0,6862394;-14,38777;REC
13/03/2018 05:44:12 p.m.;0,6949811;-15,42831;REC
13/03/2018 05:44:13 p.m.;0,6933728;-16,4615;REC
13/03/2018 05:44:13 p.m.;0,6914411;-17,50009;REC
13/03/2018 05:44:14 p.m.;0,4637365;-18,53988;REC
13/03/2018 05:44:15 p.m.;0,4555393;-19,58702;RET
13/03/2018 05:44:16 p.m.;-0,04575344;-18,76182;RET
13/03/2018 05:44:17 p.m.;-1,007752;-18,11321;RET
13/03/2018 05:44:17 p.m.;-1,135592;-17,10355;RET
13/03/2018 05:44:18 p.m.;-0,9337913;-16,07408;RET
13/03/2018 05:44:18 p.m.;-0,9830201;-15,05652;RET
13/03/2018 05:44:19 p.m.;-1,433344;-14,04895;RET
13/03/2018 05:44:19 p.m.;-1,646478;-13,03294;RET
13/03/2018 05:44:20 p.m.;-1,762228;-11,99865;RET
13/03/2018 05:44:20 p.m.;-1,750188;-10,95931;RET
13/03/2018 05:44:21 p.m.;-1,592349;-9,933769;RET
13/03/2018 05:44:21 p.m.;-1,45808;-8,904544;RET
13/03/2018 05:44:22 p.m.;-1,243396;-7,889148;RET
13/03/2018 05:44:23 p.m.;-1,102005;-6,856453;RET
13/03/2018 05:44:23 p.m.;-0,9654361;-5,823812;RET
13/03/2018 05:44:24 p.m.;-0,494859;-4,816135;RET
13/03/2018 05:44:24 p.m.;-0,444333;-3,796277;RET
13/03/2018 05:44:25 p.m.;-0,3205265;-2,762201;RET
13/03/2018 05:44:25 p.m.;-0,2269036;-1,726705;RET
13/03/2018 05:44:26 p.m.;-0,0122718;-0,6980575;RET
13/03/2018 05:44:26 p.m.;0,07334424;0,3394301;EVA
13/03/2018 05:44:41 p.m.;0,0137045;0,3333499;PR2
13/03/2018 05:44:41 p.m.;0,0137045;0,3333499;PR2
13/03/2018 05:44:42 p.m.;0,0137045;0,3333499;PR2
13/03/2018 05:44:42 p.m.;0,0137045;0,3333499;PR2
13/03/2018 05:44:42 p.m.;0,0137045;0,3333499;PR2
13/03/2018 05:44:42 p.m.;0,0137045;0,3333499;PR2
