14/03/2018 10:28:12 a.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
14/03/2018 10:28:12 a.m.;0,3397922;0,2874146;DET
14/03/2018 10:28:21 a.m.;0,03338227;-0,215271;NULL;NULL;NULL;REC
14/03/2018 10:28:21 a.m.;0,03338227;-0,215271;REC
14/03/2018 10:28:26 a.m.;0,000173192;0,2895152;REC
14/03/2018 10:28:26 a.m.;0,1913941;1,312778;REC
14/03/2018 10:28:27 a.m.;0,3613495;2,339403;REC
14/03/2018 10:28:27 a.m.;0,4642747;3,374384;REC
14/03/2018 10:28:28 a.m.;0,5455343;4,414632;REC
14/03/2018 10:28:28 a.m.;0,6267937;5,454879;REC
14/03/2018 10:28:29 a.m.;0,7073855;6,492986;REC
14/03/2018 10:28:29 a.m.;0,7378132;7,519376;REC
14/03/2018 10:28:30 a.m.;0,6777553;8,538666;REC
14/03/2018 10:28:30 a.m.;0,7893127;9,571819;REC
14/03/2018 10:28:31 a.m.;0,9535195;10,59927;REC
14/03/2018 10:28:32 a.m.;1,281799;12,65253;REC
14/03/2018 10:28:32 a.m.;1,445638;13,67668;REC
14/03/2018 10:28:33 a.m.;1,609465;14,70106;REC
14/03/2018 10:28:33 a.m.;1,773465;15,72647;REC
14/03/2018 10:28:34 a.m.;1,937546;16,75319;REC
14/03/2018 10:28:34 a.m.;2,101621;17,77914;REC
14/03/2018 10:28:35 a.m.;2,265816;18,80625;REC
14/03/2018 10:28:41 a.m.;2,445508;19,31188;RET
14/03/2018 10:28:41 a.m.;2,360882;18,27576;RET
14/03/2018 10:28:42 a.m.;2,221705;17,24555;RET
14/03/2018 10:28:42 a.m.;2,082184;16,21545;RET
14/03/2018 10:28:43 a.m.;1,94253;15,18439;RET
14/03/2018 10:28:43 a.m.;1,802824;14,15328;RET
14/03/2018 10:28:44 a.m.;1,663267;13,12332;RET
14/03/2018 10:28:44 a.m.;1,523592;12,09299;RET
14/03/2018 10:28:45 a.m.;1,383973;11,0623;RET
14/03/2018 10:28:45 a.m.;1,244346;10,03119;RET
14/03/2018 10:28:46 a.m.;1,104861;9,002308;RET
14/03/2018 10:28:47 a.m.;0,9653547;7,97222;RET
14/03/2018 10:28:47 a.m.;0,8256482;6,940246;RET
14/03/2018 10:28:48 a.m.;0,6860941;5,909751;RET
14/03/2018 10:28:48 a.m.;0,5470105;4,878658;RET
14/03/2018 10:28:49 a.m.;0,4079936;3,846814;RET
14/03/2018 10:28:49 a.m.;0,2689667;2,815015;RET
14/03/2018 10:28:50 a.m.;0,1301022;1,784079;RET
14/03/2018 10:28:50 a.m.;0,1526885;0,7537518;RET
14/03/2018 10:28:51 a.m.;0,1526885;0,7537518;REC
14/03/2018 10:28:54 a.m.;-0,006295509;-0,7753659;REC
14/03/2018 10:28:59 a.m.;-0,07711651;-0,2689803;REC
14/03/2018 10:29:00 a.m.;-0,7058176;0,7466394;REC
14/03/2018 10:29:00 a.m.;-1,368566;1,760474;REC
14/03/2018 10:29:01 a.m.;-2,018928;2,785089;REC
14/03/2018 10:29:01 a.m.;-2,689699;3,796187;REC
14/03/2018 10:29:02 a.m.;-3,3678;4,802535;REC
14/03/2018 10:29:03 a.m.;-4,046044;5,809286;REC
14/03/2018 10:29:03 a.m.;-4,724144;6,815116;REC
14/03/2018 10:29:04 a.m.;-5,401822;7,820145;REC
14/03/2018 10:29:04 a.m.;-6,080399;8,827043;REC
14/03/2018 10:29:05 a.m.;-6,756286;9,835164;REC
14/03/2018 10:29:06 a.m.;-7,424325;10,84907;REC
14/03/2018 10:29:06 a.m.;-8,077855;11,8716;REC
14/03/2018 10:29:07 a.m.;-8,698167;12,88735;REC
14/03/2018 10:29:08 a.m.;-9,28106;13,90268;REC
14/03/2018 10:29:08 a.m.;-9,863741;14,91754;REC
14/03/2018 10:29:13 a.m.;-10,22919;16,10384;RET
14/03/2018 10:29:14 a.m.;-9,392725;15,08126;RET
14/03/2018 10:29:14 a.m.;-8,588996;14,0593;RET
14/03/2018 10:29:15 a.m.;-7,827075;13,03295;RET
14/03/2018 10:29:15 a.m.;-7,099186;12,01284;RET
14/03/2018 10:29:16 a.m.;-6,43595;10,99778;RET
14/03/2018 10:29:17 a.m.;-5,780529;9,976223;RET
14/03/2018 10:29:17 a.m.;-5,12552;8,955427;RET
14/03/2018 10:29:18 a.m.;-4,470008;7,933737;RET
14/03/2018 10:29:19 a.m.;-3,844949;6,91823;RET
14/03/2018 10:29:19 a.m.;-3,236702;5,917603;RET
14/03/2018 10:29:20 a.m.;-2,645963;4,909043;RET
14/03/2018 10:29:20 a.m.;-2,092072;3,877207;RET
14/03/2018 10:29:21 a.m.;-1,509871;2,86263;RET
14/03/2018 10:29:22 a.m.;-0,8904194;1,843815;RET
14/03/2018 10:29:22 a.m.;-0,3140976;0,8170435;RET
14/03/2018 10:29:24 a.m.;0,3712414;-0,2182219;EVA
14/03/2018 10:29:36 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:36 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:36 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:36 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:37 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:37 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:37 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:37 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:37 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:37 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:37 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:37 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:37 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:38 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:38 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:38 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:38 a.m.;0,3712414;-0,2182219;PR2
14/03/2018 10:29:38 a.m.;0,3712414;-0,2182219;PR2
