14/03/2018 06:38:23 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
14/03/2018 06:38:23 p.m.;0,3397922;0,2874146;DET
14/03/2018 06:38:28 p.m.;-0,1625317;0,1345391;NULL;NULL;NULL;REC
14/03/2018 06:38:28 p.m.;-0,1625317;0,1345391;REC
14/03/2018 06:38:36 p.m.;-0,1776796;-0,3487164;REC
14/03/2018 06:38:37 p.m.;0,8506719;-0,965468;REC
14/03/2018 06:38:37 p.m.;1,356608;-0,5005059;REC
14/03/2018 06:38:38 p.m.;1,237601;0,03085495;REC
14/03/2018 06:38:39 p.m.;0,2083644;-0,1154511;REC
14/03/2018 06:38:40 p.m.;-0,2305526;-0,619739;REC
14/03/2018 06:38:41 p.m.;-0,185745;-0,6295086;REC
14/03/2018 06:38:42 p.m.;0,09023073;0,3737449;REC
14/03/2018 06:38:46 p.m.;0,4917212;0,3616123;REC
14/03/2018 06:38:47 p.m.;0,4663207;-0,1502243;REC
14/03/2018 06:38:48 p.m.;-0,4775592;-0,0255475;REC
14/03/2018 06:38:50 p.m.;0,03082064;0,05707739;REC
14/03/2018 06:38:50 p.m.;1,04366;0,5962795;REC
14/03/2018 06:38:51 p.m.;2,060663;1,280654;REC
14/03/2018 06:38:52 p.m.;2,773394;2,162572;REC
14/03/2018 06:38:52 p.m.;3,776511;2,698258;REC
14/03/2018 06:38:53 p.m.;4,793974;3,463462;REC
14/03/2018 06:38:54 p.m.;5,797901;4,391705;REC
14/03/2018 06:38:54 p.m.;6,757155;5,400965;REC
14/03/2018 06:38:55 p.m.;7,784227;5,959511;REC
14/03/2018 06:38:56 p.m.;8,8173;6,508123;REC
14/03/2018 06:38:56 p.m.;9,850101;7,056563;REC
14/03/2018 06:38:57 p.m.;10,88307;7,605099;REC
14/03/2018 06:38:57 p.m.;11,89707;8,236112;REC
14/03/2018 06:38:58 p.m.;12,91616;8,951171;REC
14/03/2018 06:38:59 p.m.;13,93621;9,296039;REC
14/03/2018 06:39:00 p.m.;16,81235;11,18255;RET
14/03/2018 06:39:06 p.m.;16,8259;11,43793;RET
14/03/2018 06:39:06 p.m.;15,94929;10,43909;RET
14/03/2018 06:39:07 p.m.;15,21061;9,133326;RET
14/03/2018 06:39:08 p.m.;14,19283;8,769674;RET
14/03/2018 06:39:08 p.m.;13,37517;7,751187;RET
14/03/2018 06:39:09 p.m.;12,3414;7,290705;RET
14/03/2018 06:39:09 p.m.;11,31627;6,905037;RET
14/03/2018 06:39:10 p.m.;10,28563;6,347733;RET
14/03/2018 06:39:10 p.m.;9,255905;5,790929;RET
14/03/2018 06:39:11 p.m.;8,226416;5,232365;RET
14/03/2018 06:39:12 p.m.;7,195703;4,672817;RET
14/03/2018 06:39:12 p.m.;6,16876;4,115425;RET
14/03/2018 06:39:13 p.m.;5,265274;3,231182;RET
14/03/2018 06:39:14 p.m.;4,245838;2,610456;RET
14/03/2018 06:39:14 p.m.;3,216372;2,05371;RET
14/03/2018 06:39:15 p.m.;2,186899;1,497595;RET
14/03/2018 06:39:15 p.m.;1,16168;0,841814;RET
14/03/2018 06:39:16 p.m.;0,2809163;-0,05939265;RET
14/03/2018 06:39:17 p.m.;0,2809163;-0,05939265;REC
14/03/2018 06:39:18 p.m.;-1,674678;-1,118448;REC
14/03/2018 06:39:19 p.m.;-1,522455;-1,618647;REC
14/03/2018 06:39:20 p.m.;-1,020273;-1,610912;REC
14/03/2018 06:39:21 p.m.;-0,8777423;-1,087655;REC
14/03/2018 06:39:21 p.m.;-0,4242445;-0,0695854;REC
14/03/2018 06:39:22 p.m.;0,5026677;0,7811378;REC
14/03/2018 06:39:23 p.m.;1,531572;1,465124;REC
14/03/2018 06:39:23 p.m.;2,434438;2,468857;REC
14/03/2018 06:39:24 p.m.;3,425596;3,310662;REC
14/03/2018 06:39:25 p.m.;4,1036;4,317198;REC
14/03/2018 06:39:25 p.m.;4,779535;5,31905;REC
14/03/2018 06:39:26 p.m.;5,456248;6,323086;REC
14/03/2018 06:39:26 p.m.;6,200976;7,335918;REC
14/03/2018 06:39:27 p.m.;7,036698;8,339429;REC
14/03/2018 06:39:28 p.m.;8,050064;9,198066;REC
14/03/2018 06:39:28 p.m.;8,898991;10,16878;REC
14/03/2018 06:39:29 p.m.;9,382371;11,17507;REC
14/03/2018 06:39:30 p.m.;9,631831;12,20877;REC
14/03/2018 06:39:30 p.m.;10,25309;13,22708;REC
14/03/2018 06:39:31 p.m.;10,92987;14,23306;REC
14/03/2018 06:39:32 p.m.;12,28373;16,24613;RET
14/03/2018 06:39:33 p.m.;12,86583;17,26365;RET
14/03/2018 06:39:33 p.m.;13,21599;18,2851;RET
14/03/2018 06:39:34 p.m.;12,97593;19,29751;RET
14/03/2018 06:39:35 p.m.;12,47178;19,64397;RET
14/03/2018 06:39:35 p.m.;11,97024;19,58037;RET
14/03/2018 06:39:36 p.m.;11,46816;19,16117;RET
14/03/2018 06:39:37 p.m.;10,83556;18,14741;RET
14/03/2018 06:39:37 p.m.;10,45702;16,60249;RET
14/03/2018 06:39:38 p.m.;9,603951;15,58959;RET
14/03/2018 06:39:39 p.m.;8,651479;14,80244;RET
14/03/2018 06:39:39 p.m.;7,638353;14,22517;RET
14/03/2018 06:39:40 p.m.;7,113401;13,20498;RET
14/03/2018 06:39:40 p.m.;6,541979;12,18445;RET
14/03/2018 06:39:41 p.m.;5,970391;11,16327;RET
14/03/2018 06:39:42 p.m.;5,427485;10,12631;RET
14/03/2018 06:39:42 p.m.;5,214633;9,100913;RET
14/03/2018 06:39:43 p.m.;4,752913;8,09176;RET
14/03/2018 06:39:43 p.m.;4,191167;7,063478;RET
14/03/2018 06:39:44 p.m.;3,619205;6,040669;RET
14/03/2018 06:39:45 p.m.;2,866131;5,020055;RET
14/03/2018 06:39:45 p.m.;2,07162;3,998664;RET
14/03/2018 06:39:46 p.m.;1,473586;2,99137;RET
14/03/2018 06:39:46 p.m.;0,884877;1,979999;RET
14/03/2018 06:39:47 p.m.;0,3015627;0,9578549;RET
14/03/2018 06:39:48 p.m.;-0,2708034;-0,06100288;RET
14/03/2018 06:39:48 p.m.;-0,8424046;-1,082599;EVA
14/03/2018 06:40:01 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:01 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:02 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:02 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:02 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:02 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:03 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:03 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:03 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:04 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:04 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:04 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:05 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:05 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:06 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:06 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:06 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:06 p.m.;0,1257364;0,05567494;PR2
14/03/2018 06:40:07 p.m.;0,1257364;0,05567494;PR2
