14/03/2018 01:02:28 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
14/03/2018 01:02:28 p.m.;0,3397922;0,2874146;DET
14/03/2018 01:02:38 p.m.;0,8498748;0,1142045;NULL;NULL;NULL;REC
14/03/2018 01:02:38 p.m.;0,8498748;0,1142045;REC
14/03/2018 01:02:49 p.m.;-0,5013056;-0,204318;REC
14/03/2018 01:02:50 p.m.;0,004373617;0,2313479;REC
14/03/2018 01:02:52 p.m.;0,5195706;0,7041668;REC
14/03/2018 01:02:53 p.m.;1,345953;1,721998;REC
14/03/2018 01:02:54 p.m.;2,307069;2,72246;REC
14/03/2018 01:02:54 p.m.;2,89563;3,737416;REC
14/03/2018 01:02:55 p.m.;3,815094;4,749484;REC
14/03/2018 01:02:56 p.m.;4,78049;5,768945;REC
14/03/2018 01:02:56 p.m.;5,485261;6,785545;REC
14/03/2018 01:02:57 p.m.;6,344042;7,7989;REC
14/03/2018 01:02:58 p.m.;7,142972;8,811969;REC
14/03/2018 01:02:58 p.m.;8,097066;9,820226;REC
14/03/2018 01:02:59 p.m.;8,891727;10,83798;REC
14/03/2018 01:03:00 p.m.;9,83426;11,85884;REC
14/03/2018 01:03:01 p.m.;10,76854;12,8564;REC
14/03/2018 01:03:01 p.m.;11,61986;13,87753;REC
14/03/2018 01:03:04 p.m.;12,35794;14,90435;RET
14/03/2018 01:03:04 p.m.;11,37872;14,14448;RET
14/03/2018 01:03:05 p.m.;11,73182;13,63789;RET
14/03/2018 01:03:06 p.m.;12,28856;12,60451;RET
14/03/2018 01:03:07 p.m.;12,24864;11,07686;RET
14/03/2018 01:03:07 p.m.;12,09083;10,0597;RET
14/03/2018 01:03:08 p.m.;11,54669;8,522198;RET
14/03/2018 01:03:08 p.m.;11,42868;7,48749;RET
14/03/2018 01:03:09 p.m.;10,52024;6,64881;RET
14/03/2018 01:03:09 p.m.;9,497087;6,0612;RET
14/03/2018 01:03:10 p.m.;8,491544;5,198891;RET
14/03/2018 01:03:11 p.m.;8,089897;4,186369;RET
14/03/2018 01:03:11 p.m.;7,866654;3,157349;RET
14/03/2018 01:03:12 p.m.;6,985478;2,290709;RET
14/03/2018 01:03:12 p.m.;5,954172;2,09992;RET
14/03/2018 01:03:13 p.m.;4,929794;1,948254;RET
14/03/2018 01:03:14 p.m.;3,415911;1,631284;RET
14/03/2018 01:03:14 p.m.;1,953867;0,9691035;RET
14/03/2018 01:03:15 p.m.;1,130029;0,02790028;RET
14/03/2018 01:03:16 p.m.;0,09954092;-0,1729047;RET
14/03/2018 01:03:17 p.m.;0,09954092;-0,1729047;REC
14/03/2018 01:03:17 p.m.;-0,1326382;0,3347619;REC
14/03/2018 01:03:22 p.m.;0,8713993;0,9101366;REC
14/03/2018 01:03:23 p.m.;1,454283;1,923115;REC
14/03/2018 01:03:24 p.m.;2,001152;2,93157;REC
14/03/2018 01:03:24 p.m.;2,256101;3,935766;REC
14/03/2018 01:03:25 p.m.;2,508523;4,941437;REC
14/03/2018 01:03:25 p.m.;2,7704;5,984761;REC
14/03/2018 01:03:26 p.m.;3,022201;6,989889;REC
14/03/2018 01:03:26 p.m.;3,273951;7,995416;REC
14/03/2018 01:03:27 p.m.;3,525498;9,000059;REC
14/03/2018 01:03:27 p.m.;4,044623;10,02484;REC
14/03/2018 01:03:28 p.m.;4,395904;11,04839;REC
14/03/2018 01:03:28 p.m.;4,543465;12,58487;REC
14/03/2018 01:03:29 p.m.;4,861686;13,6011;REC
14/03/2018 01:03:30 p.m.;5,180768;14,61794;REC
14/03/2018 01:03:30 p.m.;5,499716;15,6347;REC
14/03/2018 01:03:31 p.m.;5,992898;16,64972;REC
14/03/2018 01:03:31 p.m.;6,374211;17,65629;REC
14/03/2018 01:03:32 p.m.;7,344455;19,67241;RET
14/03/2018 01:03:33 p.m.;7,304058;20,18074;RET
14/03/2018 01:03:34 p.m.;8,32169;20,05002;RET
14/03/2018 01:03:35 p.m.;9,093843;19,12994;RET
14/03/2018 01:03:35 p.m.;9,728726;18,11682;RET
14/03/2018 01:03:36 p.m.;9,845888;17,08469;RET
14/03/2018 01:03:37 p.m.;9,897853;15,55033;RET
14/03/2018 01:03:37 p.m.;9,110013;14,66008;RET
14/03/2018 01:03:38 p.m.;8,142283;13,98187;RET
14/03/2018 01:03:39 p.m.;7,136452;13,07424;RET
14/03/2018 01:03:39 p.m.;6,87094;12,05641;RET
14/03/2018 01:03:40 p.m.;6,248878;11,04518;RET
14/03/2018 01:03:40 p.m.;6,54078;10,03301;RET
14/03/2018 01:03:41 p.m.;6,454144;9,003398;RET
14/03/2018 01:03:41 p.m.;6,591992;7,4656;RET
14/03/2018 01:03:42 p.m.;6,864889;5,921299;RET
14/03/2018 01:03:43 p.m.;6,655029;4,90232;RET
14/03/2018 01:03:43 p.m.;5,959734;3,87937;RET
14/03/2018 01:03:44 p.m.;4,934733;3,127082;RET
14/03/2018 01:03:45 p.m.;3,919519;2,386568;RET
14/03/2018 01:03:45 p.m.;2,90565;1,697555;RET
14/03/2018 01:03:46 p.m.;2,318558;0,6791255;RET
14/03/2018 01:03:46 p.m.;1,521391;-0,2747363;RET
14/03/2018 01:03:47 p.m.;0,5058453;-0,5519024;RET
