13/3/2018 11:57:33 a. m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
13/3/2018 11:57:33 a. m.;0,3397922;0,2874146;DET
13/3/2018 11:57:44 a. m.;-0,1768665;0,1721824;NULL;NULL;NULL;REC
13/3/2018 11:57:44 a. m.;-0,1768665;0,1721824;REC
13/3/2018 11:57:45 a. m.;-1,68867;-0,2518947;REC
13/3/2018 11:57:45 a. m.;-2,726235;-0,5646923;REC
13/3/2018 11:57:46 a. m.;-3,763801;-0,8774897;REC
13/3/2018 11:57:47 a. m.;-4,801425;-1,190089;REC
13/3/2018 11:57:47 a. m.;-5,808306;-1,451572;REC
13/3/2018 11:57:48 a. m.;-6,816741;-1,707238;REC
13/3/2018 11:57:48 a. m.;-7,825174;-1,962905;REC
13/3/2018 11:57:49 a. m.;-8,833799;-2,218597;REC
13/3/2018 11:57:49 a. m.;-9,842802;-2,474295;REC
13/3/2018 11:57:50 a. m.;-10,8518;-2,729977;REC
13/3/2018 11:57:50 a. m.;-11,86081;-2,985676;REC
13/3/2018 11:57:51 a. m.;-12,86981;-3,241374;REC
13/3/2018 11:57:51 a. m.;-13,87678;-3,496569;REC
13/3/2018 11:57:52 a. m.;-14,88578;-3,752267;REC
13/3/2018 11:57:52 a. m.;-15,89478;-4,007967;REC
13/3/2018 11:57:53 a. m.;-16,9037;-4,263611;REC
13/3/2018 11:57:54 a. m.;-17,91271;-4,519316;REC
13/3/2018 11:57:55 a. m.;-19,94396;-4,95309;RET
13/3/2018 11:57:55 a. m.;-20,96103;-5,21945;RET
13/3/2018 11:58:00 a. m.;-20,46097;-5,045176;RET
13/3/2018 11:58:00 a. m.;-19,44641;-4,729381;RET
13/3/2018 11:58:01 a. m.;-18,43934;-4,46903;RET
13/3/2018 11:58:01 a. m.;-17,43226;-4,208677;RET
13/3/2018 11:58:02 a. m.;-16,42661;-3,948644;RET
13/3/2018 11:58:02 a. m.;-15,41952;-3,688291;RET
13/3/2018 11:58:03 a. m.;-14,41244;-3,427938;RET
13/3/2018 11:58:04 a. m.;-13,40486;-3,171767;RET
13/3/2018 11:58:04 a. m.;-12,39325;-2,92962;RET
13/3/2018 11:58:05 a. m.;-11,38077;-2,6911;RET
13/3/2018 11:58:05 a. m.;-10,3673;-2,456094;RET
13/3/2018 11:58:06 a. m.;-9,353688;-2,223028;RET
13/3/2018 11:58:06 a. m.;-8,331711;-1,936266;RET
13/3/2018 11:58:07 a. m.;-7,290639;-1,6338;RET
