14/03/2018 03:09:40 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
14/03/2018 03:09:40 p.m.;0,3397922;0,2874146;DET
14/03/2018 03:09:45 p.m.;-0,1817534;-0,1644377;NULL;NULL;NULL;REC
14/03/2018 03:09:45 p.m.;-0,1817534;-0,1644377;REC
14/03/2018 03:09:48 p.m.;-1,211465;-0,3645949;REC
14/03/2018 03:09:48 p.m.;-2,245208;-0,8124394;REC
14/03/2018 03:09:49 p.m.;-3,269619;-1,37847;REC
14/03/2018 03:09:49 p.m.;-4,289574;-1,993726;REC
14/03/2018 03:09:50 p.m.;-5,30482;-2,658703;REC
14/03/2018 03:09:51 p.m.;-6,324114;-3,317873;REC
14/03/2018 03:09:51 p.m.;-7,343498;-3,9771;REC
14/03/2018 03:09:52 p.m.;-8,365536;-4,632156;REC
14/03/2018 03:09:53 p.m.;-9,395666;-5,274072;REC
14/03/2018 03:09:53 p.m.;-10,42653;-5,916136;REC
14/03/2018 03:09:54 p.m.;-11,45739;-6,558189;REC
14/03/2018 03:09:54 p.m.;-12,4671;-7,157028;REC
14/03/2018 03:09:55 p.m.;-13,48945;-7,34116;REC
14/03/2018 03:09:55 p.m.;-14,51567;-7,604967;REC
14/03/2018 03:09:56 p.m.;-15,52664;-8,352784;REC
14/03/2018 03:09:58 p.m.;-18,06891;-10,29039;RET
14/03/2018 03:10:03 p.m.;-17,55803;-10,19447;RET
14/03/2018 03:10:04 p.m.;-16,54642;-9,697861;RET
14/03/2018 03:10:04 p.m.;-15,5363;-9,204395;RET
14/03/2018 03:10:05 p.m.;-14,525;-8,616063;RET
14/03/2018 03:10:06 p.m.;-13,50426;-8,04476;RET
14/03/2018 03:10:06 p.m.;-12,49712;-7,448691;RET
14/03/2018 03:10:07 p.m.;-11,49;-6,8527;RET
14/03/2018 03:10:07 p.m.;-10,48288;-6,256709;RET
14/03/2018 03:10:08 p.m.;-9,476856;-5,660679;RET
14/03/2018 03:10:09 p.m.;-8,469795;-5,064802;RET
14/03/2018 03:10:09 p.m.;-7,462532;-4,468848;RET
14/03/2018 03:10:10 p.m.;-6,454887;-3,872803;RET
14/03/2018 03:10:10 p.m.;-5,44724;-3,276754;RET
14/03/2018 03:10:11 p.m.;-4,439659;-2,680765;RET
14/03/2018 03:10:12 p.m.;-3,432141;-2,084548;RET
14/03/2018 03:10:12 p.m.;-2,424453;-1,488218;RET
14/03/2018 03:10:13 p.m.;-1,416766;-0,8918879;RET
14/03/2018 03:10:13 p.m.;-0,4083086;-0,2780553;RET
14/03/2018 03:10:15 p.m.;-0,4083086;-0,2780553;REC
14/03/2018 03:10:19 p.m.;0,109113;-0,04729578;REC
14/03/2018 03:10:19 p.m.;-0,658041;-1,064953;REC
14/03/2018 03:10:20 p.m.;-1,410045;-2,065705;REC
14/03/2018 03:10:21 p.m.;-2,174355;-3,08224;REC
14/03/2018 03:10:21 p.m.;-2,959527;-4,113942;REC
14/03/2018 03:10:22 p.m.;-3,751413;-5,140512;REC
14/03/2018 03:10:23 p.m.;-4,549608;-6,162529;REC
14/03/2018 03:10:23 p.m.;-5,404681;-7,195769;REC
14/03/2018 03:10:24 p.m.;-6,259073;-8,227741;REC
14/03/2018 03:10:25 p.m.;-8,215174;-10,12927;REC
14/03/2018 03:10:26 p.m.;-9,228852;-11,10096;REC
14/03/2018 03:10:27 p.m.;-10,19882;-12,11656;REC
14/03/2018 03:10:27 p.m.;-11,1672;-13,13372;REC
14/03/2018 03:10:30 p.m.;-13,12122;-15,59085;RET
14/03/2018 03:10:31 p.m.;-12,3773;-14,74644;RET
14/03/2018 03:10:35 p.m.;-12,11757;-14,24137;RET
14/03/2018 03:10:35 p.m.;-11,68777;-13,2246;RET
14/03/2018 03:10:36 p.m.;-11,1497;-12,2104;RET
14/03/2018 03:10:37 p.m.;-10,50778;-11,18033;RET
14/03/2018 03:10:37 p.m.;-9,824693;-10,15176;RET
14/03/2018 03:10:38 p.m.;-9,07078;-9,119542;RET
14/03/2018 03:10:38 p.m.;-8,227458;-8,102074;RET
14/03/2018 03:10:39 p.m.;-7,339373;-7,093803;RET
14/03/2018 03:10:40 p.m.;-6,394693;-6,07805;RET
14/03/2018 03:10:41 p.m.;-5,41759;-5,062832;RET
14/03/2018 03:10:42 p.m.;-4,414719;-4,103642;RET
14/03/2018 03:10:42 p.m.;-3,412081;-3,143681;RET
14/03/2018 03:10:43 p.m.;-2,410488;-2,183846;RET
14/03/2018 03:10:43 p.m.;-1,408524;-1,223608;RET
14/03/2018 03:10:44 p.m.;-0,3933585;-0,2384783;RET
14/03/2018 03:10:45 p.m.;0,583909;0,7445845;EVA
14/03/2018 03:10:59 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:00 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:00 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:00 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:00 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:03 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:03 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:03 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:03 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:03 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:04 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:04 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:04 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:04 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:05 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:05 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:05 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:05 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:06 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:06 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:06 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:06 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:07 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:07 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:07 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:07 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:08 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:08 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:08 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:08 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:09 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:09 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:09 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:09 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:10 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:10 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:10 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:10 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:11 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:11 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:11 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:11 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:12 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:12 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:12 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:12 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:13 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:13 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:13 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:13 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:14 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:14 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:14 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:14 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:15 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:15 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:15 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:15 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:16 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:16 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:16 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:16 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:17 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:17 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:17 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:17 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:18 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:18 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:18 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:18 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:19 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:19 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:19 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:19 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:20 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:20 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:20 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:21 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:21 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:21 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:21 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:22 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:22 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:22 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:23 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:23 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:23 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:23 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:24 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:24 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:24 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:25 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:25 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:25 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:25 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:26 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:26 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:26 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:27 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:27 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:27 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:28 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:28 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:28 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:28 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:29 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:29 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:29 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:30 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:30 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:30 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:30 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:31 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:31 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:31 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:31 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:32 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:32 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:32 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:32 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:33 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:33 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:33 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:34 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:34 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:34 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:35 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:35 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:35 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:35 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:36 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:36 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:37 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:37 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:38 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:38 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:39 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:42 p.m.;0,583909;0,7445845;PR2
14/03/2018 03:11:42 p.m.;0,583909;0,7445845;PR3
14/03/2018 03:11:47 p.m.;-0,2746055;-0,7111433;DET
14/03/2018 03:11:50 p.m.;-0,5334862;-1,217981;NULL;NULL;NULL;REC
14/03/2018 03:11:50 p.m.;-0,5334862;-1,217981;REC
14/03/2018 03:11:51 p.m.;-0,5881255;-1,723607;REC
14/03/2018 03:11:52 p.m.;-0,1769965;-2,749633;REC
14/03/2018 03:11:52 p.m.;0,03371384;-3,76758;REC
14/03/2018 03:11:53 p.m.;0,1651059;-4,799033;REC
14/03/2018 03:11:54 p.m.;0,2920738;-5,827543;REC
14/03/2018 03:11:54 p.m.;0,3877102;-6,862238;REC
14/03/2018 03:11:55 p.m.;0,4604328;-7,897872;REC
14/03/2018 03:11:55 p.m.;0,5334789;-8,935617;REC
14/03/2018 03:11:56 p.m.;0,6066214;-9,974018;REC
14/03/2018 03:11:56 p.m.;0,6799665;-11,00891;REC
14/03/2018 03:11:57 p.m.;0,7530277;-12,04607;REC
14/03/2018 03:11:57 p.m.;0,8239372;-13,08354;REC
14/03/2018 03:11:58 p.m.;0,8426463;-14,12261;REC
14/03/2018 03:11:58 p.m.;0,8356977;-15,16331;REC
14/03/2018 03:11:59 p.m.;0,8953333;-16,19495;REC
14/03/2018 03:11:59 p.m.;0,8970813;-17,23439;REC
14/03/2018 03:12:00 p.m.;0,8561438;-18,27369;REC
14/03/2018 03:12:05 p.m.;0,4967252;-19,31408;RET
14/03/2018 03:12:05 p.m.;0,1823713;-18,27798;RET
14/03/2018 03:12:06 p.m.;-0,03142305;-17,25937;RET
14/03/2018 03:12:06 p.m.;-0,2053482;-16,23322;RET
14/03/2018 03:12:07 p.m.;-0,3212588;-15,20604;RET
14/03/2018 03:12:07 p.m.;-0,3716695;-14,16735;RET
14/03/2018 03:12:08 p.m.;-0,4306102;-13,13077;RET
14/03/2018 03:12:08 p.m.;-0,4728288;-12,09075;RET
14/03/2018 03:12:09 p.m.;-0,4822313;-11,04961;RET
14/03/2018 03:12:10 p.m.;-0,491616;-10,0111;RET
14/03/2018 03:12:10 p.m.;-0,5008371;-8,971031;RET
14/03/2018 03:12:11 p.m.;-0,5100837;-7,932667;RET
14/03/2018 03:12:11 p.m.;-0,519475;-6,89212;RET
14/03/2018 03:12:12 p.m.;-0,5288764;-5,850676;RET
14/03/2018 03:12:12 p.m.;-0,5125598;-4,81245;RET
14/03/2018 03:12:13 p.m.;-0,4861829;-3,771407;RET
14/03/2018 03:12:13 p.m.;-0,3837508;-2,740459;RET
14/03/2018 03:12:14 p.m.;-0,3283667;-1,701989;RET
14/03/2018 03:12:14 p.m.;-0,211985;-0,6670309;RET
14/03/2018 03:12:15 p.m.;-0,211985;-0,6670309;REC
14/03/2018 03:12:20 p.m.;0,07712766;-0,6537993;REC
14/03/2018 03:12:20 p.m.;0,3065563;-1,669092;REC
14/03/2018 03:12:21 p.m.;0,5879989;-2,694204;REC
14/03/2018 03:12:22 p.m.;0,9378071;-3,719626;REC
14/03/2018 03:12:22 p.m.;1,298285;-4,742388;REC
14/03/2018 03:12:23 p.m.;1,726671;-5,756781;REC
14/03/2018 03:12:23 p.m.;2,228258;-6,766822;REC
14/03/2018 03:12:24 p.m.;2,690558;-7,795058;REC
14/03/2018 03:12:24 p.m.;3,238638;-8,806612;REC
14/03/2018 03:12:25 p.m.;3,74968;-9,813275;REC
14/03/2018 03:12:26 p.m.;4,193113;-10,84603;REC
14/03/2018 03:12:26 p.m.;4,640413;-11,87907;REC
14/03/2018 03:12:27 p.m.;5,110725;-12,90304;REC
14/03/2018 03:12:27 p.m.;5,580695;-13,92829;REC
14/03/2018 03:12:28 p.m.;6,051072;-14,95501;REC
14/03/2018 03:12:28 p.m.;6,519255;-15,97976;REC
14/03/2018 03:12:29 p.m.;6,923456;-16,98124;REC
14/03/2018 03:12:35 p.m.;7,061199;-18,02916;RET
14/03/2018 03:12:35 p.m.;6,350032;-17,01873;RET
14/03/2018 03:12:36 p.m.;5,707271;-15,98304;RET
14/03/2018 03:12:36 p.m.;5,154135;-14,9636;RET
14/03/2018 03:12:37 p.m.;4,652007;-13,95711;RET
14/03/2018 03:12:37 p.m.;4,223316;-12,94326;RET
14/03/2018 03:12:38 p.m.;3,841562;-11,92783;RET
14/03/2018 03:12:39 p.m.;3,457489;-10,91208;RET
14/03/2018 03:12:39 p.m.;3,075045;-9,904666;RET
14/03/2018 03:12:40 p.m.;2,69039;-8,892617;RET
14/03/2018 03:12:40 p.m.;2,306609;-7,882936;RET
14/03/2018 03:12:41 p.m.;2,008364;-6,861795;RET
14/03/2018 03:12:41 p.m.;1,671455;-5,830469;RET
14/03/2018 03:12:42 p.m.;1,327099;-4,801713;RET
14/03/2018 03:12:42 p.m.;0,9828713;-3,773748;RET
14/03/2018 03:12:43 p.m.;0,6387242;-2,745882;RET
14/03/2018 03:12:44 p.m.;0,3582559;-1,722249;RET
14/03/2018 03:12:44 p.m.;0,09886973;-0,7103326;RET
14/03/2018 03:12:45 p.m.;-0,1780918;0,3154481;EVA
14/03/2018 03:12:58 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:12:58 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:12:58 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:12:59 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:12:59 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:12:59 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:12:59 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:00 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:00 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:00 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:01 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:01 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:01 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:01 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:02 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:02 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:02 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:03 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:03 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:03 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:03 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:04 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:04 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:04 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:04 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:05 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:05 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:05 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:06 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:06 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:06 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:06 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:07 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:07 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:07 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:07 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:08 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:08 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:08 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:08 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:09 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:09 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:09 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:09 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:10 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:10 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:10 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:10 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:11 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:11 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:11 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:12 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:12 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:12 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:13 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:14 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:14 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:14 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:14 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:15 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:15 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:15 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:15 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:16 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:16 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:16 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:16 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:17 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:17 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:17 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:17 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:18 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:18 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:18 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:19 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:19 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:19 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:20 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:20 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:20 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:20 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:21 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:21 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:21 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:22 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:22 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:23 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:23 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:24 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:24 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:24 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:25 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:25 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:25 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:27 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:29 p.m.;-0,1780918;0,3154481;PR2
14/03/2018 03:13:29 p.m.;-0,1780918;0,3154481;PR3
