14/03/2018 02:52:30 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
14/03/2018 02:52:30 p.m.;0,3397922;0,2874146;DET
14/03/2018 02:52:36 p.m.;-0,1644378;-0,1839258;NULL;NULL;NULL;REC
14/03/2018 02:52:36 p.m.;-0,1644378;-0,1839258;REC
14/03/2018 02:52:41 p.m.;-1,185226;0,02278228;REC
14/03/2018 02:52:42 p.m.;-0,6688725;0,3009796;REC
14/03/2018 02:52:43 p.m.;-0,05659469;0,1994189;REC
14/03/2018 02:53:33 p.m.;-0,5706833;-0,2659643;REC
14/03/2018 02:53:33 p.m.;-1,581144;-0,7599001;REC
14/03/2018 02:53:34 p.m.;-2,593541;-1,255027;REC
14/03/2018 02:53:34 p.m.;-3,617826;-1,723653;REC
14/03/2018 02:53:35 p.m.;-4,624058;-2,125916;REC
14/03/2018 02:53:36 p.m.;-5,652702;-2,647067;REC
14/03/2018 02:53:36 p.m.;-6,673573;-3,235292;REC
14/03/2018 02:53:37 p.m.;-7,688734;-3,833616;REC
14/03/2018 02:53:37 p.m.;-8,691443;-4,364946;REC
14/03/2018 02:53:38 p.m.;-9,70108;-4,880129;REC
14/03/2018 02:53:38 p.m.;-10,7074;-5,284064;REC
14/03/2018 02:53:39 p.m.;-12,23023;-5,501341;REC
14/03/2018 02:53:40 p.m.;-13,2406;-5,894757;REC
14/03/2018 02:53:40 p.m.;-14,25058;-6,288098;REC
14/03/2018 02:53:41 p.m.;-15,26094;-6,681513;REC
14/03/2018 02:53:41 p.m.;-16,27131;-7,074929;REC
14/03/2018 02:53:42 p.m.;-17,28005;-7,468276;REC
14/03/2018 02:53:44 p.m.;-18,21564;-7,348862;RET
14/03/2018 02:53:44 p.m.;-17,1841;-7,10576;RET
14/03/2018 02:53:45 p.m.;-16,16361;-6,687649;RET
14/03/2018 02:53:47 p.m.;-15,65088;-6,634345;RET
14/03/2018 02:53:48 p.m.;-13,61676;-5,340375;RET
14/03/2018 02:53:49 p.m.;-12,60374;-4,79239;RET
14/03/2018 02:53:49 p.m.;-11,5788;-4,437737;RET
14/03/2018 02:53:50 p.m.;-10,55386;-4,083084;RET
14/03/2018 02:53:51 p.m.;-9,530347;-3,723632;RET
14/03/2018 02:53:51 p.m.;-8,503062;-3,228193;RET
14/03/2018 02:53:52 p.m.;-7,484181;-2,666453;RET
14/03/2018 02:53:52 p.m.;-6,462356;-2,243361;RET
14/03/2018 02:53:53 p.m.;-5,439319;-1,884593;RET
14/03/2018 02:53:53 p.m.;-4,413964;-1,532463;RET
14/03/2018 02:53:54 p.m.;-3,388608;-1,180335;RET
14/03/2018 02:53:54 p.m.;-2,363253;-0,8282047;RET
14/03/2018 02:53:55 p.m.;-1,337961;-0,4762817;RET
14/03/2018 02:53:56 p.m.;-0,3131073;-0,1167757;RET
14/03/2018 02:53:57 p.m.;-0,3131073;-0,1167757;REC
14/03/2018 02:54:02 p.m.;0,2025865;-0,1776338;REC
14/03/2018 02:54:20 p.m.;-0,3088551;-0,2812472;REC
14/03/2018 02:54:20 p.m.;-1,31446;-1,297885;REC
14/03/2018 02:54:21 p.m.;-2,320334;-2,314773;REC
14/03/2018 02:54:22 p.m.;-3,326081;-3,331321;REC
14/03/2018 02:54:23 p.m.;-4,332159;-4,348092;REC
14/03/2018 02:54:23 p.m.;-5,337794;-5,364239;REC
14/03/2018 02:54:24 p.m.;-6,343941;-6,381529;REC
14/03/2018 02:54:25 p.m.;-7,350087;-7,398817;REC
14/03/2018 02:54:26 p.m.;-8,35629;-8,415256;REC
14/03/2018 02:54:26 p.m.;-9,369636;-9,326954;REC
14/03/2018 02:54:27 p.m.;-10,37804;-9,626047;REC
14/03/2018 02:54:27 p.m.;-11,40598;-10,40922;REC
14/03/2018 02:54:34 p.m.;-14,41874;-13,69761;RET
14/03/2018 02:54:34 p.m.;-13,47856;-12,79937;RET
14/03/2018 02:54:35 p.m.;-12,81314;-11,77608;RET
14/03/2018 02:54:36 p.m.;-12,15907;-10,73941;RET
14/03/2018 02:54:36 p.m.;-11,14319;-9,859652;RET
14/03/2018 02:54:37 p.m.;-10,13042;-9,109471;RET
14/03/2018 02:54:38 p.m.;-9,121718;-8,321344;RET
14/03/2018 02:54:38 p.m.;-8,102647;-7,445912;RET
14/03/2018 02:54:39 p.m.;-7,083103;-6,570228;RET
14/03/2018 02:54:40 p.m.;-6,196466;-5,572357;RET
14/03/2018 02:54:40 p.m.;-5,298801;-4,589025;RET
14/03/2018 02:54:41 p.m.;-4,279196;-3,712867;RET
14/03/2018 02:54:42 p.m.;-3,259564;-2,836828;RET
14/03/2018 02:54:42 p.m.;-2,239913;-1,961023;RET
14/03/2018 02:54:43 p.m.;-1,220107;-1,084971;RET
14/03/2018 02:54:44 p.m.;-0,1989672;-0,2019217;RET
