13/04/2018 02:04:07 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
13/04/2018 02:04:07 p.m.;0,3397922;0,2874146;DET
13/04/2018 02:04:11 p.m.;0,8402365;0,2874147;NULL;NULL;NULL;REC
13/04/2018 02:04:11 p.m.;0,8402365;0,2874147;REC
13/04/2018 02:04:11 p.m.;0,02759109;-1,322271;REC
13/04/2018 02:04:12 p.m.;0,4455903;-2,322728;REC
13/04/2018 02:04:12 p.m.;0,880114;-3,361968;REC
13/04/2018 02:04:13 p.m.;1,314773;-4,401397;REC
13/04/2018 02:04:14 p.m.;1,748505;-5,43776;REC
13/04/2018 02:04:14 p.m.;2,18243;-6,474827;REC
13/04/2018 02:04:15 p.m.;2,616271;-7,513525;REC
13/04/2018 02:04:15 p.m.;3,033423;-8,514779;REC
13/04/2018 02:04:16 p.m.;3,450593;-9,515167;REC
13/04/2018 02:04:16 p.m.;3,868165;-10,51753;REC
13/04/2018 02:04:17 p.m.;4,300962;-11,54852;REC
13/04/2018 02:04:18 p.m.;4,734959;-12,58745;REC
13/04/2018 02:04:18 p.m.;5,160391;-13,60668;REC
13/04/2018 02:04:19 p.m.;5,602595;-14,61831;REC
13/04/2018 02:04:19 p.m.;6,288595;-15,62615;REC
13/04/2018 02:04:20 p.m.;6,996064;-16,65601;REC
13/04/2018 02:04:21 p.m.;6,600477;-18,02237;RET
13/04/2018 02:04:22 p.m.;5,626541;-17,64884;RET
13/04/2018 02:04:22 p.m.;5,254285;-16,62827;RET
13/04/2018 02:04:23 p.m.;6,100401;-15,62298;RET
13/04/2018 02:04:24 p.m.;5,922589;-14,61165;RET
13/04/2018 02:04:24 p.m.;4,907862;-13,88838;RET
13/04/2018 02:04:25 p.m.;4,204697;-12,92121;RET
13/04/2018 02:04:25 p.m.;3,842826;-11,89822;RET
13/04/2018 02:04:26 p.m.;3,361094;-10,88171;RET
13/04/2018 02:04:27 p.m.;2,715377;-9,858991;RET
13/04/2018 02:04:27 p.m.;1,98672;-8,835711;RET
13/04/2018 02:04:28 p.m.;1,484044;-7,810161;RET
13/04/2018 02:04:28 p.m.;1,422979;-6,772685;RET
13/04/2018 02:04:29 p.m.;1,103248;-5,736052;RET
13/04/2018 02:04:30 p.m.;0,7792711;-4,702886;RET
13/04/2018 02:04:30 p.m.;0,4113205;-3,682859;RET
13/04/2018 02:04:31 p.m.;0,3036649;-2,652076;RET
13/04/2018 02:04:31 p.m.;0,2416395;-1,614034;RET
13/04/2018 02:04:32 p.m.;0,1701789;-0,5759565;RET
13/04/2018 02:04:33 p.m.;0,1701789;-0,5759565;REC
13/04/2018 02:04:33 p.m.;0,0269639;-1,12688;REC
13/04/2018 02:04:34 p.m.;0,7699853;-2,110214;REC
13/04/2018 02:04:34 p.m.;1,77515;-3,000332;REC
13/04/2018 02:04:35 p.m.;2,780896;-3,889948;REC
13/04/2018 02:04:36 p.m.;4,792228;-5,66658;REC
13/04/2018 02:04:37 p.m.;5,803466;-6,579201;REC
13/04/2018 02:04:38 p.m.;6,700298;-7,596678;REC
13/04/2018 02:04:38 p.m.;7,47056;-8,617435;REC
13/04/2018 02:04:39 p.m.;8,414068;-9,604765;REC
13/04/2018 02:04:40 p.m.;9,431029;-10,55392;REC
13/04/2018 02:04:41 p.m.;11,46337;-12,42916;REC
13/04/2018 02:04:42 p.m.;12,47877;-13,37181;REC
13/04/2018 02:04:43 p.m.;14,15277;-14,03722;RET
13/04/2018 02:04:44 p.m.;13,90627;-13,0094;RET
13/04/2018 02:04:45 p.m.;13,09432;-12,10082;RET
13/04/2018 02:04:45 p.m.;12,08773;-11,34292;RET
13/04/2018 02:04:46 p.m.;11,07883;-10,58798;RET
13/04/2018 02:04:46 p.m.;10,07387;-9,845656;RET
13/04/2018 02:04:47 p.m.;9,066555;-9,10216;RET
13/04/2018 02:04:48 p.m.;8,058279;-8,35502;RET
13/04/2018 02:04:48 p.m.;7,049103;-7,605547;RET
13/04/2018 02:04:49 p.m.;6,039845;-6,85501;RET
13/04/2018 02:04:50 p.m.;5,030151;-6,102952;RET
13/04/2018 02:04:50 p.m.;4,020826;-5,348055;RET
13/04/2018 02:04:51 p.m.;3,012948;-4,597039;RET
13/04/2018 02:04:52 p.m.;2,030271;-3,686053;RET
13/04/2018 02:04:52 p.m.;1,162578;-2,664536;RET
13/04/2018 02:04:53 p.m.;0,5836809;-1,647875;RET
13/04/2018 02:04:54 p.m.;0,0883645;-0,6320491;RET
