31/10/2019 10:16:23 a.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
31/10/2019 10:16:23 a.m.;0,3397922;0,2874146;DET
31/10/2019 10:17:02 a.m.;-0,1845898;0,2874147;NULL;NULL;NULL;REC
31/10/2019 10:17:02 a.m.;-0,1845898;0,2874147;REC
31/10/2019 10:17:06 a.m.;-0,6965232;-0,1773886;REC
31/10/2019 10:17:07 a.m.;-1,717721;0,03079455;REC
31/10/2019 10:17:07 a.m.;-2,742965;-0,04141157;REC
31/10/2019 10:17:08 a.m.;-3,781095;-0,2856247;REC
31/10/2019 10:17:08 a.m.;-4,83048;-0,7167163;REC
31/10/2019 10:17:09 a.m.;-5,849658;-0,8812557;REC
31/10/2019 10:17:09 a.m.;-6,870951;-1,242395;REC
31/10/2019 10:17:10 a.m.;-7,89023;-1,488401;REC
31/10/2019 10:17:10 a.m.;-8,907849;-1,863474;REC
31/10/2019 10:17:11 a.m.;-9,924042;-2,06895;REC
31/10/2019 10:17:12 a.m.;-10,96972;-2,196757;REC
31/10/2019 10:17:12 a.m.;-11,99457;-2,44118;REC
31/10/2019 10:17:13 a.m.;-13,0484;-2,597954;REC
31/10/2019 10:17:13 a.m.;-14,12636;-2,729707;REC
31/10/2019 10:17:14 a.m.;-15,16964;-3,087108;REC
31/10/2019 10:17:14 a.m.;-16,18583;-3,654017;REC
31/10/2019 10:17:15 a.m.;-17,21636;-3,821196;REC
31/10/2019 10:17:16 a.m.;-18,2702;-3,998277;REC
31/10/2019 10:17:20 a.m.;-18,78688;-4,112842;RET
31/10/2019 10:17:20 a.m.;-17,76272;-3,935757;RET
31/10/2019 10:17:21 a.m.;-16,74303;-3,490186;RET
31/10/2019 10:17:22 a.m.;-15,7161;-3,096071;RET
31/10/2019 10:17:22 a.m.;-14,69987;-2,920368;RET
31/10/2019 10:17:23 a.m.;-13,68365;-2,744665;RET
31/10/2019 10:17:23 a.m.;-12,66709;-2,568894;RET
31/10/2019 10:17:24 a.m.;-11,63314;-2,389747;RET
31/10/2019 10:17:27 a.m.;-11,10902;-2,299053;RET
31/10/2019 10:17:31 a.m.;-10,09041;-2,017981;RET
31/10/2019 10:17:32 a.m.;-9,025711;-1,494995;RET
31/10/2019 10:17:32 a.m.;-8,016001;-1,290295;RET
31/10/2019 10:17:33 a.m.;-6,994615;-1,144257;RET
31/10/2019 10:17:33 a.m.;-5,984428;-0,9411668;RET
31/10/2019 10:17:34 a.m.;-4,955208;-0,8639916;RET
31/10/2019 10:17:34 a.m.;-3,916563;-0,6926702;RET
31/10/2019 10:17:35 a.m.;-2,891542;-0,5978375;RET
31/10/2019 10:17:36 a.m.;-1,863025;-0,2418002;RET
31/10/2019 10:17:36 a.m.;-0,8558629;-0,1596768;RET
31/10/2019 10:17:38 a.m.;0,1592985;-0,2141368;EVA
31/10/2019 10:17:58 a.m.;0,1592985;-0,2141368;PR2
31/10/2019 10:19:04 a.m.;0,2223196;-0,2313041;PR2
31/10/2019 10:19:10 a.m.;0,2223196;-0,2313041;PR2
31/10/2019 10:19:10 a.m.;0,2223196;-0,2313041;PR3
31/10/2019 10:19:29 a.m.;-12,00355;-11,78022;DET
31/10/2019 10:19:36 a.m.;-13,03391;-12,25163;NULL;NULL;NULL;REC
