06/11/2019 02:25:15 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
06/11/2019 02:25:15 p.m.;0,3397922;0,2874146;DET
06/11/2019 02:25:39 p.m.;-0,176862;0,2516507;NULL;NULL;NULL;REC
06/11/2019 02:25:39 p.m.;-0,176862;0,2516507;REC
06/11/2019 02:25:56 p.m.;0,3249213;-0,2309337;REC
06/11/2019 02:25:56 p.m.;0,8269637;-0,736847;REC
06/11/2019 02:25:57 p.m.;1,846815;-1,536999;REC
06/11/2019 02:25:58 p.m.;2,847004;-2,481719;REC
06/11/2019 02:25:59 p.m.;3,815719;-3,509062;REC
06/11/2019 02:25:59 p.m.;4,787088;-4,53799;REC
06/11/2019 02:26:00 p.m.;5,825617;-5,529799;REC
06/11/2019 02:26:01 p.m.;6,885897;-6,471775;REC
06/11/2019 02:26:02 p.m.;7,923588;-7,35256;REC
06/11/2019 02:26:02 p.m.;8,957665;-8,121629;REC
06/11/2019 02:26:03 p.m.;9,946255;-9,138004;REC
06/11/2019 02:26:04 p.m.;10,90859;-10,15801;REC
06/11/2019 02:26:05 p.m.;12,93991;-11,94832;REC
06/11/2019 02:26:07 p.m.;14,87255;-13,99716;RET
06/11/2019 02:26:11 p.m.;14,65198;-13,48436;RET
06/11/2019 02:26:12 p.m.;13,93058;-12,4508;RET
06/11/2019 02:26:13 p.m.;12,93137;-11,45714;RET
06/11/2019 02:26:13 p.m.;11,89139;-10,63768;RET
06/11/2019 02:26:14 p.m.;10,87167;-9,78279;RET
06/11/2019 02:26:15 p.m.;9,820003;-8,836422;RET
06/11/2019 02:26:16 p.m.;8,783608;-7,898241;RET
06/11/2019 02:26:16 p.m.;7,728979;-6,941419;RET
06/11/2019 02:26:17 p.m.;6,689955;-5,994535;RET
06/11/2019 02:26:18 p.m.;5,636299;-5,03183;RET
06/11/2019 02:26:18 p.m.;4,58324;-4,074975;RET
06/11/2019 02:26:19 p.m.;3,54624;-3,133089;RET
06/11/2019 02:26:20 p.m.;2,496021;-2,179877;RET
06/11/2019 02:26:21 p.m.;1,442783;-1,22456;RET
06/11/2019 02:26:21 p.m.;0,4140988;-0,273981;RET
06/11/2019 02:26:22 p.m.;0,4140988;-0,273981;REC
06/11/2019 02:26:23 p.m.;-1,628617;0,969054;REC
06/11/2019 02:26:30 p.m.;-1,483643;0,4689604;REC
06/11/2019 02:26:30 p.m.;-0,4460237;0,253329;REC
06/11/2019 02:26:31 p.m.;0,6113211;0,3112372;REC
06/11/2019 02:26:32 p.m.;1,636522;0,4385974;REC
06/11/2019 02:26:32 p.m.;2,637064;0,6936367;REC
06/11/2019 02:26:33 p.m.;3,639009;0,9429407;REC
06/11/2019 02:26:33 p.m.;4,665526;1,180713;REC
06/11/2019 02:26:34 p.m.;5,671435;1,413714;REC
06/11/2019 02:26:34 p.m.;6,677344;1,646714;REC
06/11/2019 02:26:35 p.m.;7,715323;1,920923;REC
06/11/2019 02:26:35 p.m.;8,767725;2,224817;REC
06/11/2019 02:26:36 p.m.;9,820695;2,530677;REC
06/11/2019 02:26:36 p.m.;10,84946;2,832956;REC
06/11/2019 02:26:37 p.m.;11,89851;3,137463;REC
06/11/2019 02:26:38 p.m.;12,94936;3,442533;REC
06/11/2019 02:26:38 p.m.;13,96283;3,868719;REC
06/11/2019 02:26:39 p.m.;15,00142;4,369099;REC
06/11/2019 02:26:39 p.m.;16,0267;4,757175;REC
06/11/2019 02:26:40 p.m.;17,05855;5,12279;REC
06/11/2019 02:26:46 p.m.;19,14148;5,985755;RET
06/11/2019 02:26:46 p.m.;18,13121;5,778796;RET
06/11/2019 02:26:47 p.m.;17,09084;5,497132;RET
06/11/2019 02:26:47 p.m.;16,04105;5,163979;RET
06/11/2019 02:26:48 p.m.;14,9931;4,826513;RET
06/11/2019 02:26:48 p.m.;13,94325;4,48919;RET
06/11/2019 02:26:49 p.m.;12,87542;4,148784;RET
06/11/2019 02:26:49 p.m.;11,82555;3,813552;RET
06/11/2019 02:26:50 p.m.;10,77573;3,477976;RET
06/11/2019 02:26:51 p.m.;9,746674;3,149012;RET
06/11/2019 02:26:51 p.m.;8,698754;2,817149;RET
06/11/2019 02:26:52 p.m.;7,653112;2,485949;RET
06/11/2019 02:26:52 p.m.;6,625398;2,160147;RET
06/11/2019 02:26:53 p.m.;5,577566;1,828275;RET
