03/09/2019 02:11:17 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
03/09/2019 02:11:17 p.m.;0,3397922;0,2874146;DET
03/09/2019 02:11:25 p.m.;-0,1773856;-0,02061022;NULL;NULL;NULL;REC
03/09/2019 02:11:25 p.m.;-0,1773856;-0,02061022;REC
03/09/2019 02:11:32 p.m.;0,3428141;-0,09868458;REC
03/09/2019 02:11:41 p.m.;0,8532729;0,30102;REC
03/09/2019 02:11:42 p.m.;1,871678;0,5569561;REC
03/09/2019 02:11:42 p.m.;2,895429;0,6915177;REC
03/09/2019 02:11:43 p.m.;3,911394;0,8248286;REC
03/09/2019 02:11:43 p.m.;4,914897;1,094989;REC
03/09/2019 02:11:44 p.m.;5,915124;1,407164;REC
03/09/2019 02:11:44 p.m.;6,915289;1,725133;REC
03/09/2019 02:11:45 p.m.;7,997198;2,068055;REC
03/09/2019 02:11:46 p.m.;9,059613;2,404711;REC
03/09/2019 02:11:46 p.m.;10,11955;2,741047;REC
03/09/2019 02:11:47 p.m.;11,1811;3,076096;REC
03/09/2019 02:11:47 p.m.;12,24217;3,409458;REC
03/09/2019 02:11:48 p.m.;13,30108;3,737798;REC
03/09/2019 02:11:48 p.m.;14,32404;4,022547;REC
03/09/2019 02:11:49 p.m.;15,32624;4,301189;REC
03/09/2019 02:11:49 p.m.;16,32855;4,577659;REC
03/09/2019 02:11:50 p.m.;17,33084;4,854126;REC
03/09/2019 02:11:52 p.m.;18,3717;5,292247;RET
03/09/2019 02:11:52 p.m.;17,32387;4,936828;RET
03/09/2019 02:11:53 p.m.;16,55473;3,919076;RET
03/09/2019 02:11:54 p.m.;16,49632;2,862369;RET
03/09/2019 02:11:54 p.m.;17,04836;1,854431;RET
03/09/2019 02:11:55 p.m.;16,53245;1,954939;RET
03/09/2019 02:11:55 p.m.;15,48859;1,883559;RET
03/09/2019 02:11:56 p.m.;14,47894;1,549731;RET
03/09/2019 02:11:56 p.m.;13,43505;1,335322;RET
03/09/2019 02:11:57 p.m.;12,42716;1,195976;RET
03/09/2019 02:11:58 p.m.;11,3985;1,054208;RET
03/09/2019 02:11:58 p.m.;10,39074;0,9156019;RET
03/09/2019 02:11:59 p.m.;9,383478;0,7771917;RET
03/09/2019 02:11:59 p.m.;8,375772;0,6388005;RET
03/09/2019 02:12:00 p.m.;7,368069;0,5004116;RET
03/09/2019 02:12:00 p.m.;6,360432;0,3620296;RET
03/09/2019 02:12:01 p.m.;5,332165;0,22081;RET
03/09/2019 02:12:01 p.m.;4,32452;0,08242679;RET
03/09/2019 02:12:02 p.m.;3,316716;-0,01462175;RET
03/09/2019 02:12:02 p.m.;2,308411;-0,09301979;RET
03/09/2019 02:12:03 p.m.;1,299984;-0,1714251;RET
03/09/2019 02:12:03 p.m.;0,2767672;-0,03963686;RET
03/09/2019 02:12:04 p.m.;0,2767672;-0,03963686;REC
03/09/2019 02:12:18 p.m.;0,4166395;0,4898806;REC
03/09/2019 02:12:19 p.m.;0,9717734;1,524803;REC
03/09/2019 02:12:19 p.m.;1,844951;2,559209;REC
03/09/2019 02:12:20 p.m.;2,520086;3,591771;REC
03/09/2019 02:12:21 p.m.;3,124975;4,63715;REC
03/09/2019 02:12:21 p.m.;3,72295;5,652245;REC
03/09/2019 02:12:22 p.m.;4,308944;6,70115;REC
03/09/2019 02:12:22 p.m.;4,885031;7,732762;REC
03/09/2019 02:12:23 p.m.;5,465343;8,754368;REC
03/09/2019 02:12:24 p.m.;6,331137;9,524706;REC
03/09/2019 02:12:24 p.m.;7,144178;10,53341;REC
03/09/2019 02:12:25 p.m.;8,043815;11,54621;REC
03/09/2019 02:12:26 p.m.;8,919847;12,5712;REC
03/09/2019 02:12:26 p.m.;9,459415;13,5911;REC
03/09/2019 02:12:27 p.m.;10,04481;14,61434;REC
03/09/2019 02:12:31 p.m.;11,87004;16,76196;RET
03/09/2019 02:12:31 p.m.;11,34623;16,56002;RET
03/09/2019 02:12:32 p.m.;10,29194;16,14318;RET
03/09/2019 02:12:33 p.m.;9,259058;16,27219;RET
03/09/2019 02:12:34 p.m.;8,969101;16,07379;RET
03/09/2019 02:12:34 p.m.;8,196267;15,30904;RET
03/09/2019 02:12:35 p.m.;7,162541;15,08328;RET
03/09/2019 02:12:35 p.m.;7,227146;14,03677;RET
03/09/2019 02:12:36 p.m.;6,331819;13,00546;RET
03/09/2019 02:12:37 p.m.;5,502749;11,97398;RET
03/09/2019 02:12:38 p.m.;4,690838;10,96062;RET
03/09/2019 02:12:38 p.m.;3,865458;9,930109;RET
03/09/2019 02:12:39 p.m.;3,039971;8,899486;RET
03/09/2019 02:12:40 p.m.;3,190294;7,845563;RET
03/09/2019 02:12:40 p.m.;2,970604;6,816525;RET
03/09/2019 02:12:41 p.m.;1,944253;6,130797;RET
03/09/2019 02:12:41 p.m.;1,330497;5,279642;RET
03/09/2019 02:12:42 p.m.;0,8596196;4,254447;RET
03/09/2019 02:12:43 p.m.;0,8662157;3,223594;RET
03/09/2019 02:12:43 p.m.;0,312379;2,264488;RET
03/09/2019 02:12:44 p.m.;-0,1304769;1,279603;RET
03/09/2019 02:12:45 p.m.;0,004227525;0,2546342;RET
