26/04/2018 10:33:22 a.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
26/04/2018 10:33:22 a.m.;0,3397922;0,2874146;DET
26/04/2018 10:33:29 a.m.;-0,1711924;0,02106922;NULL;NULL;NULL;REC
26/04/2018 10:33:29 a.m.;-0,1711924;0,02106922;REC
26/04/2018 10:33:35 a.m.;-0,699439;-0,1594877;REC
26/04/2018 10:33:35 a.m.;-0,2466436;0,9170867;REC
26/04/2018 10:33:36 a.m.;0,5495277;2,497595;REC
26/04/2018 10:33:37 a.m.;1,581054;3,275001;REC
26/04/2018 10:33:37 a.m.;2,615091;4,127644;REC
26/04/2018 10:33:38 a.m.;3,140227;5,20325;REC
26/04/2018 10:33:38 a.m.;3,693339;6,235835;REC
26/04/2018 10:33:39 a.m.;4,251917;7,266715;REC
26/04/2018 10:33:40 a.m.;5,159706;8,231913;REC
26/04/2018 10:33:40 a.m.;6,18442;9,171196;REC
26/04/2018 10:33:41 a.m.;7,243264;10,142;REC
26/04/2018 10:33:42 a.m.;8,28229;11,09467;REC
26/04/2018 10:33:43 a.m.;9,341108;12,06545;REC
26/04/2018 10:33:44 a.m.;11,39823;13,85744;REC
26/04/2018 10:33:45 a.m.;13,19616;15,69523;RET
26/04/2018 10:33:46 a.m.;12,69445;15,36015;RET
26/04/2018 10:33:47 a.m.;11,67784;14,67531;RET
26/04/2018 10:33:49 a.m.;10,76304;13,74672;RET
26/04/2018 10:33:50 a.m.;10,06974;12,73287;RET
26/04/2018 10:33:51 a.m.;9,194058;11,79432;RET
26/04/2018 10:33:51 a.m.;8,171846;11,11778;RET
26/04/2018 10:33:52 a.m.;7,150285;10,4412;RET
26/04/2018 10:33:53 a.m.;6,119659;9,699731;RET
26/04/2018 10:33:53 a.m.;5,235895;8,694671;RET
26/04/2018 10:33:54 a.m.;4,354098;7,685932;RET
26/04/2018 10:33:55 a.m.;3,869954;6,671617;RET
26/04/2018 10:33:55 a.m.;3,411126;5,663841;RET
26/04/2018 10:33:56 a.m.;2,395903;4,780431;RET
