03/01/2019 11:47:29 a.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
03/01/2019 11:47:29 a.m.;0,3397922;0,2874146;DET
03/01/2019 11:50:28 a.m.;-0,1994808;0,2874147;NULL;NULL;NULL;REC
03/01/2019 11:50:28 a.m.;-0,1994808;0,2874147;REC
03/01/2019 11:50:47 a.m.;-0,1495396;0,8112408;REC
03/01/2019 11:50:47 a.m.;0,506366;1,847411;REC
03/01/2019 11:50:48 a.m.;1,187548;2,866175;REC
03/01/2019 11:50:49 a.m.;2,076819;3,892358;REC
03/01/2019 11:50:49 a.m.;2,934086;4,935793;REC
03/01/2019 11:50:50 a.m.;3,515698;5,954593;REC
03/01/2019 11:50:51 a.m.;4,088518;6,962272;REC
03/01/2019 11:50:51 a.m.;4,671017;7,987048;REC
03/01/2019 11:50:52 a.m.;5,244129;8,996245;REC
03/01/2019 11:50:53 a.m.;5,805739;10,01193;REC
03/01/2019 11:50:53 a.m.;6,331863;11,02063;REC
03/01/2019 11:50:54 a.m.;6,728935;12,05561;REC
03/01/2019 11:50:54 a.m.;7,11886;13,09345;REC
03/01/2019 11:51:02 a.m.;7,555937;14,12891;REC
03/01/2019 11:51:03 a.m.;8,128283;15,1371;REC
03/01/2019 11:51:03 a.m.;8,701196;16,14641;REC
03/01/2019 11:51:05 a.m.;9,846728;18,16416;RET
03/01/2019 11:51:06 a.m.;9,555428;17,65698;RET
03/01/2019 11:51:11 a.m.;9,256339;17,14445;RET
03/01/2019 11:51:12 a.m.;8,633259;16,0895;RET
03/01/2019 11:51:13 a.m.;8,333838;15,56685;RET
03/01/2019 11:51:14 a.m.;7,763622;14,55714;RET
03/01/2019 11:51:14 a.m.;7,473668;14,04354;RET
03/01/2019 11:51:19 a.m.;6,880017;12,99259;RET
03/01/2019 11:51:20 a.m.;6,309833;11,98285;RET
03/01/2019 11:51:21 a.m.;5,739148;10,97191;RET
03/01/2019 11:51:21 a.m.;5,168876;9,962114;RET
03/01/2019 11:51:22 a.m.;4,598134;8,951;RET
03/01/2019 11:51:22 a.m.;4,027319;7,939447;RET
03/01/2019 11:51:23 a.m.;3,446583;6,909959;RET
03/01/2019 11:51:24 a.m.;2,87577;5,897274;RET
03/01/2019 11:51:24 a.m.;2,308919;4,890167;RET
03/01/2019 11:51:25 a.m.;1,741532;3,882127;RET
03/01/2019 11:51:30 a.m.;1,171466;2,869262;RET
03/01/2019 11:51:30 a.m.;0,5082006;1,82684;RET
03/01/2019 11:51:31 a.m.;-0,17718;0,790759;RET
03/01/2019 11:51:31 a.m.;-0,7585272;-0,2175879;EVA
03/01/2019 11:51:52 a.m.;-0,2493982;-0,6090736;PR2
03/01/2019 11:51:53 a.m.;-0,2493982;-0,6090736;PR2
03/01/2019 11:51:53 a.m.;-0,2493982;-0,6090736;PR2
03/01/2019 11:51:54 a.m.;-0,2493982;-0,6090736;PR2
