20/12/2018 03:17:46 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
20/12/2018 03:17:46 p.m.;0,3397922;0,2874146;DET
20/12/2018 03:17:51 p.m.;-0,162551;0,06016625;NULL;NULL;NULL;REC
20/12/2018 03:17:51 p.m.;-0,162551;0,06016625;REC
20/12/2018 03:17:59 p.m.;-0,1631715;0,1240685;REC
20/12/2018 03:18:00 p.m.;0,8711402;0,8146272;REC
20/12/2018 03:18:00 p.m.;1,879111;1,487038;REC
20/12/2018 03:18:01 p.m.;2,908445;2,173722;REC
20/12/2018 03:18:02 p.m.;3,934341;2,85648;REC
20/12/2018 03:18:02 p.m.;4,963426;3,542258;REC
20/12/2018 03:18:03 p.m.;5,991295;4,226765;REC
20/12/2018 03:18:04 p.m.;7,035025;4,918985;REC
20/12/2018 03:18:04 p.m.;8,062495;5,600588;REC
20/12/2018 03:18:05 p.m.;9,090449;6,285042;REC
20/12/2018 03:18:05 p.m.;10,09876;7,010657;REC
20/12/2018 03:18:06 p.m.;10,93316;8,049244;REC
20/12/2018 03:18:07 p.m.;11,98917;8,672219;REC
20/12/2018 03:18:07 p.m.;13,01176;9,173001;REC
20/12/2018 03:18:08 p.m.;14,05407;9,683696;REC
20/12/2018 03:18:09 p.m.;15,09599;10,19394;REC
20/12/2018 03:18:14 p.m.;16,44267;10,44459;RET
20/12/2018 03:18:14 p.m.;15,41998;9,887198;RET
20/12/2018 03:18:15 p.m.;14,37967;9,623783;RET
20/12/2018 03:18:15 p.m.;13,31706;9,354712;RET
20/12/2018 03:18:16 p.m.;12,25488;9,085984;RET
20/12/2018 03:18:16 p.m.;11,21457;8,822562;RET
20/12/2018 03:18:17 p.m.;10,17011;8,258129;RET
20/12/2018 03:18:18 p.m.;9,136148;7,520438;RET
20/12/2018 03:18:18 p.m.;8,221948;6,482629;RET
20/12/2018 03:18:19 p.m.;7,345911;5,466769;RET
20/12/2018 03:18:20 p.m.;6,303662;4,737463;RET
20/12/2018 03:18:20 p.m.;5,284522;4,057707;RET
20/12/2018 03:18:21 p.m.;4,264038;3,379411;RET
20/12/2018 03:18:22 p.m.;3,243351;2,700986;RET
20/12/2018 03:18:22 p.m.;2,223661;2,023384;RET
20/12/2018 03:18:23 p.m.;1,203476;1,346022;RET
20/12/2018 03:18:23 p.m.;0,3532301;0,4865033;RET
20/12/2018 03:18:24 p.m.;0,3532301;0,4865033;REC
20/12/2018 03:18:29 p.m.;0,1323076;-0,04561339;REC
20/12/2018 03:18:29 p.m.;0,9107543;0,9941517;REC
20/12/2018 03:18:30 p.m.;1,675125;2,014932;REC
20/12/2018 03:18:31 p.m.;2,450958;3,050204;REC
20/12/2018 03:18:31 p.m.;3,228108;4,087379;REC
20/12/2018 03:18:32 p.m.;3,986528;5,097963;REC
20/12/2018 03:18:33 p.m.;4,761264;6,130284;REC
20/12/2018 03:18:33 p.m.;5,537244;7,166674;REC
20/12/2018 03:18:34 p.m.;6,300574;8,186272;REC
20/12/2018 03:18:35 p.m.;7,077022;9,224721;REC
20/12/2018 03:18:35 p.m.;7,840195;10,24564;REC
20/12/2018 03:18:36 p.m.;8,616581;11,2841;REC
20/12/2018 03:18:37 p.m.;9,392389;12,32156;REC
20/12/2018 03:18:37 p.m.;10,15536;13,34168;REC
20/12/2018 03:18:38 p.m.;10,87362;14,37272;REC
20/12/2018 03:18:43 p.m.;11,69072;15,43148;RET
20/12/2018 03:18:44 p.m.;10,8225;14,39394;RET
20/12/2018 03:18:45 p.m.;9,941373;13,36593;RET
20/12/2018 03:18:45 p.m.;9,073634;12,35299;RET
20/12/2018 03:18:46 p.m.;8,19275;11,32475;RET
20/12/2018 03:18:47 p.m.;7,311359;10,29587;RET
20/12/2018 03:18:47 p.m.;6,429853;9,266877;RET
20/12/2018 03:18:48 p.m.;5,563065;8,255309;RET
20/12/2018 03:18:49 p.m.;4,698014;7,211657;RET
20/12/2018 03:18:49 p.m.;3,823352;6,147753;RET
20/12/2018 03:18:50 p.m.;2,997681;5,124673;RET
20/12/2018 03:18:51 p.m.;2,560034;4,089944;RET
20/12/2018 03:18:51 p.m.;2,115246;3,061015;RET
20/12/2018 03:18:52 p.m.;1,255794;2,01516;RET
20/12/2018 03:18:53 p.m.;0,3960369;0,9921402;RET
20/12/2018 03:18:53 p.m.;-0,09253831;-0,04095209;RET
