03/09/2019 04:51:26 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
03/09/2019 04:51:26 p.m.;0,3397922;0,2874146;DET
03/09/2019 04:51:38 p.m.;-0,1649187;0,2697939;NULL;NULL;NULL;REC
03/09/2019 04:51:38 p.m.;-0,1649187;0,2697939;REC
03/09/2019 04:51:49 p.m.;-1,388378;0,7013747;REC
03/09/2019 04:51:51 p.m.;-1,304147;1,222919;REC
03/09/2019 04:51:53 p.m.;-1,13887;2,244805;REC
03/09/2019 04:51:54 p.m.;-1,056428;2,754219;REC
03/09/2019 04:51:55 p.m.;-0,8920711;3,770942;REC
03/09/2019 04:51:55 p.m.;-0,7275904;4,788747;REC
03/09/2019 04:51:56 p.m.;-0,5632176;5,80621;REC
03/09/2019 04:51:56 p.m.;-0,3997984;6,823081;REC
03/09/2019 04:51:57 p.m.;-0,2329235;7,861382;REC
03/09/2019 04:51:57 p.m.;-0,0693666;8,87833;REC
03/09/2019 04:51:58 p.m.;0,09399045;9,895774;REC
03/09/2019 04:51:58 p.m.;0,2574303;10,91286;REC
03/09/2019 04:51:59 p.m.;0,4209799;11,92998;REC
03/09/2019 04:51:59 p.m.;0,5845274;12,94685;REC
03/09/2019 04:52:01 p.m.;0,7498456;13,97685;REC
03/09/2019 04:52:01 p.m.;0,9135504;14,99561;REC
03/09/2019 04:52:02 p.m.;1,078332;16,02085;REC
03/09/2019 04:52:03 p.m.;1,240554;17,03096;REC
03/09/2019 04:52:06 p.m.;1,732709;20,09834;RET
03/09/2019 04:52:07 p.m.;1,817976;20,63554;RET
03/09/2019 04:52:13 p.m.;1,772306;20,12219;RET
03/09/2019 04:52:14 p.m.;1,875972;19,07505;RET
03/09/2019 04:52:14 p.m.;2,121932;18,03648;RET
03/09/2019 04:52:15 p.m.;2,298203;17,01473;RET
03/09/2019 04:52:15 p.m.;2,093284;16,00733;RET
03/09/2019 04:52:16 p.m.;1,881223;14,99778;RET
03/09/2019 04:52:16 p.m.;1,673965;13,99162;RET
03/09/2019 04:52:17 p.m.;1,627187;12,96881;RET
03/09/2019 04:52:18 p.m.;1,630398;11,9386;RET
03/09/2019 04:52:18 p.m.;1,633634;10,88368;RET
03/09/2019 04:52:19 p.m.;1,636927;9,828777;RET
03/09/2019 04:52:19 p.m.;1,590783;8,784249;RET
03/09/2019 04:52:20 p.m.;1,38295;7,774828;RET
03/09/2019 04:52:20 p.m.;1,170756;6,763874;RET
03/09/2019 04:52:21 p.m.;0,9553573;5,73806;RET
03/09/2019 04:52:21 p.m.;0,7444225;4,72919;RET
03/09/2019 04:52:22 p.m.;0,5331507;3,718433;RET
03/09/2019 04:52:22 p.m.;0,3222655;2,709508;RET
03/09/2019 04:52:23 p.m.;0,1117161;1,702304;RET
03/09/2019 04:52:24 p.m.;0,2595539;0,6732382;RET
03/09/2019 04:52:25 p.m.;0,2595539;0,6732382;REC
03/09/2019 04:52:25 p.m.;0,1411184;-0,3433085;REC
03/09/2019 04:52:26 p.m.;-0,07728434;-1,399973;REC
03/09/2019 04:52:35 p.m.;-0,5796342;-1,100687;REC
03/09/2019 04:52:35 p.m.;-1,083918;-0,7425682;REC
03/09/2019 04:52:36 p.m.;-1,583994;-0,3536996;REC
03/09/2019 04:52:37 p.m.;-2,602447;0,4379464;REC
03/09/2019 04:52:37 p.m.;-3,620504;1,229044;REC
03/09/2019 04:52:38 p.m.;-4,639214;2,020449;REC
03/09/2019 04:52:39 p.m.;-5,673303;2,824218;REC
03/09/2019 04:52:39 p.m.;-6,690622;3,614566;REC
03/09/2019 04:52:40 p.m.;-7,706653;4,403545;REC
03/09/2019 04:52:41 p.m.;-8,210325;4,794899;REC
03/09/2019 04:52:42 p.m.;-9,229319;5,586666;REC
03/09/2019 04:52:43 p.m.;-10,24798;6,377784;REC
03/09/2019 04:52:44 p.m.;-11,26539;7,168013;REC
03/09/2019 04:52:45 p.m.;-12,30741;7,976958;REC
03/09/2019 04:52:46 p.m.;-13,08661;8,875496;REC
03/09/2019 04:52:47 p.m.;-13,57547;9,392512;REC
03/09/2019 04:52:47 p.m.;-14,59443;10,18404;REC
03/09/2019 04:52:55 p.m.;-15,14191;10,44794;RET
03/09/2019 04:52:56 p.m.;-14,10493;9,889601;RET
03/09/2019 04:52:56 p.m.;-13,09574;9,514588;RET
03/09/2019 04:52:57 p.m.;-12,08834;9,140282;RET
03/09/2019 04:52:57 p.m.;-11,07974;8,764676;RET
03/09/2019 04:52:58 p.m.;-10,04757;7,839318;RET
03/09/2019 04:52:59 p.m.;-9,032211;6,848977;RET
03/09/2019 04:52:59 p.m.;-7,97595;6,225973;RET
03/09/2019 04:53:00 p.m.;-6,941972;5,692429;RET
03/09/2019 04:53:00 p.m.;-5,901343;5,161429;RET
03/09/2019 04:53:01 p.m.;-4,860711;4,630429;RET
03/09/2019 04:53:02 p.m.;-3,843882;3,78757;RET
03/09/2019 04:53:02 p.m.;-2,837098;2,787046;RET
03/09/2019 04:53:03 p.m.;-1,830791;1,787358;RET
03/09/2019 04:53:04 p.m.;-0,8002442;0,76124;RET
03/09/2019 04:53:05 p.m.;-0,2979877;0,2623049;RET
03/09/2019 04:53:06 p.m.;0,7097664;-0,7388111;EVA
03/09/2019 04:53:19 p.m.;0,7097664;-0,7388111;PR2
03/09/2019 04:53:20 p.m.;0,7097664;-0,7388111;PR2
03/09/2019 04:53:21 p.m.;0,7097664;-0,7388111;PR2
03/09/2019 04:53:22 p.m.;0,7097664;-0,7388111;PR2
03/09/2019 04:53:22 p.m.;0,7097664;-0,7388111;PR2
