08/03/2018 03:05:23 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
08/03/2018 03:05:23 p.m.;0,3397922;0,2874146;DET
08/03/2018 03:05:26 p.m.;0,8508059;0,2874159;NULL;NULL;NULL;REC
08/03/2018 03:05:26 p.m.;0,8508059;0,2874159;REC
08/03/2018 03:05:30 p.m.;-1,209997;0,2745959;REC
08/03/2018 03:05:30 p.m.;-2,236696;0,1216793;REC
08/03/2018 03:05:31 p.m.;-3,250942;-0,1082205;REC
08/03/2018 03:05:31 p.m.;-4,258657;-0,36547;REC
08/03/2018 03:05:32 p.m.;-5,298564;-0,6702309;REC
08/03/2018 03:05:32 p.m.;-6,334304;-0,9774808;REC
08/03/2018 03:05:33 p.m.;-7,372506;-1,288008;REC
08/03/2018 03:05:34 p.m.;-8,394387;-1,576832;REC
08/03/2018 03:05:34 p.m.;-9,40656;-1,817562;REC
08/03/2018 03:05:35 p.m.;-10,42469;-2,033901;REC
08/03/2018 03:05:35 p.m.;-11,44653;-2,228061;REC
08/03/2018 03:05:36 p.m.;-12,46215;-2,429057;REC
08/03/2018 03:05:36 p.m.;-13,50008;-2,362397;REC
08/03/2018 03:05:37 p.m.;-14,51147;-2,591204;REC
08/03/2018 03:05:37 p.m.;-15,52266;-2,836095;REC
08/03/2018 03:05:38 p.m.;-16,55484;-2,969694;REC
08/03/2018 03:05:38 p.m.;-17,59005;-3,07822;REC
08/03/2018 03:05:39 p.m.;-18,62119;-3,215047;REC
08/03/2018 03:05:40 p.m.;-18,75504;-4,400216;RET
08/03/2018 03:05:41 p.m.;-17,75037;-3,891726;RET
08/03/2018 03:05:41 p.m.;-16,71769;-3,501608;RET
08/03/2018 03:05:42 p.m.;-15,68946;-3,344871;RET
08/03/2018 03:05:42 p.m.;-14,66088;-3,190147;RET
08/03/2018 03:05:43 p.m.;-13,63243;-3,035422;RET
08/03/2018 03:05:44 p.m.;-12,50888;-2,866382;RET
08/03/2018 03:05:44 p.m.;-11,48031;-2,711658;RET
08/03/2018 03:05:45 p.m.;-10,45174;-2,556934;RET
08/03/2018 03:05:45 p.m.;-9,423127;-2,401817;RET
08/03/2018 03:05:46 p.m.;-8,394565;-2,247089;RET
08/03/2018 03:05:46 p.m.;-7,365418;-2,092342;RET
08/03/2018 03:05:47 p.m.;-6,336304;-1,937498;RET
08/03/2018 03:05:47 p.m.;-5,300905;-1,619789;RET
08/03/2018 03:05:48 p.m.;-4,289993;-1,228849;RET
08/03/2018 03:05:48 p.m.;-3,282045;-0,8297921;RET
08/03/2018 03:05:49 p.m.;-2,274098;-0,4307362;RET
08/03/2018 03:05:49 p.m.;-1,26616;-0,03165672;RET
08/03/2018 03:05:50 p.m.;-0,252473;0,378173;RET
08/03/2018 03:05:51 p.m.;-0,252473;0,378173;REC
08/03/2018 03:05:51 p.m.;1,497354;1,490143;REC
08/03/2018 03:05:52 p.m.;1,059082;2,113459;REC
08/03/2018 03:05:52 p.m.;0,6094379;1,084666;REC
08/03/2018 03:05:53 p.m.;0,2747768;0,07049573;REC
08/03/2018 03:05:54 p.m.;-0,1736962;-0,9440497;REC
08/03/2018 03:05:54 p.m.;-0,6377357;-1,965093;REC
08/03/2018 03:05:55 p.m.;-1,108801;-2,987972;REC
08/03/2018 03:05:55 p.m.;-1,541467;-4,003826;REC
08/03/2018 03:05:56 p.m.;-1,873215;-5,034916;REC
08/03/2018 03:05:56 p.m.;-2,169791;-6,07532;REC
08/03/2018 03:05:57 p.m.;-2,455285;-7,095809;REC
08/03/2018 03:05:58 p.m.;-2,735268;-8,097141;REC
08/03/2018 03:05:58 p.m.;-3,01483;-9,098659;REC
08/03/2018 03:05:59 p.m.;-3,294806;-10,10128;REC
08/03/2018 03:05:59 p.m.;-3,574638;-11,10306;REC
08/03/2018 03:06:00 p.m.;-3,854607;-12,10443;REC
08/03/2018 03:06:00 p.m.;-4,134553;-13,10532;REC
08/03/2018 03:06:01 p.m.;-4,414655;-14,10761;REC
08/03/2018 03:06:01 p.m.;-4,694672;-15,11017;REC
08/03/2018 03:06:02 p.m.;-5,140464;-16,13523;REC
08/03/2018 03:06:02 p.m.;-5,902818;-17,15959;REC
08/03/2018 03:06:04 p.m.;-6,210809;-18,842;RET
08/03/2018 03:06:04 p.m.;-5,762863;-17,834;RET
08/03/2018 03:06:05 p.m.;-5,583985;-16,79965;RET
08/03/2018 03:06:05 p.m.;-5,293285;-15,7785;RET
08/03/2018 03:06:06 p.m.;-5,002583;-14,75774;RET
08/03/2018 03:06:06 p.m.;-4,717671;-13,75727;RET
08/03/2018 03:06:07 p.m.;-4,433099;-12,75698;RET
08/03/2018 03:06:08 p.m.;-4,148337;-11,75568;RET
08/03/2018 03:06:08 p.m.;-3,858693;-10,7383;RET
08/03/2018 03:06:09 p.m.;-3,567964;-9,717478;RET
08/03/2018 03:06:09 p.m.;-3,283083;-8,717218;RET
08/03/2018 03:06:10 p.m.;-2,992787;-7,697781;RET
08/03/2018 03:06:10 p.m.;-2,706844;-6,696628;RET
08/03/2018 03:06:11 p.m.;-2,39094;-5,659837;RET
08/03/2018 03:06:11 p.m.;-1,982055;-4,657463;RET
08/03/2018 03:06:12 p.m.;-1,569897;-3,654691;RET
08/03/2018 03:06:12 p.m.;-1,149614;-2,633713;RET
08/03/2018 03:06:13 p.m.;-0,7369123;-1,631358;RET
08/03/2018 03:06:14 p.m.;-0,3140582;-0,6265643;RET
08/03/2018 03:06:14 p.m.;0,09781553;0,3754896;EVA
08/03/2018 03:06:19 p.m.;0,09781553;0,3754896;PR2
08/03/2018 03:06:19 p.m.;0,09781553;0,3754896;PR3
08/03/2018 03:06:21 p.m.;-0,5964957;-1,156545;DET
08/03/2018 03:06:24 p.m.;-0,2860524;-0,6505417;NULL;NULL;NULL;REC
08/03/2018 03:06:24 p.m.;-0,2860524;-0,6505417;REC
08/03/2018 03:06:25 p.m.;-0,2757067;-1,576431;REC
08/03/2018 03:06:25 p.m.;0,1683982;-0,5453523;REC
08/03/2018 03:06:26 p.m.;1,192646;-0,8474255;REC
08/03/2018 03:06:26 p.m.;2,209563;-1,428033;REC
08/03/2018 03:06:27 p.m.;3,230168;-2,002777;REC
08/03/2018 03:06:28 p.m.;4,250773;-2,577523;REC
08/03/2018 03:06:28 p.m.;5,26983;-3,150975;REC
08/03/2018 03:06:29 p.m.;6,288972;-3,72384;REC
08/03/2018 03:06:29 p.m.;7,302512;-4,293212;REC
08/03/2018 03:06:30 p.m.;8,322959;-4,866807;REC
08/03/2018 03:06:31 p.m.;9,342077;-5,436438;REC
08/03/2018 03:06:31 p.m.;10,3616;-6,005836;REC
08/03/2018 03:06:32 p.m.;11,38167;-6,575974;REC
08/03/2018 03:06:32 p.m.;12,40179;-7,146533;REC
08/03/2018 03:06:33 p.m.;13,41221;-7,773653;REC
08/03/2018 03:06:34 p.m.;14,42828;-8,388469;REC
08/03/2018 03:06:34 p.m.;15,45365;-9,039242;REC
08/03/2018 03:06:36 p.m.;17,02835;-11,08126;RET
08/03/2018 03:06:36 p.m.;16,56712;-11,79351;RET
08/03/2018 03:06:37 p.m.;15,54717;-11,60343;RET
08/03/2018 03:06:37 p.m.;14,53664;-10,74166;RET
08/03/2018 03:06:38 p.m.;13,5168;-10,1853;RET
08/03/2018 03:06:39 p.m.;12,48157;-9,648533;RET
08/03/2018 03:06:39 p.m.;11,44627;-9,111288;RET
08/03/2018 03:06:40 p.m.;10,41298;-8,57465;RET
08/03/2018 03:06:40 p.m.;9,375914;-8,032848;RET
08/03/2018 03:06:41 p.m.;8,338799;-7,490297;RET
08/03/2018 03:06:42 p.m.;7,30167;-6,947402;RET
08/03/2018 03:06:42 p.m.;6,264001;-6,40335;RET
08/03/2018 03:06:43 p.m.;5,226828;-5,856181;RET
08/03/2018 03:06:43 p.m.;4,219186;-5,055871;RET
08/03/2018 03:06:44 p.m.;3,688876;-4,03711;RET
08/03/2018 03:06:45 p.m.;2,886805;-3,017284;RET
08/03/2018 03:06:45 p.m.;1,861951;-2,155148;RET
08/03/2018 03:06:46 p.m.;0,8602559;-1,470802;RET
08/03/2018 03:06:47 p.m.;-0,1499222;-0,8054192;RET
08/03/2018 03:06:48 p.m.;-0,1499222;-0,8054192;REC
08/03/2018 03:06:48 p.m.;-0,2288852;1,191099;REC
08/03/2018 03:06:49 p.m.;0,8031505;0,9821482;REC
08/03/2018 03:06:49 p.m.;1,80928;0,6488053;REC
08/03/2018 03:06:50 p.m.;2,819007;0,3954403;REC
08/03/2018 03:06:50 p.m.;3,828851;0,1418141;REC
08/03/2018 03:06:51 p.m.;4,838655;-0,1118024;REC
08/03/2018 03:06:51 p.m.;5,84715;-0,3651161;REC
08/03/2018 03:06:52 p.m.;6,856915;-0,6189834;REC
08/03/2018 03:06:52 p.m.;7,866749;-0,8728777;REC
08/03/2018 03:06:53 p.m.;8,875321;-1,126456;REC
08/03/2018 03:06:53 p.m.;9,881603;-1,379193;REC
08/03/2018 03:06:54 p.m.;10,89146;-1,632732;REC
08/03/2018 03:06:54 p.m.;11,90132;-1,88627;REC
08/03/2018 03:06:55 p.m.;12,91118;-2,139809;REC
08/03/2018 03:06:55 p.m.;13,91893;-2,392771;REC
08/03/2018 03:06:56 p.m.;14,9281;-2,646047;REC
08/03/2018 03:06:57 p.m.;15,95182;-2,930939;REC
08/03/2018 03:06:57 p.m.;16,99014;-3,244178;REC
08/03/2018 03:06:58 p.m.;18,02846;-3,557419;REC
08/03/2018 03:06:59 p.m.;19,71232;-4,908492;RET
08/03/2018 03:06:59 p.m.;19,07137;-5,615408;RET
08/03/2018 03:07:00 p.m.;18,04903;-5,381943;RET
08/03/2018 03:07:01 p.m.;17,02138;-4,988281;RET
08/03/2018 03:07:01 p.m.;15,98668;-4,911283;RET
08/03/2018 03:07:02 p.m.;14,94833;-4,855824;RET
08/03/2018 03:07:02 p.m.;13,91555;-4,745317;RET
08/03/2018 03:07:03 p.m.;12,89241;-4,463055;RET
08/03/2018 03:07:03 p.m.;11,85646;-4,145544;RET
