@Sujeto: Agustin
@Número Protocolo: 2
@Radio: 20
@Angulos: 20
@Total Banderas Circunferencia: 180
@Separacion: 2
time;posX;posY;banX;banY;idBan-RTA;estado
21/04/2017 05:52:22 p.m.;-0,1664829;-0,1329479;NULL;NULL;NULL;DET
21/04/2017 05:52:42 p.m.;0,08743326;-0,6381575;NULL;NULL;NULL;BUS
21/04/2017 05:52:42 p.m.;0,6739843;-1,645908;NULL;NULL;NULL;BUS
21/04/2017 05:52:43 p.m.;1,382688;-2,65011;NULL;NULL;NULL;BUS
21/04/2017 05:52:44 p.m.;2,129511;-3,678567;NULL;NULL;NULL;BUS
21/04/2017 05:52:44 p.m.;2,878118;-4,706597;NULL;NULL;NULL;BUS
21/04/2017 05:52:45 p.m.;3,646272;-5,721694;NULL;NULL;NULL;BUS
21/04/2017 05:52:46 p.m.;4,414403;-6,737815;NULL;NULL;NULL;BUS
21/04/2017 05:52:46 p.m.;5,182336;-7,755418;NULL;NULL;NULL;BUS
21/04/2017 05:52:47 p.m.;6,068861;-8,76494;NULL;NULL;NULL;BUS
21/04/2017 05:52:48 p.m.;6,983423;-9,775624;NULL;NULL;NULL;BUS
21/04/2017 05:52:48 p.m.;7,557992;-10,79609;NULL;NULL;NULL;BUS
21/04/2017 05:52:49 p.m.;8,131419;-11,81087;NULL;NULL;NULL;BUS
21/04/2017 05:52:49 p.m.;8,837458;-12,84469;NULL;NULL;NULL;BUS
21/04/2017 05:52:50 p.m.;9,802087;-13,86043;NULL;NULL;NULL;BUS
21/04/2017 05:52:51 p.m.;10,74604;-14,86758;NULL;NULL;NULL;BUS
21/04/2017 05:52:51 p.m.;11,55968;-15,88047;NULL;NULL;NULL;BUS
21/04/2017 05:52:51 p.m.;11,55968;-15,88047;11,7557;-16,18034;153;CAP
21/04/2017 05:52:56 p.m.;11,66628;-15,36582;NULL;NULL;NULL;CEN
21/04/2017 05:52:56 p.m.;11,23877;-14,33211;NULL;NULL;NULL;CEN
21/04/2017 05:52:57 p.m.;10,74795;-13,32159;NULL;NULL;NULL;CEN
21/04/2017 05:52:58 p.m.;9,952679;-12,32249;NULL;NULL;NULL;CEN
21/04/2017 05:52:58 p.m.;8,972511;-11,36977;NULL;NULL;NULL;CEN
21/04/2017 05:52:59 p.m.;8,405005;-10,34487;NULL;NULL;NULL;CEN
21/04/2017 05:53:00 p.m.;7,498096;-9,341089;NULL;NULL;NULL;CEN
21/04/2017 05:53:00 p.m.;6,510122;-8,328276;NULL;NULL;NULL;CEN
21/04/2017 05:53:01 p.m.;5,488378;-7,350376;NULL;NULL;NULL;CEN
21/04/2017 05:53:02 p.m.;4,69393;-6,33698;NULL;NULL;NULL;CEN
21/04/2017 05:53:02 p.m.;4,017069;-5,323586;NULL;NULL;NULL;CEN
21/04/2017 05:53:03 p.m.;3,336412;-4,31866;NULL;NULL;NULL;CEN
21/04/2017 05:53:04 p.m.;2,44099;-3,293524;NULL;NULL;NULL;CEN
21/04/2017 05:53:04 p.m.;1,692138;-2,282481;NULL;NULL;NULL;CEN
21/04/2017 05:53:05 p.m.;0,8490005;-1,301596;NULL;NULL;NULL;CEN
21/04/2017 05:53:05 p.m.;0,05353148;-0,4790048;NULL;NULL;NULL;CEN
21/04/2017 05:53:11 p.m.;0,03439841;-0,9844768;NULL;NULL;NULL;BUS
21/04/2017 05:53:12 p.m.;0,188957;-2,011307;NULL;NULL;NULL;BUS
21/04/2017 05:53:12 p.m.;0,6514797;-3,024763;NULL;NULL;NULL;BUS
21/04/2017 05:53:13 p.m.;1,127194;-4,056586;NULL;NULL;NULL;BUS
21/04/2017 05:53:13 p.m.;1,380529;-5,07156;NULL;NULL;NULL;BUS
21/04/2017 05:53:14 p.m.;1,606725;-6,08737;NULL;NULL;NULL;BUS
