@Sujeto: Axel
@Número Protocolo: 2
@Radio: 20
@Angulos: 20
@Total Banderas Circunferencia: 180
@Separacion: 2
time;posX;posY;banX;banY;idBan-RTA;estado
22/04/2017 12:01:35 p.m.;0,8561504;0,2815664;NULL;NULL;NULL;DET
22/04/2017 12:01:35 p.m.;0,3438579;0,2020326;NULL;NULL;NULL;BUS
22/04/2017 12:01:43 p.m.;0,8531566;0,5962038;NULL;NULL;NULL;BUS
22/04/2017 12:01:44 p.m.;1,873934;1,325142;NULL;NULL;NULL;BUS
22/04/2017 12:01:45 p.m.;2,904087;2,120087;NULL;NULL;NULL;BUS
22/04/2017 12:01:45 p.m.;3,931355;2,911805;NULL;NULL;NULL;BUS
22/04/2017 12:01:46 p.m.;4,961296;3,706012;NULL;NULL;NULL;BUS
22/04/2017 12:01:47 p.m.;5,989866;4,498686;NULL;NULL;NULL;BUS
22/04/2017 12:01:47 p.m.;7,005414;5,303999;NULL;NULL;NULL;BUS
22/04/2017 12:01:48 p.m.;7,959008;6,288876;NULL;NULL;NULL;BUS
22/04/2017 12:01:49 p.m.;8,988351;7,15045;NULL;NULL;NULL;BUS
22/04/2017 12:01:49 p.m.;10,01937;8,010536;NULL;NULL;NULL;BUS
22/04/2017 12:01:50 p.m.;11,04029;8,880367;NULL;NULL;NULL;BUS
22/04/2017 12:01:51 p.m.;12,04504;9,740158;NULL;NULL;NULL;BUS
22/04/2017 12:01:51 p.m.;12,9899;10,69815;NULL;NULL;NULL;BUS
22/04/2017 12:01:52 p.m.;14,00514;11,61067;NULL;NULL;NULL;BUS
22/04/2017 12:01:53 p.m.;15,00876;12,50371;NULL;NULL;NULL;BUS
22/04/2017 12:01:53 p.m.;15,00876;12,50371;15,32089;12,85575;20;CAP
22/04/2017 12:01:57 p.m.;14,50985;11,98994;NULL;NULL;NULL;CEN
22/04/2017 12:01:58 p.m.;13,50228;11,13774;NULL;NULL;NULL;CEN
22/04/2017 12:01:58 p.m.;12,47514;10,27063;NULL;NULL;NULL;CEN
22/04/2017 12:01:59 p.m.;11,45087;9,399831;NULL;NULL;NULL;CEN
22/04/2017 12:02:00 p.m.;10,42661;8,529059;NULL;NULL;NULL;CEN
22/04/2017 12:02:00 p.m.;9,402146;7,657392;NULL;NULL;NULL;CEN
22/04/2017 12:02:01 p.m.;8,374864;6,790224;NULL;NULL;NULL;CEN
22/04/2017 12:02:02 p.m.;7,352365;5,984441;NULL;NULL;NULL;CEN
22/04/2017 12:02:02 p.m.;6,331072;5,177992;NULL;NULL;NULL;CEN
22/04/2017 12:02:03 p.m.;5,309165;4,370209;NULL;NULL;NULL;CEN
22/04/2017 12:02:04 p.m.;4,287968;3,565161;NULL;NULL;NULL;CEN
22/04/2017 12:02:04 p.m.;3,266357;2,76004;NULL;NULL;NULL;CEN
22/04/2017 12:02:05 p.m.;2,245249;1,955273;NULL;NULL;NULL;CEN
22/04/2017 12:02:06 p.m.;1,227624;1,078267;NULL;NULL;NULL;CEN
22/04/2017 12:02:07 p.m.;0,2148924;0,2147082;NULL;NULL;NULL;CEN
22/04/2017 12:02:10 p.m.;0,7204713;0,1054091;NULL;NULL;NULL;BUS
22/04/2017 12:02:11 p.m.;1,755056;-0,007168271;NULL;NULL;NULL;BUS
22/04/2017 12:02:11 p.m.;2,79079;-0,1141363;NULL;NULL;NULL;BUS
22/04/2017 12:02:12 p.m.;3,827064;-0,2150218;NULL;NULL;NULL;BUS
22/04/2017 12:02:12 p.m.;4,866808;-0,2634793;NULL;NULL;NULL;BUS
22/04/2017 12:02:13 p.m.;5,907778;-0,2760796;NULL;NULL;NULL;BUS
22/04/2017 12:02:13 p.m.;6,948921;-0,2955974;NULL;NULL;NULL;BUS
22/04/2017 12:02:14 p.m.;7,990658;-0,3024405;NULL;NULL;NULL;BUS
22/04/2017 12:02:14 p.m.;9,032391;-0,3109816;NULL;NULL;NULL;BUS
22/04/2017 12:02:15 p.m.;10,07414;-0,3128962;NULL;NULL;NULL;BUS
