@Sujeto: Eliel
@Número Protocolo: 2
@Radio: 20
@Angulos: 20
@Total Banderas Circunferencia: 180
@Separacion: 2
time;posX;posY;banX;banY;idBan-RTA;estado
21/04/2017 03:10:21 p.m.;-0,1611274;-0,04202306;NULL;NULL;NULL;DET
21/04/2017 03:10:23 p.m.;-0,1770781;-0,529623;NULL;NULL;NULL;BUS
21/04/2017 03:10:24 p.m.;-0,02927282;-1,037112;NULL;NULL;NULL;BUS
21/04/2017 03:10:25 p.m.;0,03668834;-1,55017;NULL;NULL;NULL;BUS
21/04/2017 03:10:26 p.m.;1,050787;-1,954314;NULL;NULL;NULL;BUS
21/04/2017 03:10:26 p.m.;2,073936;-1,714512;NULL;NULL;NULL;BUS
21/04/2017 03:10:27 p.m.;3,09289;-1,179033;NULL;NULL;NULL;BUS
21/04/2017 03:10:27 p.m.;4,10186;-0,5915825;NULL;NULL;NULL;BUS
21/04/2017 03:10:28 p.m.;5,051595;0,4165647;NULL;NULL;NULL;BUS
21/04/2017 03:10:29 p.m.;5,753735;1,429121;NULL;NULL;NULL;BUS
21/04/2017 03:10:29 p.m.;6,772645;2,360169;NULL;NULL;NULL;BUS
21/04/2017 03:10:30 p.m.;7,441109;3,372781;NULL;NULL;NULL;BUS
21/04/2017 03:10:31 p.m.;8,120282;4,374419;NULL;NULL;NULL;BUS
21/04/2017 03:10:31 p.m.;8,811044;5,392455;NULL;NULL;NULL;BUS
21/04/2017 03:10:32 p.m.;9,490103;6,39471;NULL;NULL;NULL;BUS
21/04/2017 03:10:32 p.m.;10,16971;7,398892;NULL;NULL;NULL;BUS
21/04/2017 03:10:33 p.m.;10,84937;8,40327;NULL;NULL;NULL;BUS
21/04/2017 03:10:34 p.m.;11,52903;9,408253;NULL;NULL;NULL;BUS
21/04/2017 03:10:34 p.m.;12,20881;10,41375;NULL;NULL;NULL;BUS
21/04/2017 03:10:35 p.m.;12,88824;11,41806;NULL;NULL;NULL;BUS
21/04/2017 03:10:36 p.m.;13,54271;12,44065;NULL;NULL;NULL;BUS
21/04/2017 03:10:36 p.m.;14,22246;13,44595;NULL;NULL;NULL;BUS
21/04/2017 03:10:36 p.m.;14,22246;13,44595;14,3868;13,89317;22;CAP
21/04/2017 03:10:37 p.m.;14,0612;13,62909;NULL;NULL;NULL;CEN
21/04/2017 03:10:38 p.m.;13,0434;12,97351;NULL;NULL;NULL;CEN
21/04/2017 03:10:38 p.m.;12,02775;12,34404;NULL;NULL;NULL;CEN
21/04/2017 03:10:39 p.m.;11,0084;11,54958;NULL;NULL;NULL;CEN
21/04/2017 03:10:39 p.m.;10,13065;10,5264;NULL;NULL;NULL;CEN
21/04/2017 03:10:40 p.m.;9,127609;9,499923;NULL;NULL;NULL;CEN
21/04/2017 03:10:41 p.m.;8,132309;8,471605;NULL;NULL;NULL;CEN
21/04/2017 03:10:42 p.m.;7,137324;7,442644;NULL;NULL;NULL;CEN
21/04/2017 03:10:42 p.m.;6,141952;6,412952;NULL;NULL;NULL;CEN
21/04/2017 03:10:43 p.m.;5,161587;5,398069;NULL;NULL;NULL;CEN
21/04/2017 03:10:44 p.m.;4,182453;4,382859;NULL;NULL;NULL;CEN
21/04/2017 03:10:45 p.m.;3,188071;3,353784;NULL;NULL;NULL;CEN
