@Sujeto: Santiago
@Número Protocolo: 2
@Radio: 20
@Angulos: 20
@Total Banderas Circunferencia: 180
@Separacion: 2
time;posX;posY;banX;banY;idBan-RTA;estado
22/04/2017 01:08:01 p.m.;-0,1734291;0,268054;NULL;NULL;NULL;DET
22/04/2017 01:08:01 p.m.;-1,212928;0,2030826;NULL;NULL;NULL;BUS
22/04/2017 01:08:02 p.m.;-2,238325;-0,2815835;NULL;NULL;NULL;BUS
22/04/2017 01:08:02 p.m.;-2,831823;-1,295521;NULL;NULL;NULL;BUS
22/04/2017 01:08:03 p.m.;-2,78763;-2,32428;NULL;NULL;NULL;BUS
22/04/2017 01:08:03 p.m.;-2,030333;-2,847405;NULL;NULL;NULL;BUS
22/04/2017 01:08:04 p.m.;-1,055621;-1,92897;NULL;NULL;NULL;BUS
22/04/2017 01:08:05 p.m.;-0,7850338;-0,924584;NULL;NULL;NULL;BUS
22/04/2017 01:08:05 p.m.;0,1380663;-0,1827114;NULL;NULL;NULL;BUS
22/04/2017 01:08:08 p.m.;0,3031165;0,3239412;NULL;NULL;NULL;BUS
22/04/2017 01:08:09 p.m.;-0,4207047;0,4932551;NULL;NULL;NULL;BUS
22/04/2017 01:08:10 p.m.;0,1398217;-0,03123842;NULL;NULL;NULL;BUS
22/04/2017 01:08:19 p.m.;0,6310228;-0,5374431;NULL;NULL;NULL;BUS
22/04/2017 01:08:19 p.m.;1,643834;-1,166447;NULL;NULL;NULL;BUS
22/04/2017 01:08:20 p.m.;2,623109;-1,974327;NULL;NULL;NULL;BUS
22/04/2017 01:08:21 p.m.;3,568835;-2,989422;NULL;NULL;NULL;BUS
22/04/2017 01:08:21 p.m.;4,514458;-4,003528;NULL;NULL;NULL;BUS
22/04/2017 01:08:22 p.m.;5,460317;-5,017908;NULL;NULL;NULL;BUS
22/04/2017 01:08:23 p.m.;6,404986;-6,026839;NULL;NULL;NULL;BUS
22/04/2017 01:08:23 p.m.;7,354269;-7,035343;NULL;NULL;NULL;BUS
22/04/2017 01:08:24 p.m.;8,329279;-8,051344;NULL;NULL;NULL;BUS
22/04/2017 01:08:25 p.m.;9,336287;-9,00799;NULL;NULL;NULL;BUS
22/04/2017 01:08:26 p.m.;10,36059;-9,816709;NULL;NULL;NULL;BUS
22/04/2017 01:08:26 p.m.;11,38687;-10,61643;NULL;NULL;NULL;BUS
22/04/2017 01:08:27 p.m.;12,41374;-11,40745;NULL;NULL;NULL;BUS
22/04/2017 01:08:28 p.m.;13,44145;-12,19937;NULL;NULL;NULL;BUS
22/04/2017 01:08:28 p.m.;14,46802;-12,99157;NULL;NULL;NULL;BUS
