14/03/2018 06:44:12 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
14/03/2018 06:44:12 p.m.;0,3397922;0,2874146;DET
14/03/2018 06:44:20 p.m.;-0,1698544;0,4305713;NULL;NULL;NULL;REC
14/03/2018 06:44:20 p.m.;-0,1698544;0,4305713;REC
14/03/2018 06:44:21 p.m.;-1,806542;0,3434383;REC
14/03/2018 06:44:21 p.m.;-1,915862;-0,6615615;REC
14/03/2018 06:44:23 p.m.;-1,73948;-0,1413952;REC
14/03/2018 06:44:28 p.m.;-1,226223;-0,002002322;REC
14/03/2018 06:44:29 p.m.;-0,1866494;-0,1174851;REC
14/03/2018 06:44:29 p.m.;0,8511787;-0,2303521;REC
14/03/2018 06:44:31 p.m.;1,371361;-0,4177202;REC
14/03/2018 06:44:32 p.m.;2,398908;-1,022112;REC
14/03/2018 06:44:32 p.m.;3,428519;-1,60714;REC
14/03/2018 06:44:33 p.m.;4,459092;-2,182576;REC
14/03/2018 06:44:33 p.m.;5,489204;-2,736851;REC
14/03/2018 06:44:34 p.m.;6,52755;-3,234193;REC
14/03/2018 06:44:34 p.m.;7,548302;-3,662618;REC
14/03/2018 06:44:35 p.m.;8,573287;-3,871607;REC
14/03/2018 06:44:36 p.m.;9,594274;-4,114959;REC
14/03/2018 06:44:36 p.m.;10,12143;-5,133668;REC
14/03/2018 06:44:37 p.m.;11,14602;-5,682877;REC
14/03/2018 06:44:37 p.m.;12,16852;-6,113366;REC
14/03/2018 06:44:38 p.m.;13,17986;-6,440367;REC
14/03/2018 06:44:38 p.m.;14,19759;-6,709385;REC
14/03/2018 06:44:39 p.m.;15,21864;-6,947311;REC
14/03/2018 06:44:39 p.m.;16,24409;-7,145311;REC
14/03/2018 06:44:40 p.m.;17,27211;-7,319216;REC
14/03/2018 06:44:41 p.m.;19,33005;-7,670671;RET
14/03/2018 06:44:42 p.m.;20,35965;-7,848011;RET
14/03/2018 06:44:43 p.m.;20,36631;-7,90333;RET
14/03/2018 06:44:43 p.m.;19,33031;-7,835275;RET
14/03/2018 06:44:44 p.m.;18,2932;-7,767594;RET
14/03/2018 06:44:45 p.m.;17,25644;-7,699223;RET
14/03/2018 06:44:45 p.m.;15,18207;-7,55757;RET
14/03/2018 06:44:46 p.m.;14,15711;-7,487904;RET
14/03/2018 06:44:46 p.m.;13,11893;-7,419921;RET
14/03/2018 06:44:47 p.m.;12,09394;-7,05393;RET
14/03/2018 06:44:48 p.m.;11,47686;-5,538843;RET
14/03/2018 06:44:48 p.m.;10,96478;-4,528361;RET
14/03/2018 06:44:49 p.m.;9,940253;-4,329257;RET
14/03/2018 06:44:49 p.m.;8,9067;-4,215458;RET
14/03/2018 06:44:50 p.m.;7,872912;-4,102089;RET
14/03/2018 06:44:50 p.m.;6,839122;-3,98872;RET
14/03/2018 06:44:51 p.m.;5,818021;-3,876727;RET
14/03/2018 06:44:51 p.m.;4,783429;-3,763218;RET
14/03/2018 06:44:52 p.m.;3,748961;-3,659823;RET
14/03/2018 06:44:52 p.m.;2,714121;-3,556826;RET
14/03/2018 06:44:53 p.m.;1,677725;-3,468123;RET
14/03/2018 06:44:53 p.m.;0,6392182;-3,398689;RET
14/03/2018 06:44:54 p.m.;-0,3861332;-3,151915;RET
14/03/2018 06:44:55 p.m.;-1,028654;-2,144089;RET
14/03/2018 06:44:55 p.m.;-1,704313;-1,108271;RET
14/03/2018 06:44:56 p.m.;-1,517699;-0,473154;RET
14/03/2018 06:44:57 p.m.;-0,5003814;-0,5861274;RET
14/03/2018 06:44:58 p.m.;-0,5003814;-0,5861274;REC
14/03/2018 06:44:58 p.m.;1,034576;-0,8096009;REC
14/03/2018 06:44:59 p.m.;1,544127;-0,9309372;REC
14/03/2018 06:45:00 p.m.;2,577419;-1,043406;REC
14/03/2018 06:45:00 p.m.;3,612539;-1,156074;REC
