13/03/2018 06:19:15 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
13/03/2018 06:19:15 p.m.;0,3397922;0,2874146;DET
13/03/2018 06:19:21 p.m.;-0,1659706;0,2900485;NULL;NULL;NULL;REC
13/03/2018 06:19:21 p.m.;-0,1659706;0,2900485;REC
13/03/2018 06:19:26 p.m.;-0,6723277;0,2684544;REC
13/03/2018 06:19:26 p.m.;-1,69082;0,05379437;REC
13/03/2018 06:19:27 p.m.;-2,700683;-0,1828028;REC
13/03/2018 06:19:27 p.m.;-3,21363;-0,3408363;REC
13/03/2018 06:19:28 p.m.;-4,24555;-0,6717836;REC
13/03/2018 06:19:28 p.m.;-5,277471;-1,002731;REC
13/03/2018 06:19:29 p.m.;-6,309391;-1,333678;REC
13/03/2018 06:19:30 p.m.;-7,341313;-1,664625;REC
13/03/2018 06:19:30 p.m.;-8,373235;-1,995572;REC
13/03/2018 06:19:31 p.m.;-9,405681;-2,326573;REC
13/03/2018 06:19:31 p.m.;-10,43819;-2,657531;REC
13/03/2018 06:19:32 p.m.;-11,47069;-2,988518;REC
13/03/2018 06:19:32 p.m.;-12,5032;-3,319504;REC
13/03/2018 06:19:33 p.m.;-13,54139;-3,632793;REC
13/03/2018 06:19:33 p.m.;-14,57297;-3,963556;REC
13/03/2018 06:19:34 p.m.;-15,60548;-4,294547;REC
13/03/2018 06:19:35 p.m.;-16,63798;-4,625508;REC
13/03/2018 06:19:35 p.m.;-17,66476;-4,954652;REC
13/03/2018 06:19:36 p.m.;-19,70382;-5,755548;RET
13/03/2018 06:19:37 p.m.;-20,01251;-6,778571;RET
13/03/2018 06:19:37 p.m.;-19,04407;-7,535431;RET
13/03/2018 06:19:38 p.m.;-18,20471;-6,730191;RET
13/03/2018 06:19:39 p.m.;-17,38529;-6,070118;RET
13/03/2018 06:19:39 p.m.;-16,35369;-5,942389;RET
13/03/2018 06:19:40 p.m.;-15,32513;-5,602113;RET
13/03/2018 06:19:40 p.m.;-14,29851;-5,255546;RET
13/03/2018 06:19:41 p.m.;-13,27211;-4,909139;RET
13/03/2018 06:19:41 p.m.;-12,24374;-4,362178;RET
13/03/2018 06:19:42 p.m.;-11,21961;-3,701615;RET
13/03/2018 06:19:43 p.m.;-10,19316;-3,355018;RET
13/03/2018 06:19:43 p.m.;-9,1666;-3,008411;RET
13/03/2018 06:19:44 p.m.;-8,139941;-2,661859;RET
13/03/2018 06:19:44 p.m.;-7,112762;-2,314919;RET
13/03/2018 06:19:45 p.m.;-6,085614;-1,968059;RET
13/03/2018 06:19:45 p.m.;-5,058465;-1,621201;RET
13/03/2018 06:19:46 p.m.;-4,031317;-1,274343;RET
13/03/2018 06:19:47 p.m.;-2,984189;-0,9209462;RET
13/03/2018 06:19:47 p.m.;-1,956976;-0,5743348;RET
13/03/2018 06:19:48 p.m.;-0,9295329;-0,2204767;RET
13/03/2018 06:19:49 p.m.;-0,9295329;-0,2204767;REC
13/03/2018 06:19:55 p.m.;-0,9264497;-0,5094754;REC
13/03/2018 06:19:56 p.m.;-1,92992;-1,263853;REC
13/03/2018 06:19:56 p.m.;-2,936406;-2,020982;REC
13/03/2018 06:19:57 p.m.;-3,948802;-2,772219;REC
13/03/2018 06:19:58 p.m.;-4,978669;-3,523259;REC
13/03/2018 06:19:58 p.m.;-5,98637;-4,513932;REC
13/03/2018 06:19:59 p.m.;-5,989911;-5,526087;REC
13/03/2018 06:20:00 p.m.;-6,758592;-6,490705;REC
13/03/2018 06:20:00 p.m.;-7,767862;-7,138523;REC
13/03/2018 06:20:01 p.m.;-8,772948;-7,643694;REC
13/03/2018 06:20:02 p.m.;-9,793199;-8,156305;REC
13/03/2018 06:20:02 p.m.;-10,80075;-8,662625;REC
13/03/2018 06:20:03 p.m.;-11,80497;-9,175564;REC
13/03/2018 06:20:03 p.m.;-12,82929;-9,985394;REC
13/03/2018 06:20:04 p.m.;-13,84103;-10,92116;REC
13/03/2018 06:20:05 p.m.;-14,85462;-11,39132;REC
13/03/2018 06:20:06 p.m.;-16,42981;-12,72717;RET
13/03/2018 06:20:07 p.m.;-16,1827;-12,21415;RET
13/03/2018 06:20:07 p.m.;-15,48386;-10,69426;RET
13/03/2018 06:20:08 p.m.;-14,44969;-9,990671;RET
13/03/2018 06:20:09 p.m.;-13,44015;-9,070232;RET
13/03/2018 06:20:10 p.m.;-12,42894;-8,434402;RET
13/03/2018 06:20:10 p.m.;-11,40554;-7,606403;RET
13/03/2018 06:20:11 p.m.;-10,38502;-6,960413;RET
13/03/2018 06:20:11 p.m.;-9,364422;-6,40191;RET
13/03/2018 06:20:12 p.m.;-8,344045;-5,752923;RET
13/03/2018 06:20:12 p.m.;-7,311403;-4,98379;RET
13/03/2018 06:20:13 p.m.;-6,358452;-4,139634;RET
13/03/2018 06:20:14 p.m.;-5,454321;-3,232056;RET
13/03/2018 06:20:14 p.m.;-4,442197;-2,654569;RET
13/03/2018 06:20:15 p.m.;-3,436954;-2,043926;RET
13/03/2018 06:20:15 p.m.;-2,421831;-1,439958;RET
13/03/2018 06:20:16 p.m.;-1,394022;-0,9028199;RET
13/03/2018 06:20:17 p.m.;-0,3826652;-0,2367287;RET
