15/03/2018 10:16:26 a.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
15/03/2018 10:16:26 a.m.;0,3397922;0,2874146;DET
15/03/2018 10:16:32 a.m.;0,2265076;-0,2278923;NULL;NULL;NULL;REC
15/03/2018 10:16:32 a.m.;0,2265076;-0,2278923;REC
15/03/2018 10:16:36 a.m.;0,7438585;-0,5413083;REC
15/03/2018 10:16:37 a.m.;1,757115;-0,7781428;REC
15/03/2018 10:16:37 a.m.;2,771001;-1,015225;REC
15/03/2018 10:16:38 a.m.;3,784889;-1,252307;REC
15/03/2018 10:16:39 a.m.;4,798776;-1,489389;REC
15/03/2018 10:16:39 a.m.;5,812702;-1,72648;REC
15/03/2018 10:16:40 a.m.;6,826548;-1,963553;REC
15/03/2018 10:16:40 a.m.;7,839919;-2,200514;REC
15/03/2018 10:16:41 a.m.;8,864268;-2,393202;REC
15/03/2018 10:16:41 a.m.;9,88659;-2,406245;REC
15/03/2018 10:16:42 a.m.;10,91402;-2,491739;REC
15/03/2018 10:16:42 a.m.;11,92644;-2,728416;REC
15/03/2018 10:16:43 a.m.;12,94034;-2,96518;REC
15/03/2018 10:16:43 a.m.;13,95425;-3,201944;REC
15/03/2018 10:16:44 a.m.;14,96815;-3,43871;REC
15/03/2018 10:16:44 a.m.;15,98133;-3,678572;REC
15/03/2018 10:16:45 a.m.;17,00403;-3,973483;REC
15/03/2018 10:16:45 a.m.;18,02134;-4,281418;REC
15/03/2018 10:16:50 a.m.;19,04008;-4,444273;RET
15/03/2018 10:16:51 a.m.;18,00636;-4,12395;RET
15/03/2018 10:16:52 a.m.;16,96805;-3,815139;RET
15/03/2018 10:16:52 a.m.;15,96042;-3,63048;RET
15/03/2018 10:16:53 a.m.;14,94409;-3,566367;RET
15/03/2018 10:16:53 a.m.;13,93576;-3,311988;RET
15/03/2018 10:16:54 a.m.;12,92883;-3,052163;RET
15/03/2018 10:16:54 a.m.;11,92194;-2,792138;RET
15/03/2018 10:16:55 a.m.;10,91568;-2,532369;RET
