14/03/2018 12:58:00 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
14/03/2018 12:58:00 p.m.;0,3397922;0,2874146;DET
14/03/2018 12:58:07 p.m.;-0,1669363;0,2241573;NULL;NULL;NULL;REC
14/03/2018 12:58:07 p.m.;-0,1669363;0,2241573;REC
14/03/2018 12:58:13 p.m.;0,3526215;-0,002063228;REC
14/03/2018 12:58:13 p.m.;1,370753;-0,1420013;REC
14/03/2018 12:58:14 p.m.;0,8548692;-0,2986796;REC
14/03/2018 12:58:15 p.m.;-0,1587491;0,2732649;REC
14/03/2018 12:58:24 p.m.;0,3173181;-0,7505487;REC
14/03/2018 12:58:24 p.m.;0,7671809;-1,781672;REC
14/03/2018 12:58:24 p.m.;1,172894;-2,787188;REC
14/03/2018 12:58:25 p.m.;1,572938;-3,817528;REC
14/03/2018 12:58:26 p.m.;1,937859;-5,337294;REC
14/03/2018 12:58:26 p.m.;2,40111;-6,361664;REC
14/03/2018 12:58:27 p.m.;2,864253;-7,387541;REC
14/03/2018 12:58:27 p.m.;3,327412;-8,416057;REC
14/03/2018 12:58:28 p.m.;3,742399;-9,440204;REC
14/03/2018 12:58:29 p.m.;4,199277;-10,47424;REC
14/03/2018 12:58:29 p.m.;4,64357;-11,50189;REC
14/03/2018 12:58:30 p.m.;5,019507;-12,5183;REC
14/03/2018 12:58:30 p.m.;5,282954;-13,52782;REC
14/03/2018 12:58:31 p.m.;5,659681;-14,54587;REC
14/03/2018 12:58:31 p.m.;6,062939;-15,55731;REC
14/03/2018 12:58:32 p.m.;6,465145;-16,55871;REC
14/03/2018 12:58:32 p.m.;6,867216;-17,56037;REC
14/03/2018 12:58:35 p.m.;7,036489;-18,07121;RET
14/03/2018 12:58:35 p.m.;6,66856;-17,0446;RET
14/03/2018 12:58:36 p.m.;5,885316;-16,145;RET
14/03/2018 12:58:36 p.m.;5,222638;-15,12774;RET
14/03/2018 12:58:37 p.m.;4,494305;-14,33784;RET
14/03/2018 12:58:38 p.m.;3,480966;-13,48591;RET
14/03/2018 12:58:38 p.m.;3,008489;-12,46631;RET
14/03/2018 12:58:39 p.m.;2,666854;-11,43475;RET
14/03/2018 12:58:39 p.m.;2,391396;-10,43095;RET
14/03/2018 12:58:40 p.m.;2,110144;-9,411138;RET
14/03/2018 12:58:40 p.m.;1,833933;-8,408319;RET
14/03/2018 12:58:41 p.m.;1,552146;-7,387394;RET
14/03/2018 12:58:41 p.m.;1,275801;-6,38362;RET
14/03/2018 12:58:42 p.m.;1,000167;-5,380607;RET
14/03/2018 12:58:43 p.m.;0,8636201;-4,340806;RET
14/03/2018 12:58:43 p.m.;0,6247172;-3,323514;RET
14/03/2018 12:58:44 p.m.;0,50302;-2,300758;RET
14/03/2018 12:58:44 p.m.;0,2477784;-1,292631;RET
14/03/2018 12:58:45 p.m.;0,3298938;-0,2647541;RET
14/03/2018 12:58:46 p.m.;0,3298938;-0,2647541;REC
14/03/2018 12:58:56 p.m.;0,2276675;-0,2651964;REC
14/03/2018 12:58:57 p.m.;0,938055;-1,277506;REC
14/03/2018 12:58:57 p.m.;1,815359;-2,29667;REC
14/03/2018 12:58:58 p.m.;2,767019;-3,219046;REC
14/03/2018 12:58:59 p.m.;3,650375;-4,231159;REC
14/03/2018 12:58:59 p.m.;4,527644;-5,244337;REC
14/03/2018 12:59:00 p.m.;5,405733;-6,255205;REC
14/03/2018 12:59:01 p.m.;6,282539;-7,270491;REC
14/03/2018 12:59:01 p.m.;7,15452;-8,289882;REC
14/03/2018 12:59:02 p.m.;8,032261;-9,309626;REC
14/03/2018 12:59:03 p.m.;8,911467;-10,33214;REC
14/03/2018 12:59:03 p.m.;9,787914;-11,34229;REC
14/03/2018 12:59:04 p.m.;10,6663;-12,35303;REC
14/03/2018 12:59:05 p.m.;11,61818;-13,30431;REC
14/03/2018 12:59:06 p.m.;12,77593;-14,32992;RET
14/03/2018 12:59:07 p.m.;11,80413;-13,45327;RET
14/03/2018 12:59:07 p.m.;10,79407;-13,13964;RET
14/03/2018 12:59:08 p.m.;9,760608;-13,30715;RET
14/03/2018 12:59:09 p.m.;8,745079;-13,03734;RET
14/03/2018 12:59:09 p.m.;7,729139;-12,30661;RET
14/03/2018 12:59:10 p.m.;7,377311;-11,2849;RET
14/03/2018 12:59:10 p.m.;6,853436;-10,26836;RET
14/03/2018 12:59:11 p.m.;6,44591;-9,251348;RET
14/03/2018 12:59:11 p.m.;5,907653;-8,239771;RET
14/03/2018 12:59:12 p.m.;5,066135;-7,21975;RET
14/03/2018 12:59:13 p.m.;4,405998;-6,19351;RET
14/03/2018 12:59:13 p.m.;3,823797;-5,15908;RET
14/03/2018 12:59:14 p.m.;3,030874;-4,133336;RET
14/03/2018 12:59:15 p.m.;2,235252;-3,103986;RET
14/03/2018 12:59:15 p.m.;1,441299;-2,078154;RET
14/03/2018 12:59:16 p.m.;0,6457793;-1,049949;RET
14/03/2018 12:59:17 p.m.;-0,1213149;-0,02390315;RET
14/03/2018 12:59:22 p.m.;-0,1798937;-0,5373548;EVA
14/03/2018 12:59:29 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:29 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:29 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:29 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:29 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:29 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:30 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:30 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:30 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:30 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:30 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:31 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:31 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:31 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:31 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:31 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:31 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:32 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:32 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:32 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:32 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:32 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:33 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:33 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:33 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:33 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:33 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:34 p.m.;-0,1798937;-0,5373548;PR2
14/03/2018 12:59:34 p.m.;-0,1798937;-0,5373548;PR2
