14/03/2018 04:16:52 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
14/03/2018 04:16:52 p.m.;0,3397922;0,2874146;DET
14/03/2018 04:16:59 p.m.;-0,175148;-0,09037919;NULL;NULL;NULL;REC
14/03/2018 04:16:59 p.m.;-0,175148;-0,09037919;REC
14/03/2018 04:17:04 p.m.;-1,203535;-0,0609023;REC
14/03/2018 04:17:05 p.m.;-2,216858;0,1729992;REC
14/03/2018 04:17:05 p.m.;-3,252992;0,2808246;REC
14/03/2018 04:17:06 p.m.;-4,282953;0,1274125;REC
14/03/2018 04:17:06 p.m.;-5,308957;-0,02364969;REC
14/03/2018 04:17:07 p.m.;-6,333151;0,005094211;REC
14/03/2018 04:17:07 p.m.;-7,871851;-0,358214;REC
14/03/2018 04:17:08 p.m.;-8,903351;-0,2221316;REC
14/03/2018 04:17:09 p.m.;-9,938696;-0,1114749;REC
14/03/2018 04:17:09 p.m.;-10,93957;-0,0691082;REC
14/03/2018 04:17:10 p.m.;-11,95022;-0,09782802;REC
14/03/2018 04:17:10 p.m.;-12,96942;-0,1885455;REC
14/03/2018 04:17:11 p.m.;-13,98861;-0,279263;REC
14/03/2018 04:17:11 p.m.;-15,00764;-0,3699532;REC
14/03/2018 04:17:12 p.m.;-16,03668;-0,3729245;REC
14/03/2018 04:17:12 p.m.;-17,06839;-0,2348836;REC
14/03/2018 04:17:13 p.m.;-18,10032;-0,09789615;REC
14/03/2018 04:17:14 p.m.;-20,16388;-0,1395256;RET
14/03/2018 04:17:17 p.m.;-19,65969;0,07802284;RET
14/03/2018 04:17:17 p.m.;-18,64446;0,3009161;RET
14/03/2018 04:17:18 p.m.;-17,60858;0,3806316;RET
14/03/2018 04:17:19 p.m.;-16,57434;0,2917619;RET
14/03/2018 04:17:19 p.m.;-15,53878;0,2057298;RET
14/03/2018 04:17:20 p.m.;-14,49968;0,1588489;RET
14/03/2018 04:17:20 p.m.;-13,46051;0,1312646;RET
14/03/2018 04:17:21 p.m.;-12,42038;0,1388958;RET
14/03/2018 04:17:21 p.m.;-11,38027;0,1508485;RET
14/03/2018 04:17:22 p.m.;-10,3401;0,1494572;RET
14/03/2018 04:17:22 p.m.;-9,300005;0,13762;RET
14/03/2018 04:17:23 p.m.;-8,259868;0,1172705;RET
14/03/2018 04:17:23 p.m.;-7,219309;0,09694198;RET
14/03/2018 04:17:24 p.m.;-6,178747;0,07661346;RET
14/03/2018 04:17:24 p.m.;-5,138187;0,05628495;RET
14/03/2018 04:17:25 p.m.;-4,097697;0,03595773;RET
14/03/2018 04:17:25 p.m.;-3,057406;0,01656073;RET
14/03/2018 04:17:26 p.m.;-2,016866;-0,003965598;RET
14/03/2018 04:17:27 p.m.;-0,9880939;-0,0245385;RET
14/03/2018 04:17:28 p.m.;-0,9880939;-0,0245385;REC
14/03/2018 04:17:33 p.m.;0,2359025;-0,5588477;REC
14/03/2018 04:17:33 p.m.;-0,7827437;-1,382664;REC
14/03/2018 04:17:34 p.m.;-1,797195;-2,048748;REC
14/03/2018 04:17:35 p.m.;-3,844471;-3,191247;REC
14/03/2018 04:17:36 p.m.;-4,870198;-3,839786;REC
14/03/2018 04:17:37 p.m.;-5,896188;-4,48827;REC
14/03/2018 04:17:37 p.m.;-6,910115;-5,236369;REC
14/03/2018 04:17:38 p.m.;-7,750082;-6,267302;REC
14/03/2018 04:17:38 p.m.;-8,241512;-7,299492;REC
14/03/2018 04:17:39 p.m.;-8,763189;-8,317672;REC
14/03/2018 04:17:39 p.m.;-9,310378;-9,323182;REC
14/03/2018 04:17:40 p.m.;-10,10262;-10,30756;REC
14/03/2018 04:17:41 p.m.;-11,10779;-10,82781;REC
14/03/2018 04:17:41 p.m.;-12,13662;-11,49684;REC
14/03/2018 04:17:42 p.m.;-13,13972;-12,2159;REC
14/03/2018 04:17:42 p.m.;-14,15856;-12,66269;REC
14/03/2018 04:17:44 p.m.;-15,33105;-12,6341;RET
14/03/2018 04:17:47 p.m.;-14,82882;-12,17261;RET
14/03/2018 04:17:47 p.m.;-13,99217;-11,15328;RET
14/03/2018 04:17:48 p.m.;-13,13815;-10,14177;RET
14/03/2018 04:17:49 p.m.;-12,11297;-9,343437;RET
14/03/2018 04:17:49 p.m.;-11,0978;-8,528377;RET
14/03/2018 04:17:50 p.m.;-10,07629;-7,648199;RET
14/03/2018 04:17:51 p.m.;-9,061128;-6,75923;RET
14/03/2018 04:17:51 p.m.;-8,046235;-5,870355;RET
14/03/2018 04:17:52 p.m.;-7,029832;-4,982288;RET
14/03/2018 04:17:53 p.m.;-6,021392;-4,187055;RET
14/03/2018 04:17:53 p.m.;-5,017784;-3,420509;RET
14/03/2018 04:17:54 p.m.;-4,001183;-2,709956;RET
14/03/2018 04:17:55 p.m.;-2,98579;-1,996875;RET
14/03/2018 04:17:55 p.m.;-1,958755;-1,261791;RET
14/03/2018 04:17:56 p.m.;-0,944894;-0,5229645;RET
14/03/2018 04:17:57 p.m.;0,08045009;0,1658844;RET
14/03/2018 04:17:57 p.m.;1,088874;0,756759;EVA
14/03/2018 04:18:16 p.m.;1,088874;0,756759;PR2
14/03/2018 04:18:16 p.m.;1,088874;0,756759;PR2
14/03/2018 04:18:16 p.m.;1,088874;0,756759;PR2
14/03/2018 04:18:16 p.m.;1,088874;0,756759;PR2
