31/10/2019 10:39:32 a.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
31/10/2019 10:39:32 a.m.;0,3397922;0,2874146;DET
31/10/2019 10:39:43 a.m.;-0,182394;0,1600499;NULL;NULL;NULL;REC
31/10/2019 10:39:43 a.m.;-0,182394;0,1600499;REC
31/10/2019 10:39:44 a.m.;-1,712877;0,1529763;REC
31/10/2019 10:39:45 a.m.;-2,745574;-0,1141259;REC
31/10/2019 10:39:45 a.m.;-3,764274;-0,2764111;REC
31/10/2019 10:39:46 a.m.;-4,806849;-0,7055392;REC
31/10/2019 10:39:47 a.m.;-5,820089;-1,080706;REC
31/10/2019 10:39:47 a.m.;-6,847602;-1,345758;REC
31/10/2019 10:39:48 a.m.;-7,880383;-1,70064;REC
31/10/2019 10:39:48 a.m.;-8,904677;-2,021349;REC
31/10/2019 10:39:49 a.m.;-9,932633;-2,373377;REC
31/10/2019 10:39:49 a.m.;-10,95199;-2,535671;REC
31/10/2019 10:39:50 a.m.;-11,99237;-2,810435;REC
31/10/2019 10:39:50 a.m.;-13,00208;-3,307459;REC
31/10/2019 10:39:51 a.m.;-14,02162;-3,471298;REC
31/10/2019 10:39:52 a.m.;-15,05641;-3,672442;REC
31/10/2019 10:39:52 a.m.;-16,08092;-4,126424;REC
31/10/2019 10:39:53 a.m.;-17,08278;-4,365907;REC
31/10/2019 10:39:53 a.m.;-18,08856;-4,60605;REC
31/10/2019 10:39:54 a.m.;-20,13908;-4,535962;RET
31/10/2019 10:39:55 a.m.;-19,60992;-4,48743;RET
31/10/2019 10:39:56 a.m.;-18,82569;-3,691375;RET
31/10/2019 10:39:57 a.m.;-17,79762;-3,704631;RET
31/10/2019 10:39:58 a.m.;-17,29208;-3,664593;RET
31/10/2019 10:39:58 a.m.;-16,28342;-3,161546;RET
31/10/2019 10:39:59 a.m.;-15,25472;-2,87778;RET
31/10/2019 10:39:59 a.m.;-14,21379;-2,574085;RET
31/10/2019 10:40:00 a.m.;-13,16973;-2,366858;RET
31/10/2019 10:40:00 a.m.;-12,14862;-2,282764;RET
31/10/2019 10:40:01 a.m.;-11,14066;-2,064394;RET
31/10/2019 10:40:02 a.m.;-9,092089;-1,691174;RET
31/10/2019 10:40:03 a.m.;-8,065894;-1,462149;RET
31/10/2019 10:40:03 a.m.;-7,051229;-1,276958;RET
31/10/2019 10:40:04 a.m.;-6,006593;-1,149159;RET
31/10/2019 10:40:04 a.m.;-4,99309;-0,9569004;RET
31/10/2019 10:40:05 a.m.;-3,971333;-0,8110977;RET
31/10/2019 10:40:05 a.m.;-2,949575;-0,6652945;RET
31/10/2019 10:40:06 a.m.;-1,9278;-0,5194882;RET
31/10/2019 10:40:06 a.m.;-0,9084441;-0,2762642;RET
31/10/2019 10:40:07 a.m.;-0,9084441;-0,2762642;REC
31/10/2019 10:40:12 a.m.;0,5466003;0,3892433;REC
31/10/2019 10:40:13 a.m.;-0,3813046;0,3510983;REC
31/10/2019 10:40:14 a.m.;-1,391229;-0,5569298;REC
