03/09/2019 01:26:07 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
03/09/2019 01:26:07 p.m.;0,3397922;0,2874146;DET
03/09/2019 01:26:17 p.m.;-0,1738794;-0,1524372;NULL;NULL;NULL;REC
03/09/2019 01:26:17 p.m.;-0,1738794;-0,1524372;REC
03/09/2019 01:26:18 p.m.;-0,6906141;-0,01919549;REC
03/09/2019 01:26:24 p.m.;-0,1899905;-0,2712169;REC
03/09/2019 01:26:41 p.m.;-0,465692;-0,7799731;REC
03/09/2019 01:26:42 p.m.;-0,8296137;-1,303365;REC
03/09/2019 01:26:43 p.m.;-1,715667;-2,310458;REC
03/09/2019 01:26:44 p.m.;-2,316073;-3,325467;REC
03/09/2019 01:26:44 p.m.;-3,21938;-4,246386;REC
03/09/2019 01:26:45 p.m.;-4,235901;-4,978525;REC
03/09/2019 01:26:46 p.m.;-5,044428;-6,039273;REC
03/09/2019 01:26:46 p.m.;-5,782094;-7,094793;REC
03/09/2019 01:26:47 p.m.;-6,508318;-8,132468;REC
03/09/2019 01:26:48 p.m.;-7,498427;-9,172637;REC
03/09/2019 01:26:48 p.m.;-8,480769;-10,21762;REC
03/09/2019 01:26:49 p.m.;-9,337559;-11,24706;REC
03/09/2019 01:26:50 p.m.;-10,07672;-12,30446;REC
03/09/2019 01:26:50 p.m.;-10,80309;-13,3434;REC
03/09/2019 01:26:51 p.m.;-11,54225;-14,40079;REC
03/09/2019 01:26:53 p.m.;-11,92671;-14,94012;RET
03/09/2019 01:26:54 p.m.;-11,2978;-13,88551;RET
03/09/2019 01:26:54 p.m.;-10,98869;-12,84764;RET
03/09/2019 01:26:55 p.m.;-10,72464;-11,84068;RET
03/09/2019 01:26:56 p.m.;-10,46144;-10,79613;RET
03/09/2019 01:26:56 p.m.;-10,63829;-9,772765;RET
03/09/2019 01:26:57 p.m.;-11,50858;-8,879686;RET
03/09/2019 01:26:58 p.m.;-10,98872;-8,499616;RET
03/09/2019 01:26:58 p.m.;-10,0727;-7,644166;RET
03/09/2019 01:26:59 p.m.;-9,16508;-6,681344;RET
03/09/2019 01:26:59 p.m.;-8,118115;-5,832748;RET
03/09/2019 01:27:00 p.m.;-7,06861;-4,987854;RET
03/09/2019 01:27:01 p.m.;-5,963535;-4,09728;RET
03/09/2019 01:27:01 p.m.;-4,930959;-3,265809;RET
03/09/2019 01:27:02 p.m.;-3,89344;-2,442635;RET
03/09/2019 01:27:03 p.m.;-2,858328;-1,684682;RET
03/09/2019 01:27:03 p.m.;-1,82132;-0,9276508;RET
03/09/2019 01:27:04 p.m.;-0,7981364;-0,1581614;RET
03/09/2019 01:27:05 p.m.;-0,7981364;-0,1581614;REC
03/09/2019 01:27:25 p.m.;-0,06526124;-0,7610204;REC
03/09/2019 01:27:25 p.m.;-0,1351017;-1,787277;REC
03/09/2019 01:27:26 p.m.;0,1486962;-2,823992;REC
03/09/2019 01:27:26 p.m.;0,1969899;-3,834035;REC
03/09/2019 01:27:27 p.m.;0,1911169;-4,864717;REC
03/09/2019 01:27:27 p.m.;0,2462278;-5,892607;REC
03/09/2019 01:27:28 p.m.;0,2291884;-6,914882;REC
03/09/2019 01:27:28 p.m.;0,09933798;-7,936311;REC
03/09/2019 01:27:29 p.m.;0,2628469;-8,978951;REC
03/09/2019 01:27:29 p.m.;0,2938997;-9,989537;REC
03/09/2019 01:27:30 p.m.;0,2623693;-10,99546;REC
03/09/2019 01:27:31 p.m.;0,2241915;-12,00687;REC
03/09/2019 01:27:31 p.m.;0,184611;-13,02736;REC
03/09/2019 01:27:32 p.m.;0,1955894;-14,05207;REC
03/09/2019 01:27:32 p.m.;0,4462754;-15,08496;REC
03/09/2019 01:27:33 p.m.;0,4891456;-16,11488;REC
03/09/2019 01:27:33 p.m.;0,3390777;-17,13498;REC
03/09/2019 01:27:34 p.m.;0,295148;-18,17127;REC
03/09/2019 01:27:36 p.m.;0,6104164;-19,22057;RET
03/09/2019 01:27:37 p.m.;0,6880856;-18,20303;RET
03/09/2019 01:27:37 p.m.;0,3356154;-17,16801;RET
03/09/2019 01:27:38 p.m.;-0,1648564;-16,12459;RET
03/09/2019 01:27:38 p.m.;-1,191199;-15,27534;RET
03/09/2019 01:27:39 p.m.;-0,6898237;-15,28593;RET
03/09/2019 01:27:40 p.m.;0,06002896;-14,48269;RET
03/09/2019 01:27:40 p.m.;0,2774399;-13,43739;RET
03/09/2019 01:27:41 p.m.;0,2522702;-12,40746;RET
03/09/2019 01:27:41 p.m.;0,6675164;-11,35639;RET
03/09/2019 01:27:42 p.m.;0,8177723;-10,33244;RET
03/09/2019 01:27:42 p.m.;0,7439216;-9,307601;RET
03/09/2019 01:27:43 p.m.;0,6682706;-8,25798;RET
03/09/2019 01:27:43 p.m.;0,5939565;-7,231158;RET
03/09/2019 01:27:44 p.m.;0,519564;-6,200772;RET
03/09/2019 01:27:44 p.m.;0,4456351;-5,17247;RET
03/09/2019 01:27:45 p.m.;0,3724226;-4,142108;RET
03/09/2019 01:27:45 p.m.;0,2991601;-3,11187;RET
03/09/2019 01:27:46 p.m.;0,2260978;-2,086993;RET
03/09/2019 01:27:47 p.m.;0,1513544;-1,036996;RET
03/09/2019 01:27:48 p.m.;0,07527073;-0,02015;RET
