26/04/2018 11:13:32 a.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
26/04/2018 11:13:32 a.m.;0,3397922;0,2874146;DET
26/04/2018 11:13:40 a.m.;0,4215198;-0,2394104;NULL;NULL;NULL;REC
26/04/2018 11:13:40 a.m.;0,4215198;-0,2394104;REC
26/04/2018 11:13:42 a.m.;-2,150719;0,4410981;REC
26/04/2018 11:13:43 a.m.;-3,182292;0,4408441;REC
26/04/2018 11:13:43 a.m.;-4,223803;0,7527165;REC
26/04/2018 11:13:44 a.m.;-5,268171;1,490398;REC
26/04/2018 11:13:45 a.m.;-6,322122;1,993664;REC
26/04/2018 11:13:45 a.m.;-7,353875;2,033229;REC
26/04/2018 11:13:46 a.m.;-8,386219;2,234991;REC
26/04/2018 11:13:46 a.m.;-9,419249;2,480062;REC
26/04/2018 11:13:47 a.m.;-10,46029;3,08033;REC
26/04/2018 11:13:47 a.m.;-11,47448;3,972486;REC
26/04/2018 11:13:48 a.m.;-12,51735;4,796319;REC
26/04/2018 11:13:49 a.m.;-13,53309;5,605251;REC
26/04/2018 11:13:49 a.m.;-14,56701;5,974851;REC
26/04/2018 11:13:50 a.m.;-15,60182;6,293326;REC
26/04/2018 11:13:50 a.m.;-16,6567;6,596091;REC
26/04/2018 11:13:51 a.m.;-17,68902;6,614564;REC
26/04/2018 11:13:52 a.m.;-19,74638;6,714334;RET
26/04/2018 11:13:52 a.m.;-19,22776;6,734009;RET
26/04/2018 11:13:53 a.m.;-18,19899;6,593872;RET
26/04/2018 11:13:54 a.m.;-17,16672;6,370487;RET
26/04/2018 11:13:54 a.m.;-16,1338;6,045632;RET
26/04/2018 11:13:55 a.m.;-15,10135;5,758597;RET
26/04/2018 11:13:55 a.m.;-14,06994;5,700036;RET
26/04/2018 11:13:56 a.m.;-13,01833;5,737391;RET
26/04/2018 11:13:56 a.m.;-11,98646;5,924967;RET
26/04/2018 11:13:57 a.m.;-10,95493;6,021788;RET
26/04/2018 11:13:57 a.m.;-9,923633;6,036947;RET
26/04/2018 11:13:58 a.m.;-8,892067;6,047219;RET
26/04/2018 11:13:59 a.m.;-7,865554;5,750435;RET
26/04/2018 11:13:59 a.m.;-7,682464;4,719131;RET
26/04/2018 11:14:02 a.m.;-7,171719;4,190168;RET
26/04/2018 11:14:03 a.m.;-6,151435;3,714391;RET
26/04/2018 11:14:03 a.m.;-4,564859;3,359017;RET
26/04/2018 11:14:04 a.m.;-2,979955;2,708889;RET
26/04/2018 11:14:05 a.m.;-2,051754;1,667982;RET
26/04/2018 11:14:06 a.m.;-1,101826;0,6133943;RET
26/04/2018 11:14:06 a.m.;-0,1272651;-0,3430929;RET
26/04/2018 11:14:07 a.m.;-0,1272651;-0,3430929;REC
26/04/2018 11:14:12 a.m.;0,4254436;-0,7805371;REC
26/04/2018 11:14:13 a.m.;-0,1201118;-1,232572;REC
26/04/2018 11:14:13 a.m.;-1,703562;-1,407238;REC
26/04/2018 11:14:14 a.m.;-2,736408;-1,374828;REC
26/04/2018 11:14:14 a.m.;-3,769258;-1,342418;REC
26/04/2018 11:14:15 a.m.;-5,28109;-1,295167;REC
26/04/2018 11:14:16 a.m.;-6,313838;-1,263056;REC
26/04/2018 11:14:16 a.m.;-7,346584;-1,230945;REC
26/04/2018 11:14:17 a.m.;-8,882054;-1,183199;REC
26/04/2018 11:14:17 a.m.;-9,915524;-1,15109;REC
26/04/2018 11:14:18 a.m.;-10,94899;-1,11898;REC
26/04/2018 11:14:19 a.m.;-12,46457;-1,071941;REC
26/04/2018 11:14:19 a.m.;-13,49804;-1,039832;REC
26/04/2018 11:14:20 a.m.;-14,55626;-0,9617209;REC
26/04/2018 11:14:20 a.m.;-15,59943;-0,6150074;REC
26/04/2018 11:14:21 a.m.;-17,16001;-0,675023;REC
26/04/2018 11:14:21 a.m.;-18,20787;-0,6773647;REC
26/04/2018 11:14:23 a.m.;-20,28208;0,09860247;RET
26/04/2018 11:14:23 a.m.;-19,74708;-0,1184746;RET
26/04/2018 11:14:24 a.m.;-18,69201;-0,5464722;RET
26/04/2018 11:14:24 a.m.;-17,6174;-0,982289;RET
26/04/2018 11:14:25 a.m.;-16,54225;-1,418434;RET
26/04/2018 11:14:26 a.m.;-15,48718;-1,846432;RET
26/04/2018 11:14:26 a.m.;-14,41202;-2,282576;RET
26/04/2018 11:14:27 a.m.;-13,33775;-2,718977;RET
26/04/2018 11:14:27 a.m.;-12,28269;-3,146975;RET
26/04/2018 11:14:28 a.m.;-11,20753;-3,583119;RET
26/04/2018 11:14:29 a.m.;-10,13264;-4,019082;RET
26/04/2018 11:14:33 a.m.;-9,620894;-3,979561;RET
26/04/2018 11:14:33 a.m.;-8,565658;-3,479666;RET
26/04/2018 11:14:34 a.m.;-7,523772;-2,826748;RET
26/04/2018 11:14:34 a.m.;-6,487243;-2,096641;RET
26/04/2018 11:14:35 a.m.;-5,435719;-1,790353;RET
26/04/2018 11:14:35 a.m.;-4,412574;-1,647726;RET
26/04/2018 11:14:36 a.m.;-3,360826;-1,343397;RET
26/04/2018 11:14:37 a.m.;-2,411626;-0,75979;RET
26/04/2018 11:14:37 a.m.;-1,634565;-0,1324886;RET
26/04/2018 11:14:38 a.m.;-0,5835116;0,3913468;RET
