20/12/2018 03:20:04 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
20/12/2018 03:20:04 p.m.;0,3397922;0,2874146;DET
20/12/2018 03:20:09 p.m.;-0,1830643;0,2547273;NULL;NULL;NULL;REC
20/12/2018 03:20:09 p.m.;-0,1830643;0,2547273;REC
20/12/2018 03:20:16 p.m.;0,34568;0,2361008;REC
20/12/2018 03:20:16 p.m.;1,370057;0,6350238;REC
20/12/2018 03:20:17 p.m.;2,394542;1,069698;REC
20/12/2018 03:20:18 p.m.;3,398767;1,495774;REC
20/12/2018 03:20:18 p.m.;4,422786;1,932461;REC
20/12/2018 03:20:19 p.m.;5,501767;2,413285;REC
20/12/2018 03:20:19 p.m.;6,56048;2,884421;REC
20/12/2018 03:20:20 p.m.;7,620766;3,260098;REC
20/12/2018 03:20:20 p.m.;8,662675;3,5007;REC
20/12/2018 03:20:21 p.m.;9,664903;3,736569;REC
20/12/2018 03:20:21 p.m.;10,66731;3,972756;REC
20/12/2018 03:20:22 p.m.;11,71533;4,472414;REC
20/12/2018 03:20:23 p.m.;12,76692;5,058018;REC
20/12/2018 03:20:23 p.m.;13,80945;5,595207;REC
20/12/2018 03:20:24 p.m.;14,82985;5,853929;REC
20/12/2018 03:20:24 p.m.;15,83264;6,09305;REC
20/12/2018 03:20:25 p.m.;16,85595;6,337055;REC
20/12/2018 03:20:26 p.m.;18,86137;6,815154;RET
20/12/2018 03:20:30 p.m.;18,46543;6,288268;RET
20/12/2018 03:20:31 p.m.;17,42511;5,921507;RET
20/12/2018 03:20:31 p.m.;16,42265;5,673267;RET
20/12/2018 03:20:32 p.m.;15,42017;5,425026;RET
20/12/2018 03:20:32 p.m.;14,41684;5,17429;RET
20/12/2018 03:20:33 p.m.;13,41375;4,921175;RET
20/12/2018 03:20:33 p.m.;12,41179;4,669991;RET
20/12/2018 03:20:34 p.m.;11,39005;4,414262;RET
20/12/2018 03:20:34 p.m.;10,38745;4,163428;RET
20/12/2018 03:20:35 p.m.;9,359516;3,743434;RET
20/12/2018 03:20:36 p.m.;8,309499;2,872102;RET
20/12/2018 03:20:36 p.m.;7,270828;2,047522;RET
20/12/2018 03:20:37 p.m.;6,231332;1,778982;RET
20/12/2018 03:20:37 p.m.;5,230301;1,532068;RET
20/12/2018 03:20:38 p.m.;4,229193;1,285135;RET
20/12/2018 03:20:38 p.m.;3,228097;1,038205;RET
20/12/2018 03:20:39 p.m.;2,226996;0,7912738;RET
20/12/2018 03:20:39 p.m.;1,225889;0,5443411;RET
20/12/2018 03:20:40 p.m.;0,1544556;0,1668978;RET
20/12/2018 03:20:41 p.m.;0,1544556;0,1668978;REC
20/12/2018 03:20:45 p.m.;0,1569848;0,2765449;REC
20/12/2018 03:20:46 p.m.;1,148;1,119863;REC
20/12/2018 03:20:46 p.m.;2,189754;1,422253;REC
20/12/2018 03:20:47 p.m.;3,197876;1,685629;REC
20/12/2018 03:20:47 p.m.;4,22593;2,184484;REC
20/12/2018 03:20:48 p.m.;5,254962;3,081403;REC
20/12/2018 03:20:49 p.m.;6,275794;3,986212;REC
20/12/2018 03:20:50 p.m.;8,295562;5,769611;REC
20/12/2018 03:20:51 p.m.;9,345189;6,700318;REC
20/12/2018 03:20:52 p.m.;10,36463;7,604252;REC
20/12/2018 03:20:52 p.m.;11,38414;8,508595;REC
20/12/2018 03:20:53 p.m.;12,38781;9,400204;REC
20/12/2018 03:20:54 p.m.;13,43449;10,33927;REC
20/12/2018 03:20:54 p.m.;14,36316;11,38163;REC
20/12/2018 03:20:59 p.m.;14,92992;12,81834;RET
20/12/2018 03:21:00 p.m.;13,91041;12,17299;RET
20/12/2018 03:21:00 p.m.;12,96731;11,12387;RET
20/12/2018 03:21:01 p.m.;12,07343;10,15429;RET
20/12/2018 03:21:02 p.m.;11,02997;9,22455;RET
20/12/2018 03:21:03 p.m.;9,973541;8,283282;RET
20/12/2018 03:21:03 p.m.;8,929515;7,351629;RET
20/12/2018 03:21:04 p.m.;7,870819;6,406545;RET
20/12/2018 03:21:05 p.m.;6,81186;5,46053;RET
20/12/2018 03:21:06 p.m.;5,767771;4,525056;RET
20/12/2018 03:21:06 p.m.;4,710478;3,579791;RET
20/12/2018 03:21:07 p.m.;3,668076;2,648932;RET
20/12/2018 03:21:08 p.m.;2,610275;1,704718;RET
20/12/2018 03:21:08 p.m.;1,568346;0,7750924;RET
20/12/2018 03:21:09 p.m.;0,5310504;0,1667573;RET
