Sujeto;anibal
Radio;20
Hora Inicio;21/11/2018 09:27:11 a.m.
NroIteracion;0
Protocolo;2
IdBandera;77
IdBanderaX;4,499021
IdBanderaY;19,4874
Hora;21/11/2018 09:27:42 a.m.
Inicio test memoria;21/11/2018 09:27:56 a.m.
Hora Fin Seleccion;21/11/2018 09:29:09 a.m.
Bandera Seleccionada [id];302
Bandera Seleccionada [X];10,59838
Bandera Seleccionada [Y];-16,96096
CruzX;-5
CruzY;-5
NroIteracion;1
Protocolo;2
IdBandera;179
IdBanderaX;-19,99695
IdBanderaY;0,3490481
Hora;21/11/2018 09:30:01 a.m.
Inicio test memoria;21/11/2018 09:30:24 a.m.
Hora Fin Seleccion;21/11/2018 09:31:06 a.m.
Bandera Seleccionada [id];311
Bandera Seleccionada [X];13,12118
Bandera Seleccionada [Y];-15,09419
CruzX;7
CruzY;7
NroIteracion;2
Protocolo;2
IdBandera;42
IdBanderaX;14,8629
IdBanderaY;13,38261
Hora;21/11/2018 09:32:07 a.m.
Inicio test memoria;21/11/2018 09:32:16 a.m.
Hora Fin Seleccion;21/11/2018 09:32:43 a.m.
Bandera Seleccionada [id];43
Bandera Seleccionada [X];14,62707
Bandera Seleccionada [Y];13,63997
CruzX;-2
CruzY;-2
NroIteracion;3
Protocolo;2
IdBandera;308
IdBanderaX;12,31323
IdBanderaY;-15,76022
Hora;21/11/2018 09:33:21 a.m.
Inicio test memoria;21/11/2018 09:33:32 a.m.
Hora Fin Seleccion;21/11/2018 09:33:50 a.m.
Bandera Seleccionada [id];308
Bandera Seleccionada [X];12,31323
Bandera Seleccionada [Y];-15,76022
CruzX;2
CruzY;2
NroIteracion;4
Protocolo;2
IdBandera;357
IdBanderaX;19,97259
IdBanderaY;-1,046719
Hora;21/11/2018 09:34:42 a.m.
Inicio test memoria;21/11/2018 09:34:53 a.m.
Hora Fin Seleccion;21/11/2018 09:35:31 a.m.
Bandera Seleccionada [id];357
Bandera Seleccionada [X];19,97259
Bandera Seleccionada [Y];-1,046719
CruzX;-1
CruzY;-1
NroIteracion;5
Protocolo;2
IdBandera;240
IdBanderaX;-10
IdBanderaY;-17,32051
Hora;21/11/2018 09:36:03 a.m.
Inicio test memoria;21/11/2018 09:36:14 a.m.
Hora Fin Seleccion;21/11/2018 09:37:10 a.m.
Bandera Seleccionada [id];240
Bandera Seleccionada [X];-10
Bandera Seleccionada [Y];-17,32051
CruzX;-4
CruzY;-4
NroIteracion;6
Protocolo;2
IdBandera;0
IdBanderaX;20
IdBanderaY;0
Hora;21/11/2018 09:37:57 a.m.
Inicio test memoria;21/11/2018 09:38:10 a.m.
Hora Fin Seleccion;21/11/2018 09:38:25 a.m.
Bandera Seleccionada [id];0
Bandera Seleccionada [X];20
Bandera Seleccionada [Y];0
CruzX;3
CruzY;3
NroIteracion;7
Protocolo;2
IdBandera;97
IdBanderaX;-2,437387
IdBanderaY;19,85092
Hora;21/11/2018 09:39:04 a.m.
Inicio test memoria;21/11/2018 09:39:13 a.m.
Hora Fin Seleccion;21/11/2018 09:39:37 a.m.
Bandera Seleccionada [id];96
Bandera Seleccionada [X];-2,090569
Bandera Seleccionada [Y];19,89044
