03/09/2019 05:42:04 p.m.;0,3397922;0,2874146;NULL;NULL;NULL;INI
03/09/2019 05:42:04 p.m.;0,3397922;0,2874146;DET
03/09/2019 05:42:13 p.m.;-0,1956733;0,2136044;NULL;NULL;NULL;REC
03/09/2019 05:42:13 p.m.;-0,1956733;0,2136044;REC
03/09/2019 05:42:20 p.m.;-0,7189233;-0,4625108;REC
03/09/2019 05:42:21 p.m.;0,24846;-1,464916;REC
03/09/2019 05:42:22 p.m.;1,268335;-2,364323;REC
03/09/2019 05:42:22 p.m.;2,309493;-3,147148;REC
03/09/2019 05:42:23 p.m.;3,33634;-3,918346;REC
03/09/2019 05:42:24 p.m.;4,38074;-4,702542;REC
03/09/2019 05:42:24 p.m.;5,406507;-5,470066;REC
03/09/2019 05:42:25 p.m.;6,449928;-6,248141;REC
03/09/2019 05:42:27 p.m.;7,994412;-7,967399;REC
03/09/2019 05:42:28 p.m.;8,982512;-8,989227;REC
03/09/2019 05:42:28 p.m.;9,986116;-10,03255;REC
03/09/2019 05:42:34 p.m.;15,15453;-14,36779;RET
03/09/2019 05:42:46 p.m.;14,64018;-14,74384;RET
03/09/2019 05:42:47 p.m.;13,62161;-15,00901;RET
03/09/2019 05:42:48 p.m.;12,5565;-14,83124;RET
03/09/2019 05:42:48 p.m.;11,52694;-14,17332;RET
03/09/2019 05:42:49 p.m.;10,48042;-13,5384;RET
03/09/2019 05:42:50 p.m.;9,840427;-12,49954;RET
03/09/2019 05:42:50 p.m.;9,470398;-11,47064;RET
03/09/2019 05:42:51 p.m.;9,272464;-10,43569;RET
03/09/2019 05:42:51 p.m.;9,423907;-9,373408;RET
03/09/2019 05:42:52 p.m.;9,166531;-8,364247;RET
03/09/2019 05:42:52 p.m.;8,104452;-7,574175;RET
03/09/2019 05:42:53 p.m.;7,066012;-6,917993;RET
03/09/2019 05:42:54 p.m.;6,019215;-6,769053;RET
03/09/2019 05:42:54 p.m.;5,502184;-5,891953;RET
03/09/2019 05:42:55 p.m.;5,779787;-4,86069;RET
03/09/2019 05:42:55 p.m.;5,809105;-3,834978;RET
03/09/2019 05:42:56 p.m.;5,056744;-2,788222;RET
03/09/2019 05:42:56 p.m.;4,032223;-2,200377;RET
03/09/2019 05:42:57 p.m.;3,016418;-1,640547;RET
03/09/2019 05:42:58 p.m.;1,982174;-1,070555;RET
03/09/2019 05:42:58 p.m.;0,9574502;-0,5079538;RET
03/09/2019 05:42:59 p.m.;-0,07354509;-0,08864309;RET
03/09/2019 05:43:00 p.m.;-0,07354509;-0,08864309;REC
03/09/2019 05:43:10 p.m.;-0,5865995;0,5145124;REC
03/09/2019 05:43:11 p.m.;0,4369467;0,3557197;REC
03/09/2019 05:43:12 p.m.;1,467669;0,1949656;REC
03/09/2019 05:43:12 p.m.;2,519344;0,1685602;REC
03/09/2019 05:43:13 p.m.;3,56116;0,157611;REC
03/09/2019 05:43:13 p.m.;4,562029;0,1491543;REC
03/09/2019 05:43:14 p.m.;5,562932;0,140699;REC
03/09/2019 05:43:14 p.m.;6,563781;0,1322455;REC
03/09/2019 05:43:15 p.m.;7,585115;0,1236124;REC
03/09/2019 05:43:15 p.m.;8,589398;-0,03116176;REC
03/09/2019 05:43:16 p.m.;9,592788;-0,2755981;REC
03/09/2019 05:43:16 p.m.;10,61344;-0,4426607;REC
03/09/2019 05:43:17 p.m.;11,64131;-0,2708188;REC
03/09/2019 05:43:17 p.m.;12,69515;-0,1805001;REC
03/09/2019 05:43:18 p.m.;13,70257;-0,4071498;REC
03/09/2019 05:43:19 p.m.;14,71455;-0,6539652;REC
03/09/2019 05:43:19 p.m.;15,25266;-0,7852108;REC
03/09/2019 05:43:20 p.m.;16,26766;-0,9494433;REC
03/09/2019 05:43:20 p.m.;17,29595;-0,8596941;REC
03/09/2019 05:43:21 p.m.;18,32398;-1,108037;REC
03/09/2019 05:43:21 p.m.;18,84254;-1,158086;REC
03/09/2019 05:43:22 p.m.;20,94424;-1,318508;RET
03/09/2019 05:43:23 p.m.;21,98024;-1,460279;RET
03/09/2019 05:43:27 p.m.;21,46303;-1,193423;RET
03/09/2019 05:43:28 p.m.;20,45243;-0,8859687;RET
03/09/2019 05:43:28 p.m.;19,40376;-1,305605;RET
03/09/2019 05:43:29 p.m.;18,34087;-1,753507;RET
03/09/2019 05:43:29 p.m.;17,29757;-2,193472;RET
03/09/2019 05:43:30 p.m.;16,25441;-2,632594;RET
03/09/2019 05:43:31 p.m.;15,21117;-3,071747;RET
03/09/2019 05:43:31 p.m.;14,14659;-2,910421;RET
03/09/2019 05:43:32 p.m.;13,09877;-2,414225;RET
03/09/2019 05:43:32 p.m.;12,07229;-1,922588;RET
03/09/2019 05:43:33 p.m.;11,01525;-1,44691;RET
03/09/2019 05:43:33 p.m.;9,976786;-1,721222;RET
03/09/2019 05:43:34 p.m.;8,907619;-2,188342;RET
03/09/2019 05:43:35 p.m.;7,876945;-2,259159;RET
03/09/2019 05:43:35 p.m.;6,849312;-2,230556;RET
03/09/2019 05:43:36 p.m.;5,823059;-2,199234;RET
03/09/2019 05:43:36 p.m.;4,770235;-1,904542;RET
03/09/2019 05:43:37 p.m.;3,728348;-1,395041;RET
03/09/2019 05:43:37 p.m.;2,68646;-0,8855392;RET
03/09/2019 05:43:38 p.m.;1,662995;-0,3848644;RET
03/09/2019 05:43:39 p.m.;0,6257615;0,1401015;RET
